"party","year","migback","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","no migration background","","","","","7"
"AfD","1984","direct migration background","","","","","7"
"AfD","1984","indirect migration background","","","","","7"
"CDU/CSU","1984","no migration background","2384","0.459972181265539","0.446511051427855","0.473433311103223","2"
"CDU/CSU","1984","direct migration background","216","0.347654855199014","0.319777077451855","0.375532632946172","2"
"CDU/CSU","1984","indirect migration background","10","","","","2"
"FDP","1984","no migration background","166","0.0323609322988176","0.0275815158571846","0.0371403487404505","3"
"FDP","1984","direct migration background","14","","","","3"
"FDP","1984","indirect migration background","1","","","","3"
"NPD","1984","no migration background","","","","","6"
"NPD","1984","direct migration background","","","","","6"
"NPD","1984","indirect migration background","","","","","6"
"Other","1984","no migration background","28","","","","8"
"Other","1984","direct migration background","11","","","","8"
"Other","1984","indirect migration background","1","","","","8"
"PDS/Linke","1984","no migration background","","","","","5"
"PDS/Linke","1984","direct migration background","","","","","5"
"PDS/Linke","1984","indirect migration background","","","","","5"
"SPD","1984","no migration background","2356","0.445239924255965","0.431816685556399","0.458663162955531","1"
"SPD","1984","direct migration background","791","0.554905835317991","0.525813346174275","0.583998324461707","1"
"SPD","1984","indirect migration background","28","","","","1"
"AfD","1985","no migration background","","","","","7"
"AfD","1985","direct migration background","","","","","7"
"AfD","1985","indirect migration background","","","","","7"
"CDU/CSU","1985","no migration background","2108","0.449127647457179","0.435004645418029","0.463250649496328","2"
"CDU/CSU","1985","direct migration background","204","0.381776536587844","0.351060600448873","0.412492472726815","2"
"CDU/CSU","1985","indirect migration background","13","","","","2"
"FDP","1985","no migration background","187","0.0406845833188956","0.035075236578169","0.0462939300596222","3"
"FDP","1985","direct migration background","11","","","","3"
"FDP","1985","indirect migration background","","","","","3"
"NPD","1985","no migration background","","","","","6"
"NPD","1985","indirect migration background","","","","","6"
"NPD","1985","direct migration background","","","","","6"
"Other","1985","no migration background","36","0.00745815065701087","0.00501524537691276","0.00990105593710899","8"
"Other","1985","direct migration background","","","","","8"
"Other","1985","indirect migration background","","","","","8"
"PDS/Linke","1985","no migration background","","","","","5"
"PDS/Linke","1985","direct migration background","","","","","5"
"PDS/Linke","1985","indirect migration background","","","","","5"
"SPD","1985","direct migration background","663","0.530833950316711","0.499281794966596","0.562386105666825","1"
"SPD","1985","no migration background","2115","0.442077912199842","0.427976817656532","0.456179006743151","1"
"SPD","1985","indirect migration background","30","0.409355435136431","0.271677787353717","0.547033082919144","1"
"AfD","1986","no migration background","","","","","7"
"AfD","1986","direct migration background","","","","","7"
"AfD","1986","indirect migration background","","","","","7"
"CDU/CSU","1986","no migration background","1989","0.44677296790702","0.432264992260176","0.461280943553864","2"
"CDU/CSU","1986","direct migration background","199","0.373813674885385","0.34248227957869","0.40514507019208","2"
"CDU/CSU","1986","indirect migration background","16","","","","2"
"FDP","1986","no migration background","160","0.0364323948281869","0.0309647961131474","0.0418999935432263","3"
"FDP","1986","direct migration background","10","","","","3"
"FDP","1986","indirect migration background","","","","","3"
"NPD","1986","direct migration background","","","","","6"
"NPD","1986","no migration background","","","","","6"
"NPD","1986","indirect migration background","","","","","6"
"Other","1986","no migration background","24","","","","8"
"Other","1986","direct migration background","5","","","","8"
"Other","1986","indirect migration background","","","","","8"
"PDS/Linke","1986","no migration background","","","","","5"
"PDS/Linke","1986","direct migration background","","","","","5"
"PDS/Linke","1986","indirect migration background","","","","","5"
