"party","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","16-34 y.","Couple + C. GT 16 ","","","","","7"
"AfD","1984","16-34 y.","Couple + C. LE and GT 16","","","","","7"
"AfD","1984","35-65 y.","1-pers.-HH","","","","","7"
"AfD","1984","16-34 y.","1-pers.-HH","","","","","7"
"AfD","1984","16-34 y.","(Married) couple without C. ","","","","","7"
"AfD","1984","16-34 y.","Single parent ","","","","","7"
"AfD","1984","16-34 y.","Couple + C. LE 16 ","","","","","7"
"AfD","1984","35-65 y.","(Married) couple without C. ","","","","","7"
"AfD","1984","35-65 y.","Single parent ","","","","","7"
"AfD","1984","35-65 y.","Couple + C. LE 16 ","","","","","7"
"AfD","1984","35-65 y.","Couple + C. LE and GT 16","","","","","7"
"AfD","1984","66 and older","1-pers.-HH","","","","","7"
"AfD","1984","66 and older","(Married) couple without C. ","","","","","7"
"AfD","1984","66 and older","Single parent ","","","","","7"
"AfD","1984","66 and older","Couple + C. LE 16 ","","","","","7"
"AfD","1984","66 and older","Couple + C. GT 16 ","","","","","7"
"AfD","1984","66 and older","Couple + C. LE and GT 16","","","","","7"
"AfD","1984","35-65 y.","Couple + C. GT 16 ","","","","","7"
"CDU/CSU","1984","16-34 y.","(Married) couple without C. ","120","0.366056185756251","0.316363353589651","0.41574901792285","1"
"CDU/CSU","1984","16-34 y.","1-pers.-HH","50","0.265922184215461","0.203750080827578","0.328094287603345","1"
"CDU/CSU","1984","16-34 y.","Couple + C. LE 16 ","223","0.360273100712055","0.324910460126622","0.395635741297488","1"
"CDU/CSU","1984","16-34 y.","Couple + C. GT 16 ","98","0.342843092747732","0.291238464816836","0.394447720678628","1"
"CDU/CSU","1984","16-34 y.","Couple + C. LE and GT 16","89","0.476266596225268","0.414480404368293","0.538052788082243","1"
"CDU/CSU","1984","35-65 y.","1-pers.-HH","118","0.460720555717351","0.40093198267993","0.520509128754772","1"
"CDU/CSU","1984","35-65 y.","(Married) couple without C. ","389","0.462125415488707","0.4294257883642","0.494825042613214","1"
"CDU/CSU","1984","35-65 y.","Single parent ","54","0.379843801492539","0.302686085485192","0.457001517499886","1"
"CDU/CSU","1984","35-65 y.","Couple + C. LE 16 ","353","0.442998937408599","0.410509718019237","0.475488156797961","1"
"CDU/CSU","1984","35-65 y.","Couple + C. LE and GT 16","218","0.537494103076275","0.493392656597358","0.581595549555191","1"
"CDU/CSU","1984","66 and older","1-pers.-HH","142","0.511249756296648","0.452699456138662","0.569800056454634","1"
"CDU/CSU","1984","66 and older","(Married) couple without C. ","174","0.4761504188399","0.424270596775944","0.528030240903856","1"
"CDU/CSU","1984","66 and older","Couple + C. LE 16 ","2","","","","1"
"CDU/CSU","1984","66 and older","Couple + C. GT 16 ","22","","","","1"
"CDU/CSU","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"CDU/CSU","1984","16-34 y.","Single parent ","33","0.322264965054152","0.238994321489612","0.405535608618692","1"
"CDU/CSU","1984","66 and older","Single parent ","13","","","","1"
"CDU/CSU","1984","35-65 y.","Couple + C. GT 16 ","298","0.483185348014733","0.445346755225996","0.52102394080347","1"
"FDP","1984","16-34 y.","1-pers.-HH","3","","","","3"
"FDP","1984","16-34 y.","(Married) couple without C. ","6","","","","3"
"FDP","1984","16-34 y.","Single parent ","2","","","","3"
"FDP","1984","16-34 y.","Couple + C. LE 16 ","15","","","","3"
"FDP","1984","16-34 y.","Couple + C. GT 16 ","5","","","","3"
"FDP","1984","16-34 y.","Couple + C. LE and GT 16","5","","","","3"
"FDP","1984","35-65 y.","Couple + C. GT 16 ","15","","","","3"
"FDP","1984","35-65 y.","Couple + C. LE and GT 16","15","","","","3"
"FDP","1984","66 and older","1-pers.-HH","14","","","","3"
"FDP","1984","66 and older","(Married) couple without C. ","14","","","","3"
"FDP","1984","66 and older","Single parent ","1","","","","3"
