"party","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","(0) in school","Male","","","",""
"CDU/CSU","1984","(0) in school","Female","","","",""
"CDU/CSU","1984","(1a) inadequately completed","Male","","","",""
"CDU/CSU","1984","(1a) inadequately completed","Female","","","",""
"CDU/CSU","1984","(1b) general elementary school","Male","136","0.368849786184574","0.324709729849119","0.412989842520029"
"CDU/CSU","1984","(1b) general elementary school","Female","441","0.468566507092898","0.437622580018296","0.4995104341675"
"CDU/CSU","1984","(1c) basic vocational qualification","Male","634","0.443341634306504","0.418226689401262","0.468456579211746"
"CDU/CSU","1984","(1c) basic vocational qualification","Female","406","0.441336866983904","0.409991765216287","0.472681968751522"
"CDU/CSU","1984","(2b) intermediate general qualification","Male","36","0.432002507868504","0.331864140310809","0.5321408754262"
"CDU/CSU","1984","(2b) intermediate general qualification","Female","64","0.482924052896343","0.401021647132513","0.564826458660173"
"CDU/CSU","1984","(2a) intermediate vocational","Male","202","0.551593874431123","0.50165588088849","0.601531867973756"
"CDU/CSU","1984","(2a) intermediate vocational","Female","240","0.529365628086665","0.484572788803719","0.574158467369612"
"CDU/CSU","1984","(2c_gen) general maturity certificate","Male","34","0.318777783455112","0.236756667619052","0.400798899291172"
"CDU/CSU","1984","(2c_gen) general maturity certificate","Female","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","Male","69","0.443527151509236","0.37135087190297","0.515703431115502"
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","Female","38","0.444176831885786","0.347750803600923","0.540602860170649"
"CDU/CSU","1984","(3a) lower tertiary education","Male","65","0.53584978648344","0.447715205603176","0.623984367363704"
"CDU/CSU","1984","(3a) lower tertiary education","Female","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","Male","90","0.443904300688654","0.378547460329847","0.509261141047462"
"CDU/CSU","1984","(3b) higher tertiary education","Female","44","0.448027952424146","0.355929957019703","0.540125947828588"
"SPD","1984","(0) in school","Male","","","",""
"SPD","1984","(0) in school","Female","","","",""
"SPD","1984","(1a) inadequately completed","Male","138","0.686504838715133","0.616562208344434","0.756447469085832"
"SPD","1984","(1a) inadequately completed","Female","105","0.755313475147482","0.680545628416046","0.830081321878918"
"SPD","1984","(1b) general elementary school","Male","288","0.562066532799299","0.516678675637826","0.607454389960773"
"SPD","1984","(1b) general elementary school","Female","511","0.494035422589844","0.463032370643965","0.525038474535723"
"SPD","1984","(1c) basic vocational qualification","Male","797","0.509418423383111","0.484145147291702","0.534691699474521"
"SPD","1984","(1c) basic vocational qualification","Female","510","0.511196793922166","0.479641614227238","0.542751973617094"
"SPD","1984","(2b) intermediate general qualification","Male","33","0.326434389920165","0.231642306270967","0.421226473569363"
"SPD","1984","(2b) intermediate general qualification","Female","45","0.301782006824621","0.226546602090772","0.37701741155847"
"SPD","1984","(2a) intermediate vocational","Male","137","0.348609070084694","0.30075974704109","0.396458393128298"
"SPD","1984","(2a) intermediate vocational","Female","189","0.365286971698503","0.322075933647593","0.408498009749413"
"SPD","1984","(2c_gen) general maturity certificate","Male","43","0.319810311952913","0.237718753273988","0.401901870631838"
"SPD","1984","(2c_gen) general maturity certificate","Female","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","Male","80","0.362843720089916","0.292989091729704","0.432698348450128"
"SPD","1984","(2c_voc) vocational maturity certificate","Female","35","0.3011061915458","0.212080891803136","0.390131491288465"
"SPD","1984","(3a) lower tertiary education","Male","41","0.326021450639144","0.243181151151664","0.408861750126624"
"SPD","1984","(3a) lower tertiary education","Female","","","",""
"SPD","1984","(3b) higher tertiary education","Male","82","0.318755339136396","0.257456550315339","0.380054127957453"
"SPD","1984","(3b) higher tertiary education","Female","41","0.325151607724833","0.238398480018486","0.411904735431179"
"FDP","1984","(0) in school","Male","","","",""
"FDP","1984","(0) in school","Female","","","",""
"FDP","1984","(1a) inadequately completed","Male","","","",""
"FDP","1984","(1a) inadequately completed","Female","","","",""
"FDP","1984","(1b) general elementary school","Male","","","",""
"FDP","1984","(1b) general elementary school","Female","","","",""
"FDP","1984","(1c) basic vocational qualification","Male","","","",""
"FDP","1984","(1c) basic vocational qualification","Female","","","",""
"FDP","1984","(2b) intermediate general qualification","Male","","","",""
"FDP","1984","(2b) intermediate general qualification","Female","","","",""
"FDP","1984","(2a) intermediate vocational","Male","","","",""
"FDP","1984","(2a) intermediate vocational","Female","","","",""
"FDP","1984","(2c_gen) general maturity certificate","Male","","","",""
"FDP","1984","(2c_gen) general maturity certificate","Female","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","Male","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","Female","","","",""
"FDP","1984","(3a) lower tertiary education","Male","","","",""
"FDP","1984","(3a) lower tertiary education","Female","","","",""
"FDP","1984","(3b) higher tertiary education","Male","","","",""
"FDP","1984","(3b) higher tertiary education","Female","","","",""
"Grüne","1984","(0) in school","Male","","","",""
"Grüne","1984","(0) in school","Female","","","",""
"Grüne","1984","(1a) inadequately completed","Male","","","",""
"Grüne","1984","(1a) inadequately completed","Female","","","",""
"Grüne","1984","(1b) general elementary school","Male","","","",""
"Grüne","1984","(1b) general elementary school","Female","","","",""
