"party","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","(0) in school","","","",""
"CDU/CSU","1984","lower secondary degree","(1a) inadequately completed","","","",""
"CDU/CSU","1984","lower secondary degree","(1b) general elementary school","544","0.451955805528005","0.424421000627969","0.479490610428042"
"CDU/CSU","1984","lower secondary degree","(1c) basic vocational qualification","1008","0.445335421122406","0.425050315399126","0.465620526845685"
"CDU/CSU","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"CDU/CSU","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"CDU/CSU","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"CDU/CSU","1984","secondary school degree","(0) in school","","","",""
"CDU/CSU","1984","secondary school degree","(1a) inadequately completed","","","",""
"CDU/CSU","1984","secondary school degree","(1b) general elementary school","","","",""
"CDU/CSU","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"CDU/CSU","1984","secondary school degree","(2b) intermediate general qualification","100","0.464992587002891","0.401492132685886","0.528493041319897"
"CDU/CSU","1984","secondary school degree","(2a) intermediate vocational","442","0.538891308964718","0.505536635694821","0.572245982234615"
"CDU/CSU","1984","secondary school degree","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"CDU/CSU","1984","secondary school degree","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","secondary school degree","(3b) higher tertiary education","","","",""
"CDU/CSU","1984","college entrance qualification","(0) in school","","","",""
"CDU/CSU","1984","college entrance qualification","(1a) inadequately completed","","","",""
"CDU/CSU","1984","college entrance qualification","(1b) general elementary school","","","",""
"CDU/CSU","1984","college entrance qualification","(1c) basic vocational qualification","","","",""
"CDU/CSU","1984","college entrance qualification","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","college entrance qualification","(2a) intermediate vocational","","","",""
"CDU/CSU","1984","college entrance qualification","(2c_gen) general maturity certificate","59","0.335456471609025","0.268143774436428","0.402769168781621"
"CDU/CSU","1984","college entrance qualification","(2c_voc) vocational maturity certificate","101","0.462246300225255","0.397388294929508","0.527104305521002"
"CDU/CSU","1984","college entrance qualification","(3a) lower tertiary education","59","0.517334511042792","0.429025629473668","0.605643392611916"
"CDU/CSU","1984","college entrance qualification","(3b) higher tertiary education","120","0.441579751997785","0.384229279363354","0.498930224632215"
"CDU/CSU","1984","Other degree","(0) in school","","","",""
"CDU/CSU","1984","Other degree","(1a) inadequately completed","","","",""
"CDU/CSU","1984","Other degree","(1b) general elementary school","33","0.170734455296774","0.118972881874648","0.2224960287189"
"CDU/CSU","1984","Other degree","(1c) basic vocational qualification","32","0.261536382340323","0.193652642430498","0.329420122250148"
"CDU/CSU","1984","Other degree","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","Other degree","(2a) intermediate vocational","","","",""
"CDU/CSU","1984","Other degree","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","Other degree","(2c_voc) vocational maturity certificate","","","",""
"CDU/CSU","1984","Other degree","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","Other degree","(3b) higher tertiary education","","","",""
"CDU/CSU","1984","no degree/no degree yet","(0) in school","","","",""
"CDU/CSU","1984","no degree/no degree yet","(1a) inadequately completed","34","0.204525114877452","0.158574767978364","0.250475461776541"
"CDU/CSU","1984","no degree/no degree yet","(1b) general elementary school","","","",""
"CDU/CSU","1984","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"CDU/CSU","1984","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","no degree/no degree yet","(2a) intermediate vocational","","","",""
"CDU/CSU","1984","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"CDU/CSU","1984","no degree/no degree yet","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","no degree/no degree yet","(3b) higher tertiary education","","","",""
"SPD","1984","lower secondary degree","(0) in school","","","",""
"SPD","1984","lower secondary degree","(1a) inadequately completed","","","",""
"SPD","1984","lower secondary degree","(1b) general elementary school","645","0.503238782966934","0.475576557232882","0.530901008700987"
"SPD","1984","lower secondary degree","(1c) basic vocational qualification","1186","0.507905698595609","0.487500813654577","0.528310583536641"
"SPD","1984","lower secondary degree","(2b) intermediate general qualification","","","",""
"SPD","1984","lower secondary degree","(2a) intermediate vocational","","","",""
"SPD","1984","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"SPD","1984","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"SPD","1984","lower secondary degree","(3a) lower tertiary education","","","",""
"SPD","1984","lower secondary degree","(3b) higher tertiary education","","","",""
"SPD","1984","secondary school degree","(0) in school","","","",""
"SPD","1984","secondary school degree","(1a) inadequately completed","","","",""
"SPD","1984","secondary school degree","(1b) general elementary school","","","",""
"SPD","1984","secondary school degree","(1c) basic vocational qualification","","","",""
"SPD","1984","secondary school degree","(2b) intermediate general qualification","78","0.31046307426726","0.251557328461773","0.369368820072747"
"SPD","1984","secondary school degree","(2a) intermediate vocational","326","0.358139832602291","0.326058605416678","0.390221059787903"
