"party","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Not Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1984","Employed","1-pers.-HH","","","","","7"
"AfD","1984","Not Employed","1-pers.-HH","","","","","7"
"AfD","1984","Not Employed","(Married) couple without C. ","","","","","7"
"AfD","1984","Not Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1984","Not Employed","Couple + C. LE and GT 16","","","","","7"
"AfD","1984","Employed","Single parent ","","","","","7"
"AfD","1984","Not Employed","Single parent ","","","","","7"
"AfD","1984","Employed","(Married) couple without C. ","","","","","7"
"AfD","1984","Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1984","Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1984","Employed","Couple + C. LE and GT 16","","","","","7"
"CDU/CSU","1984","Not Employed","(Married) couple without C. ","336","0.470429002966717","0.434246505269145","0.506611500664289","1"
"CDU/CSU","1984","Not Employed","Single parent ","34","0.330952206405019","0.244573463934392","0.417330948875646","1"
"CDU/CSU","1984","Employed","(Married) couple without C. ","347","0.425210921081209","0.392528809183122","0.457893032979295","1"
"CDU/CSU","1984","Employed","Couple + C. LE and GT 16","213","0.531720700454571","0.488156766904369","0.575284634004773","1"
"CDU/CSU","1984","Not Employed","1-pers.-HH","181","0.484062011066765","0.434463910923294","0.533660111210236","1"
"CDU/CSU","1984","Not Employed","Couple + C. LE 16 ","148","0.396692041623707","0.350126845790986","0.443257237456427","1"
"CDU/CSU","1984","Not Employed","Couple + C. GT 16 ","145","0.468933091291512","0.41627457668561","0.521591605897414","1"
"CDU/CSU","1984","Not Employed","Couple + C. LE and GT 16","94","0.487921510850475","0.424417250584143","0.551425771116806","1"
"CDU/CSU","1984","Employed","1-pers.-HH","129","0.384811157236519","0.333910594268093","0.435711720204944","1"
"CDU/CSU","1984","Employed","Single parent ","66","0.419621234368629","0.347123810330694","0.492118658406564","1"
"CDU/CSU","1984","Employed","Couple + C. LE 16 ","430","0.413310947328818","0.385262121453811","0.441359773203825","1"
"CDU/CSU","1984","Employed","Couple + C. GT 16 ","273","0.438612956633207","0.401398673286122","0.475827239980293","1"
"FDP","1984","Employed","Couple + C. LE 16 ","36","0.0345568520201225","0.0241527960771361","0.0449609079631089","3"
"FDP","1984","Employed","Couple + C. GT 16 ","16","","","","3"
"FDP","1984","Employed","(Married) couple without C. ","24","","","","3"
"FDP","1984","Employed","Single parent ","5","","","","3"
"FDP","1984","Employed","Couple + C. LE and GT 16","11","","","","3"
"FDP","1984","Not Employed","1-pers.-HH","14","","","","3"
"FDP","1984","Not Employed","(Married) couple without C. ","23","","","","3"
"FDP","1984","Not Employed","Single parent ","3","","","","3"
"FDP","1984","Employed","1-pers.-HH","15","","","","3"
"FDP","1984","Not Employed","Couple + C. LE 16 ","16","","","","3"
"FDP","1984","Not Employed","Couple + C. GT 16 ","5","","","","3"
"FDP","1984","Not Employed","Couple + C. LE and GT 16","9","","","","3"
"NPD Combination","1984","Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1984","Not Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1984","Not Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1984","Not Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1984","Employed","1-pers.-HH","","","","","6"
"NPD Combination","1984","Employed","Single parent ","","","","","6"
"NPD Combination","1984","Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1984","Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1984","Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1984","Not Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1984","Not Employed","1-pers.-HH","","","","","6"
"NPD Combination","1984","Not Employed","Single parent ","","","","","6"
"Other","1984","Not Employed","1-pers.-HH","5","","","","8"
"Other","1984","Not Employed","(Married) couple without C. ","5","","","","8"
"Other","1984","Not Employed","Single parent ","2","","","","8"
"Other","1984","Not Employed","Couple + C. LE 16 ","","","","","8"
"Other","1984","Not Employed","Couple + C. GT 16 ","3","","","","8"
"Other","1984","Not Employed","Couple + C. LE and GT 16","1","","","","8"
"Other","1984","Employed","1-pers.-HH","3","","","","8"
"Other","1984","Employed","(Married) couple without C. ","7","","","","8"
"Other","1984","Employed","Single parent ","3","","","","8"
"Other","1984","Employed","Couple + C. LE 16 ","3","","","","8"
"Other","1984","Employed","Couple + C. GT 16 ","4","","","","8"
"Other","1984","Employed","Couple + C. LE and GT 16","3","","","","8"
"PDS/Linke","1984","Not Employed","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1984","Not Employed","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1984","Employed","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1984","Not Employed","Couple + C. LE and GT 16","","","","","5"
"PDS/Linke","1984","Employed","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1984","Employed","(Married) couple without C. ","","","","","5"
"PDS/Linke","1984","Employed","Single parent ","","","","","5"
"PDS/Linke","1984","Employed","1-pers.-HH","","","","","5"
"PDS/Linke","1984","Not Employed","1-pers.-HH","","","","","5"
"PDS/Linke","1984","Not Employed","(Married) couple without C. ","","","","","5"
"PDS/Linke","1984","Not Employed","Single parent ","","","","","5"
"PDS/Linke","1984","Employed","Couple + C. LE and GT 16","","","","","5"
"SPD","1984","Not Employed","Couple + C. GT 16 ","155","0.423940958456623","0.37179451052017","0.476087406393077","2"
"SPD","1984","Not Employed","Couple + C. LE and GT 16","100","0.348223386613109","0.28769794503735","0.408748828188868","2"
"SPD","1984","Not Employed","Couple + C. LE 16 ","233","0.49179875013596","0.444213019985023","0.539384480286898","2"
"SPD","1984","Employed","1-pers.-HH","171","0.459203530072821","0.407070368181018","0.511336691964623","2"
"SPD","1984","Not Employed","1-pers.-HH","170","0.432255120562281","0.383089392600678","0.481420848523884","2"
"SPD","1984","Not Employed","(Married) couple without C. ","339","0.459507938930725","0.42338104934725","0.4956348285142","2"
"SPD","1984","Not Employed","Single parent ","60","0.509294592744558","0.417526729449695","0.601062456039422","2"
"SPD","1984","Employed","Single parent ","91","0.458772876762269","0.385570238547697","0.531975514976842","2"
"SPD","1984","Employed","(Married) couple without C. ","452","0.485585971062771","0.452545736559028","0.518626205566514","2"
"SPD","1984","Employed","Couple + C. LE 16 ","662","0.511376778668193","0.482904003902849","0.539849553433536","2"
"SPD","1984","Employed","Couple + C. LE and GT 16","236","0.375244820089163","0.332973568332735","0.417516071845592","2"
"SPD","1984","Employed","Couple + C. GT 16 ","350","0.475171111077969","0.437719403828405","0.512622818327533","2"
"AfD","1985","Employed","1-pers.-HH","","","","","7"
"AfD","1985","Not Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1985","Not Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1985","Not Employed","Couple + C. LE and GT 16","","","","","7"
"AfD","1985","Not Employed","1-pers.-HH","","","","","7"
"AfD","1985","Not Employed","(Married) couple without C. ","","","","","7"
"AfD","1985","Not Employed","Single parent ","","","","","7"
"AfD","1985","Employed","(Married) couple without C. ","","","","","7"
"AfD","1985","Employed","Single parent ","","","","","7"
"AfD","1985","Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1985","Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1985","Employed","Couple + C. LE and GT 16","","","","","7"
"CDU/CSU","1985","Not Employed","1-pers.-HH","143","0.458221169760952","0.404217558161112","0.512224781360792","1"
"CDU/CSU","1985","Not Employed","(Married) couple without C. ","317","0.484846347203169","0.447060087049163","0.522632607357175","1"
"CDU/CSU","1985","Not Employed","Single parent ","39","0.413591322106285","0.316581346152292","0.510601298060278","1"
"CDU/CSU","1985","Not Employed","Couple + C. LE and GT 16","70","0.462755770372015","0.392228142354105","0.533283398389926","1"
"CDU/CSU","1985","Employed","1-pers.-HH","111","0.362811726772338","0.310935824163608","0.414687629381069","1"
"CDU/CSU","1985","Employed","(Married) couple without C. ","322","0.419666544185421","0.385447672936443","0.453885415434399","1"
"CDU/CSU","1985","Employed","Couple + C. LE and GT 16","199","0.551293717920167","0.504174420817675","0.59841301502266","1"
"CDU/CSU","1985","Employed","Single parent ","56","0.430585903998905","0.351080075421272","0.510091732576538","1"
"CDU/CSU","1985","Not Employed","Couple + C. LE 16 ","130","0.415171021423894","0.364199355854585","0.466142686993204","1"
"CDU/CSU","1985","Not Employed","Couple + C. GT 16 ","164","0.515719851263319","0.462442208828879","0.568997493697759","1"
"CDU/CSU","1985","Employed","Couple + C. LE 16 ","350","0.381825099355698","0.352368821597039","0.411281377114358","1"
"CDU/CSU","1985","Employed","Couple + C. GT 16 ","260","0.421019872116102","0.384100623901721","0.457939120330483","1"
"FDP","1985","Employed","Couple + C. LE 16 ","33","0.0366921727686338","0.0252933708918482","0.0480909746454194","3"
"FDP","1985","Employed","Couple + C. GT 16 ","20","","","","3"
"FDP","1985","Employed","(Married) couple without C. ","26","","","","3"
"FDP","1985","Employed","Single parent ","2","","","","3"
"FDP","1985","Employed","Couple + C. LE and GT 16","12","","","","3"
"FDP","1985","Not Employed","Single parent ","1","","","","3"
"FDP","1985","Not Employed","1-pers.-HH","21","","","","3"
"FDP","1985","Not Employed","(Married) couple without C. ","33","0.048524530194894","0.032278662119636","0.0647703982701521","3"
"FDP","1985","Employed","1-pers.-HH","15","","","","3"
"FDP","1985","Not Employed","Couple + C. LE 16 ","13","","","","3"
"FDP","1985","Not Employed","Couple + C. LE and GT 16","5","","","","3"
"FDP","1985","Not Employed","Couple + C. GT 16 ","8","","","","3"
"NPD Combination","1985","Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1985","Not Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1985","Not Employed","1-pers.-HH","","","","","6"
"NPD Combination","1985","Not Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1985","Not Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1985","Employed","1-pers.-HH","","","","","6"
"NPD Combination","1985","Employed","Single parent ","","","","","6"
"NPD Combination","1985","Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1985","Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1985","Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1985","Not Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1985","Not Employed","Single parent ","","","","","6"
"Other","1985","Not Employed","Couple + C. LE 16 ","1","","","","8"
"Other","1985","Not Employed","Couple + C. GT 16 ","4","","","","8"
"Other","1985","Not Employed","Couple + C. LE and GT 16","4","","","","8"
"Other","1985","Not Employed","1-pers.-HH","1","","","","8"
"Other","1985","Not Employed","(Married) couple without C. ","6","","","","8"
"Other","1985","Employed","1-pers.-HH","2","","","","8"
"Other","1985","Employed","Single parent ","","","","","8"
"Other","1985","Employed","Couple + C. LE 16 ","3","","","","8"
"Other","1985","Employed","Couple + C. GT 16 ","6","","","","8"
"Other","1985","Employed","Couple + C. LE and GT 16","1","","","","8"
"Other","1985","Not Employed","Single parent ","1","","","","8"
"Other","1985","Employed","(Married) couple without C. ","5","","","","8"
"PDS/Linke","1985","Not Employed","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1985","Not Employed","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1985","Not Employed","Couple + C. LE and GT 16","","","","","5"
"PDS/Linke","1985","Employed","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1985","Employed","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1985","Employed","1-pers.-HH","","","","","5"
"PDS/Linke","1985","Employed","(Married) couple without C. ","","","","","5"
"PDS/Linke","1985","Employed","Single parent ","","","","","5"
"PDS/Linke","1985","Not Employed","1-pers.-HH","","","","","5"
"PDS/Linke","1985","Not Employed","(Married) couple without C. ","","","","","5"
"PDS/Linke","1985","Not Employed","Single parent ","","","","","5"
"PDS/Linke","1985","Employed","Couple + C. LE and GT 16","","","","","5"
"SPD","1985","Not Employed","Couple + C. GT 16 ","128","0.359336951258046","0.308185787574455","0.410488114941636","2"
"SPD","1985","Not Employed","Couple + C. LE and GT 16","86","0.348739130403583","0.281328977970688","0.416149282836477","2"
"SPD","1985","Not Employed","Couple + C. LE 16 ","187","0.456491226572319","0.404965946185917","0.508016506958722","2"
"SPD","1985","Employed","1-pers.-HH","163","0.45924546021569","0.405478727758214","0.513012192673167","2"
"SPD","1985","Not Employed","1-pers.-HH","149","0.448809939954141","0.394901577879405","0.502718302028877","2"
"SPD","1985","Not Employed","(Married) couple without C. ","293","0.430320400082311","0.392885665703908","0.467755134460714","2"
"SPD","1985","Not Employed","Single parent ","50","0.480545836374694","0.382128519929583","0.578963152819804","2"
"SPD","1985","Employed","Single parent ","82","0.497210662945086","0.416928659266497","0.577492666623674","2"
"SPD","1985","Employed","(Married) couple without C. ","395","0.480429533665279","0.445786830045886","0.515072237284671","2"
"SPD","1985","Employed","Couple + C. LE 16 ","593","0.517865889482339","0.487570082298438","0.54816169666624","2"
"SPD","1985","Employed","Couple + C. LE and GT 16","198","0.375022861995678","0.32915725516375","0.420888468827606","2"
"SPD","1985","Employed","Couple + C. GT 16 ","353","0.471916281999333","0.434586660023998","0.509245903974669","2"
"AfD","1986","Not Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1986","Not Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1986","Not Employed","Couple + C. LE and GT 16","","","","","7"
"AfD","1986","Employed","1-pers.-HH","","","","","7"
"AfD","1986","Not Employed","1-pers.-HH","","","","","7"
"AfD","1986","Not Employed","(Married) couple without C. ","","","","","7"
"AfD","1986","Not Employed","Single parent ","","","","","7"
"AfD","1986","Employed","(Married) couple without C. ","","","","","7"
"AfD","1986","Employed","Single parent ","","","","","7"
"AfD","1986","Employed","Couple + C. LE 16 ","","","","","7"
"AfD","1986","Employed","Couple + C. GT 16 ","","","","","7"
"AfD","1986","Employed","Couple + C. LE and GT 16","","","","","7"
"CDU/CSU","1986","Not Employed","1-pers.-HH","147","0.486205064365434","0.431698164907167","0.5407119638237","1"
"CDU/CSU","1986","Not Employed","(Married) couple without C. ","285","0.478983358255647","0.439143697499625","0.518823019011668","1"
"CDU/CSU","1986","Employed","1-pers.-HH","92","0.32298595121508","0.27033364075548","0.37563826167468","1"
"CDU/CSU","1986","Employed","(Married) couple without C. ","319","0.41525249751213","0.380825350093468","0.449679644930792","1"
"CDU/CSU","1986","Employed","Couple + C. LE and GT 16","179","0.535998358440972","0.487429033453041","0.584567683428903","1"
"CDU/CSU","1986","Not Employed","Single parent ","30","0.376304806734515","0.275655875145425","0.476953738323605","1"
"CDU/CSU","1986","Not Employed","Couple + C. LE 16 ","112","0.381095189324772","0.328049656308972","0.434140722340572","1"
"CDU/CSU","1986","Not Employed","Couple + C. GT 16 ","172","0.500329869911959","0.448608409810667","0.552051330013251","1"
"CDU/CSU","1986","Not Employed","Couple + C. LE and GT 16","69","0.45307911071699","0.381347348169943","0.524810873264038","1"
"CDU/CSU","1986","Employed","Single parent ","54","0.4452444940672","0.360461018684284","0.530027969450116","1"
"CDU/CSU","1986","Employed","Couple + C. LE 16 ","327","0.389022332505848","0.358085643006056","0.41995902200564","1"
"CDU/CSU","1986","Employed","Couple + C. GT 16 ","298","0.468273972602416","0.431544140526939","0.505003804677893","1"
"FDP","1986","Employed","Couple + C. GT 16 ","22","","","","3"
"FDP","1986","Not Employed","1-pers.-HH","11","","","","3"
"FDP","1986","Not Employed","(Married) couple without C. ","25","","","","3"
"FDP","1986","Employed","(Married) couple without C. ","30","0.0428206406229273","0.0286762589305297","0.0569650223153249","3"
"FDP","1986","Employed","Couple + C. LE 16 ","27","","","","3"
"FDP","1986","Not Employed","Single parent ","","","","","3"
"FDP","1986","Not Employed","Couple + C. LE 16 ","10","","","","3"
"FDP","1986","Not Employed","Couple + C. GT 16 ","9","","","","3"
"FDP","1986","Employed","Single parent ","2","","","","3"
"FDP","1986","Employed","Couple + C. LE and GT 16","8","","","","3"
"FDP","1986","Employed","1-pers.-HH","11","","","","3"
"FDP","1986","Not Employed","Couple + C. LE and GT 16","5","","","","3"
"NPD Combination","1986","Not Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1986","Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1986","Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1986","Not Employed","1-pers.-HH","","","","","6"
"NPD Combination","1986","Not Employed","(Married) couple without C. ","","","","","6"
"NPD Combination","1986","Not Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1986","Not Employed","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1986","Employed","1-pers.-HH","","","","","6"
"NPD Combination","1986","Employed","Single parent ","","","","","6"
"NPD Combination","1986","Employed","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1986","Employed","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1986","Not Employed","Single parent ","","","","","6"
"Other","1986","Not Employed","Couple + C. LE 16 ","1","","","","8"
"Other","1986","Not Employed","Couple + C. GT 16 ","1","","","","8"
"Other","1986","Not Employed","Couple + C. LE and GT 16","","","","","8"
"Other","1986","Employed","1-pers.-HH","3","","","","8"
"Other","1986","Not Employed","1-pers.-HH","2","","","","8"
"Other","1986","Not Employed","(Married) couple without C. ","4","","","","8"
"Other","1986","Not Employed","Single parent ","2","","","","8"
"Other","1986","Employed","(Married) couple without C. ","5","","","","8"
"Other","1986","Employed","Single parent ","","","","","8"
"Other","1986","Employed","Couple + C. LE 16 ","4","","","","8"
"Other","1986","Employed","Couple + C. GT 16 ","4","","","","8"
"Other","1986","Employed","Couple + C. LE and GT 16","2","","","","8"
"PDS/Linke","1986","Not Employed","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1986","Not Employed","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1986","Not Employed","Couple + C. LE and GT 16","","","","","5"
