"party","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","West Germany","","","","","7"
"AfD","1984","East Germany","","","","","7"
"CDU/CSU","1984","East Germany","","","","","2"
"CDU/CSU","1984","West Germany","2610","0.452351291260803","0.440192363235964","0.464510219285641","2"
"FDP","1984","West Germany","181","0.0312232868374014","0.0269745729003303","0.0354720007744726","3"
"FDP","1984","East Germany","","","","","3"
"Grüne","1984","West Germany","431","0.0576825855627244","0.0519871452549958","0.0633780258704529","4"
"Grüne","1984","East Germany","","","","","4"
"NPD","1984","West Germany","","","","","6"
"NPD","1984","East Germany","","","","","6"
"Other","1984","West Germany","40","0.00614798465533237","0.00423842343988436","0.00805754587078038","8"
"Other","1984","East Germany","","","","","8"
"PDS/Linke","1984","East Germany","","","","","5"
"PDS/Linke","1984","West Germany","","","","","5"
"SPD","1984","West Germany","3175","0.452594851683739","0.440435355521072","0.464754347846406","1"
"SPD","1984","East Germany","","","","","1"
"AfD","1985","West Germany","","","","","7"
"AfD","1985","East Germany","","","","","7"
"CDU/CSU","1985","West Germany","2325","0.444664111937301","0.431847713311469","0.457480510563134","2"
"CDU/CSU","1985","East Germany","","","","","2"
"FDP","1985","West Germany","198","0.0389250700507311","0.0339366223607695","0.0439135177406927","3"
"FDP","1985","East Germany","","","","","3"
"Grüne","1985","West Germany","408","0.061459881500649","0.0552655509539896","0.0676542120473085","4"
"Grüne","1985","East Germany","","","","","4"
"NPD","1985","West Germany","","","","","6"
"NPD","1985","East Germany","","","","","6"
"Other","1985","West Germany","36","0.00691558776180891","0.00477821767089081","0.009052957852727","8"
"Other","1985","East Germany","","","","","8"
"PDS/Linke","1985","West Germany","","","","","5"
"PDS/Linke","1985","East Germany","","","","","5"
"SPD","1985","West Germany","2808","0.448035348749509","0.43520956628796","0.460861131211059","1"
"SPD","1985","East Germany","","","","","1"
"AfD","1986","East Germany","","","","","7"
"AfD","1986","West Germany","","","","","7"
"CDU/CSU","1986","East Germany","","","","","2"
