"party","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","(0) in school","West Germany","22","","",""
"CDU/CSU","1984","(0) in school","East Germany","","","",""
"CDU/CSU","1984","(1a) inadequately completed","West Germany","34","0.204525114877452","0.158574767978364","0.250475461776541"
"CDU/CSU","1984","(1a) inadequately completed","East Germany","","","",""
"CDU/CSU","1984","(1b) general elementary school","West Germany","577","0.443459866211311","0.417959598849468","0.468960133573154"
"CDU/CSU","1984","(1b) general elementary school","East Germany","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","West Germany","1040","0.442534116429002","0.42293456905148","0.462133663806523"
"CDU/CSU","1984","(1c) basic vocational qualification","East Germany","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","West Germany","100","0.464992587002891","0.401492132685886","0.528493041319897"
"CDU/CSU","1984","(2b) intermediate general qualification","East Germany","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","West Germany","442","0.538891308964718","0.505536635694821","0.572245982234615"
"CDU/CSU","1984","(2a) intermediate vocational","East Germany","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","West Germany","61","0.325115250314565","0.263635918666606","0.386594581962525"
"CDU/CSU","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","West Germany","107","0.443764723201165","0.385982456702167","0.501546989700163"
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","West Germany","86","0.529534972502812","0.454942523832843","0.60412742117278"
"CDU/CSU","1984","(3a) lower tertiary education","East Germany","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","West Germany","134","0.445313679579818","0.392013140243257","0.49861421891638"
"CDU/CSU","1984","(3b) higher tertiary education","East Germany","","","",""
"SPD","1984","(0) in school","West Germany","32","0.36273604809237","0.253925125124377","0.471546971060362"
"SPD","1984","(0) in school","East Germany","","","",""
"SPD","1984","(1a) inadequately completed","West Germany","243","0.716487422679678","0.665143069623496","0.76783177573586"
