"party","year","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","","","","","7"
"CDU/CSU","1984","2610","0.452351291260803","0.440192363235964","0.464510219285641","2"
"FDP","1984","181","0.0312232868374014","0.0269745729003303","0.0354720007744726","3"
"NPD","1984","","","","","6"
"Other","1984","40","0.00614798465533237","0.00423842343988436","0.00805754587078038","8"
"PDS/Linke","1984","","","","","5"
"SPD","1984","3175","0.452594851683739","0.440435355521072","0.464754347846406","1"
"AfD","1985","","","","","7"
"CDU/CSU","1985","2325","0.444664111937301","0.431847713311469","0.457480510563134","2"
"FDP","1985","198","0.0389250700507311","0.0339366223607695","0.0439135177406927","3"
"NPD","1985","","","","","6"
"Other","1985","36","0.00691558776180891","0.00477821767089081","0.009052957852727","8"
"PDS/Linke","1985","","","","","5"
"SPD","1985","2808","0.448035348749509","0.43520956628796","0.460861131211059","1"
"AfD","1986","","","","","7"
"CDU/CSU","1986","2204","0.441878745983059","0.428729123705733","0.455028368260386","2"
"FDP","1986","170","0.0348798878477047","0.0300216847820127","0.0397380909133966","3"
"NPD","1986","","","","","6"
"Other","1986","29","","","","8"
"PDS/Linke","1986","","","","","5"
"SPD","1986","2691","0.455374751981624","0.44218821369656","0.468561290266689","1"
"AfD","1987","","","","","7"
"CDU/CSU","1987","2419","0.453496115948949","0.440709426772719","0.466282805125179","2"
"FDP","1987","278","0.0539436485489551","0.0481413060927636","0.0597459910051465","3"
"NPD","1987","","","","","6"
"Other","1987","37","0.00725299520357775","0.00507351622861508","0.00943247417854042","8"
"PDS/Linke","1987","","","","","5"
"SPD","1987","2618","0.41724886164995","0.404583609470979","0.429914113828921","1"
"AfD","1988","","","","","7"
"CDU/CSU","1988","2014","0.420281571869684","0.406884815435367","0.433678328304002","2"
"FDP","1988","214","0.0456551277127314","0.0399898867350395","0.0513203686904233","3"
"NPD","1988","","","","","6"
"Other","1988","48","0.0104157108612144","0.00766026559795832","0.0131711561244705","8"
"PDS/Linke","1988","","","","","5"
"SPD","1988","2600","0.465963850798634","0.452424982134807","0.479502719462461","1"
"AfD","1989","","","","","7"
"CDU/CSU","1989","1730","0.389539412904193","0.376017398511303","0.403061427297083","2"
