"party","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Not Employed","higher vocational","","","","","7"
"AfD","1984","Employed","vocational + Abi","","","","","7"
"AfD","1984","Employed","higher vocational","","","","","7"
"AfD","1984","Employed","higher education","","","","","7"
"AfD","1984","Not Employed","vocational + Abi","","","","","7"
"AfD","1984","Not Employed","in school","","","","","7"
"AfD","1984","Not Employed","inadequately","","","","","7"
"AfD","1984","Not Employed","general elemantary","","","","","7"
"AfD","1984","Not Employed","middle vocational","","","","","7"
"AfD","1984","Not Employed","higher education","","","","","7"
"AfD","1984","Employed","in school","","","","","7"
"AfD","1984","Employed","inadequately","","","","","7"
"AfD","1984","Employed","general elemantary","","","","","7"
"AfD","1984","Employed","middle vocational","","","","","7"
"CDU/CSU","1984","Employed","middle vocational","886","0.437843619257883","0.417036600496092","0.458650638019673","2"
"CDU/CSU","1984","Employed","general elemantary","260","0.393208010945281","0.358661946496138","0.427754075394423","2"
"CDU/CSU","1984","Not Employed","inadequately","7","","","","2"
"CDU/CSU","1984","Not Employed","in school","20","","","","2"
"CDU/CSU","1984","Not Employed","general elemantary","415","0.479437589523468","0.447138314213778","0.511736864833157","2"
"CDU/CSU","1984","Employed","vocational + Abi","41","0.364070365801608","0.2834982062133","0.444642525389915","2"
"CDU/CSU","1984","Employed","in school","2","","","","2"
"CDU/CSU","1984","Not Employed","middle vocational","482","0.46869604745781","0.439044264518773","0.498347830396848","2"
"CDU/CSU","1984","Not Employed","vocational + Abi","9","","","","2"
"CDU/CSU","1984","Not Employed","higher education","49","0.554350747194574","0.458825024645587","0.649876469743562","2"
"CDU/CSU","1984","Employed","inadequately","24","","","","2"
"CDU/CSU","1984","Not Employed","higher vocational","66","0.571177457399974","0.481115075305254","0.661239839494693","2"
"CDU/CSU","1984","Employed","higher vocational","174","0.571261891948268","0.516435509307123","0.626088274589413","2"
"CDU/CSU","1984","Employed","higher education","171","0.453108560082633","0.404446917917994","0.501770202247273","2"
"FDP","1984","Employed","higher vocational","12","","","","3"
"FDP","1984","Employed","higher education","36","0.0939607462138694","0.0654386263985005","0.122482866029238","3"
"FDP","1984","Not Employed","in school","","","","","3"
"FDP","1984","Not Employed","general elemantary","17","","","","3"
"FDP","1984","Not Employed","higher vocational","6","","","","3"
"FDP","1984","Employed","vocational + Abi","8","","","","3"
"FDP","1984","Employed","middle vocational","36","0.0188898065473091","0.0131803545871827","0.0245992585074355","3"
"FDP","1984","Not Employed","vocational + Abi","5","","","","3"
"FDP","1984","Not Employed","inadequately","1","","","","3"
"FDP","1984","Not Employed","middle vocational","35","0.0344835916746839","0.0236413341187225","0.0453258492306453","3"
"FDP","1984","Not Employed","higher education","8","","","","3"
"FDP","1984","Employed","inadequately","","","","","3"
"FDP","1984","Employed","general elemantary","16","","","","3"
"FDP","1984","Employed","in school","","","","","3"
"Grüne","1984","Employed","general elemantary","53","0.0582840248066134","0.041714798980355","0.0748532506328718","4"
"Grüne","1984","Employed","middle vocational","108","0.0447146742472373","0.0360467848136906","0.053382563680784","4"
"Grüne","1984","Not Employed","in school","18","","","","4"
"Grüne","1984","Employed","vocational + Abi","19","","","","4"
"Grüne","1984","Not Employed","inadequately","7","","","","4"
"Grüne","1984","Not Employed","general elemantary","41","0.033231983753144","0.0216434202268588","0.0448205472794293","4"
"Grüne","1984","Not Employed","vocational + Abi","12","","","","4"
"Grüne","1984","Employed","in school","2","","","","4"
"Grüne","1984","Employed","inadequately","5","","","","4"
"Grüne","1984","Not Employed","middle vocational","78","0.0537171088865556","0.0403203280512131","0.0671138897218981","4"
"Grüne","1984","Not Employed","higher education","17","","","","4"
"Grüne","1984","Not Employed","higher vocational","4","","","","4"
"Grüne","1984","Employed","higher vocational","22","","","","4"
"Grüne","1984","Employed","higher education","44","0.105924402543104","0.0758414681331633","0.136007336953044","4"
"NPD","1984","Not Employed","in school","","","","","6"
"NPD","1984","Employed","general elemantary","","","","","6"
"NPD","1984","Employed","middle vocational","","","","","6"
"NPD","1984","Not Employed","inadequately","","","","","6"
"NPD","1984","Not Employed","general elemantary","","","","","6"
"NPD","1984","Not Employed","middle vocational","","","","","6"
"NPD","1984","Not Employed","vocational + Abi","","","","","6"
"NPD","1984","Not Employed","higher vocational","","","","","6"
"NPD","1984","Employed","in school","","","","","6"
"NPD","1984","Employed","inadequately","","","","","6"
"NPD","1984","Not Employed","higher education","","","","","6"
"NPD","1984","Employed","higher vocational","","","","","6"
"NPD","1984","Employed","vocational + Abi","","","","","6"
"NPD","1984","Employed","higher education","","","","","6"
"Other","1984","Not Employed","in school","1","","","","8"
"Other","1984","Not Employed","inadequately","","","","","8"
"Other","1984","Employed","general elemantary","6","","","","8"
"Other","1984","Employed","middle vocational","9","","","","8"
"Other","1984","Employed","vocational + Abi","3","","","","8"
"Other","1984","Employed","higher vocational","1","","","","8"
"Other","1984","Not Employed","general elemantary","8","","","","8"
"Other","1984","Not Employed","middle vocational","7","","","","8"
"Other","1984","Not Employed","vocational + Abi","","","","","8"
"Other","1984","Not Employed","higher vocational","","","","","8"
"Other","1984","Not Employed","higher education","","","","","8"
"Other","1984","Employed","in school","","","","","8"
"Other","1984","Employed","inadequately","4","","","","8"
"Other","1984","Employed","higher education","1","","","","8"
"PDS/Linke","1984","Employed","higher vocational","","","","","5"
"PDS/Linke","1984","Employed","higher education","","","","","5"
"PDS/Linke","1984","Not Employed","vocational + Abi","","","","","5"
"PDS/Linke","1984","Not Employed","higher vocational","","","","","5"
"PDS/Linke","1984","Employed","vocational + Abi","","","","","5"
"PDS/Linke","1984","Not Employed","general elemantary","","","","","5"
"PDS/Linke","1984","Not Employed","middle vocational","","","","","5"
"PDS/Linke","1984","Not Employed","in school","","","","","5"
"PDS/Linke","1984","Not Employed","inadequately","","","","","5"
"PDS/Linke","1984","Not Employed","higher education","","","","","5"
"PDS/Linke","1984","Employed","inadequately","","","","","5"
"PDS/Linke","1984","Employed","general elemantary","","","","","5"
"PDS/Linke","1984","Employed","middle vocational","","","","","5"
"PDS/Linke","1984","Employed","in school","","","","","5"
"SPD","1984","Not Employed","in school","30","0.374991542532163","0.260762317828487","0.489220767235839","1"
"SPD","1984","Not Employed","inadequately","61","0.683192296342813","0.578597364328514","0.787787228357113","1"
"SPD","1984","Not Employed","general elemantary","438","0.459488241342663","0.42726790204544","0.491708580639886","1"
"SPD","1984","Not Employed","middle vocational","486","0.43686014614843","0.407387916769212","0.466332375527649","1"
"SPD","1984","Not Employed","vocational + Abi","22","","","","1"
"SPD","1984","Not Employed","higher vocational","40","0.346230989900985","0.259651657983158","0.432810321818812","1"
"SPD","1984","Not Employed","higher education","30","0.225291708003614","0.144999550593036","0.305583865414192","1"
"SPD","1984","Employed","in school","1","","","","1"
"SPD","1984","Employed","inadequately","152","0.74309786734347","0.680137233862545","0.806058500824394","1"
"SPD","1984","Employed","general elemantary","433","0.517455202828807","0.482114703720139","0.552795701937474","1"
"SPD","1984","Employed","middle vocational","1145","0.493884606177676","0.472916495882992","0.514852716472359","1"
"SPD","1984","Employed","vocational + Abi","66","0.406887978687128","0.324627051512497","0.489148905861759","1"
"SPD","1984","Employed","higher vocational","104","0.318982882144346","0.267348542721339","0.370617221567353","1"
"SPD","1984","Employed","higher education","150","0.344264450305389","0.297818749711996","0.390710150898782","1"
"AfD","1985","Employed","higher vocational","","","","","7"
"AfD","1985","Employed","higher education","","","","","7"
"AfD","1985","Not Employed","vocational + Abi","","","","","7"
"AfD","1985","Employed","vocational + Abi","","","","","7"
"AfD","1985","Not Employed","general elemantary","","","","","7"
"AfD","1985","Not Employed","middle vocational","","","","","7"
"AfD","1985","Not Employed","higher vocational","","","","","7"
"AfD","1985","Not Employed","higher education","","","","","7"
"AfD","1985","Not Employed","in school","","","","","7"
"AfD","1985","Not Employed","inadequately","","","","","7"
"AfD","1985","Employed","in school","","","","","7"
"AfD","1985","Employed","inadequately","","","","","7"
"AfD","1985","Employed","general elemantary","","","","","7"
"AfD","1985","Employed","middle vocational","","","","","7"
"CDU/CSU","1985","Employed","general elemantary","222","0.392692591722343","0.355687142918955","0.429698040525732","2"
"CDU/CSU","1985","Employed","middle vocational","757","0.413714184880856","0.39194957884789","0.435478790913822","2"
"CDU/CSU","1985","Not Employed","inadequately","9","","","","2"
"CDU/CSU","1985","Not Employed","general elemantary","344","0.500417821951999","0.464147073812257","0.536688570091742","2"
"CDU/CSU","1985","Employed","vocational + Abi","34","0.313871717977046","0.231524879788554","0.396218556165538","2"
"CDU/CSU","1985","Not Employed","vocational + Abi","17","","","","2"
"CDU/CSU","1985","Not Employed","in school","27","","","","2"
"CDU/CSU","1985","Not Employed","middle vocational","448","0.467584858249906","0.436706582366476","0.498463134133337","2"
"CDU/CSU","1985","Not Employed","higher education","44","0.494255292796192","0.399077310035574","0.58943327555681","2"
"CDU/CSU","1985","Employed","in school","3","","","","2"
"CDU/CSU","1985","Employed","inadequately","16","","","","2"
"CDU/CSU","1985","Not Employed","higher vocational","63","0.572128041293205","0.480903350728399","0.66335273185801","2"
"CDU/CSU","1985","Employed","higher vocational","162","0.570346108514856","0.514141933798452","0.62655028323126","2"
"CDU/CSU","1985","Employed","higher education","167","0.4056665567651","0.358762897048028","0.452570216482172","2"
"FDP","1985","Employed","vocational + Abi","7","","","","3"
"FDP","1985","Employed","higher education","39","0.0984637897777753","0.0700036581604172","0.126923921395133","3"
"FDP","1985","Employed","higher vocational","13","","","","3"
"FDP","1985","Not Employed","vocational + Abi","3","","","","3"
"FDP","1985","Not Employed","higher vocational","5","","","","3"
"FDP","1985","Not Employed","higher education","12","","","","3"
"FDP","1985","Not Employed","in school","2","","","","3"
"FDP","1985","Not Employed","inadequately","","","","","3"
"FDP","1985","Not Employed","general elemantary","13","","","","3"
"FDP","1985","Employed","in school","","","","","3"
"FDP","1985","Employed","inadequately","","","","","3"
"FDP","1985","Employed","general elemantary","9","","","","3"
"FDP","1985","Employed","middle vocational","43","0.0254686206120958","0.0185064199378833","0.0324308212863083","3"
"FDP","1985","Not Employed","middle vocational","50","0.0545077037466289","0.0404583753118054","0.0685570321814523","3"
"Grüne","1985","Not Employed","in school","17","","","","4"
"Grüne","1985","Not Employed","inadequately","4","","","","4"
"Grüne","1985","Not Employed","general elemantary","31","0.0280722463778766","0.0160898898886358","0.0400546028671174","4"
"Grüne","1985","Employed","in school","","","","","4"
"Grüne","1985","Employed","general elemantary","41","0.0589952773380086","0.0411411117953021","0.076849442880715","4"
"Grüne","1985","Employed","inadequately","8","","","","4"
"Grüne","1985","Employed","middle vocational","111","0.0511663604909426","0.0414291802079595","0.0609035407739256","4"
"Grüne","1985","Employed","vocational + Abi","19","","","","4"
"Grüne","1985","Not Employed","vocational + Abi","16","","","","4"
"Grüne","1985","Not Employed","higher education","15","","","","4"
"Grüne","1985","Not Employed","middle vocational","62","0.0477533868958921","0.0345564107267661","0.0609503630650181","4"
"Grüne","1985","Not Employed","higher vocational","4","","","","4"
"Grüne","1985","Employed","higher vocational","27","","","","4"
"Grüne","1985","Employed","higher education","49","0.118743959496127","0.0878435766893614","0.149644342302893","4"
"NPD","1985","Not Employed","in school","","","","","6"
"NPD","1985","Not Employed","general elemantary","","","","","6"
"NPD","1985","Not Employed","inadequately","","","","","6"
"NPD","1985","Employed","inadequately","","","","","6"
"NPD","1985","Employed","in school","","","","","6"
"NPD","1985","Employed","general elemantary","","","","","6"
"NPD","1985","Employed","middle vocational","","","","","6"
"NPD","1985","Not Employed","middle vocational","","","","","6"
"NPD","1985","Not Employed","vocational + Abi","","","","","6"
"NPD","1985","Not Employed","higher vocational","","","","","6"
"NPD","1985","Not Employed","higher education","","","","","6"
"NPD","1985","Employed","higher vocational","","","","","6"
"NPD","1985","Employed","vocational + Abi","","","","","6"
"NPD","1985","Employed","higher education","","","","","6"
"Other","1985","Not Employed","in school","4","","","","8"
"Other","1985","Not Employed","inadequately","","","","","8"
"Other","1985","Not Employed","general elemantary","5","","","","8"
"Other","1985","Not Employed","middle vocational","6","","","","8"
"Other","1985","Not Employed","higher vocational","","","","","8"
"Other","1985","Employed","in school","","","","","8"
"Other","1985","Employed","inadequately","1","","","","8"
"Other","1985","Employed","general elemantary","3","","","","8"
"Other","1985","Employed","middle vocational","11","","","","8"
"Other","1985","Employed","vocational + Abi","1","","","","8"
"Other","1985","Employed","higher vocational","","","","","8"
"Other","1985","Not Employed","vocational + Abi","1","","","","8"
"Other","1985","Not Employed","higher education","1","","","","8"
"Other","1985","Employed","higher education","3","","","","8"
"PDS/Linke","1985","Not Employed","vocational + Abi","","","","","5"
"PDS/Linke","1985","Employed","higher vocational","","","","","5"
"PDS/Linke","1985","Employed","higher education","","","","","5"
"PDS/Linke","1985","Employed","vocational + Abi","","","","","5"
"PDS/Linke","1985","Not Employed","general elemantary","","","","","5"
"PDS/Linke","1985","Not Employed","middle vocational","","","","","5"
"PDS/Linke","1985","Not Employed","in school","","","","","5"
"PDS/Linke","1985","Not Employed","inadequately","","","","","5"
"PDS/Linke","1985","Not Employed","higher vocational","","","","","5"
"PDS/Linke","1985","Not Employed","higher education","","","","","5"
"PDS/Linke","1985","Employed","in school","","","","","5"
"PDS/Linke","1985","Employed","inadequately","","","","","5"
"PDS/Linke","1985","Employed","general elemantary","","","","","5"
"PDS/Linke","1985","Employed","middle vocational","","","","","5"
"SPD","1985","Not Employed","in school","20","","","","1"
