"party","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Part Time","indirect migration background","","","","","7"
"AfD","1984","Full Time","no migration background","","","","","7"
"AfD","1984","Full Time","direct migration background","","","","","7"
"AfD","1984","Full Time","indirect migration background","","","","","7"
"AfD","1984","Not Working","direct migration background","","","","","7"
"AfD","1984","Part Time","no migration background","","","","","7"
"AfD","1984","Not Working","indirect migration background","","","","","7"
"AfD","1984","Part Time","direct migration background","","","","","7"
"AfD","1984","Not Working","no migration background","","","","","7"
"CDU/CSU","1984","Part Time","indirect migration background","2","","","","2"
"CDU/CSU","1984","Not Working","direct migration background","65","0.439547848485821","0.382521712393823","0.49657398457782","2"
"CDU/CSU","1984","Full Time","direct migration background","112","0.28841022477632","0.253610342659021","0.323210106893619","2"
"CDU/CSU","1984","Part Time","direct migration background","39","0.320247671887952","0.251897451696809","0.388597892079095","2"
"CDU/CSU","1984","Not Working","indirect migration background","2","","","","2"
"CDU/CSU","1984","Full Time","no migration background","1061","0.457124424607305","0.436910153486698","0.477338695727913","2"
"CDU/CSU","1984","Part Time","no migration background","340","0.42724274710436","0.393259995839472","0.461225498369247","2"
"CDU/CSU","1984","Full Time","indirect migration background","6","","","","2"
"CDU/CSU","1984","Not Working","no migration background","983","0.473478292117326","0.452219392093531","0.494737192141121","2"
"FDP","1984","Full Time","indirect migration background","","","","","3"
"FDP","1984","Not Working","no migration background","69","0.0333338693336433","0.0256908716459895","0.0409768670212972","3"
"FDP","1984","Full Time","no migration background","80","0.0349591020522983","0.0275058859157203","0.0424123181888762","3"
"FDP","1984","Full Time","direct migration background","8","","","","3"
"FDP","1984","Part Time","no migration background","17","","","","3"
"FDP","1984","Part Time","direct migration background","4","","","","3"
"FDP","1984","Part Time","indirect migration background","","","","","3"
"FDP","1984","Not Working","direct migration background","2","","","","3"
"FDP","1984","Not Working","indirect migration background","1","","","","3"
"NPD","1984","Full Time","no migration background","","","","","6"
