"party","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","1-pers.-HH","","","","","7"
"AfD","1984","(Married) couple without C. ","","","","","7"
"AfD","1984","Single parent ","","","","","7"
"AfD","1984","Couple + C. LE 16 ","","","","","7"
"AfD","1984","Couple + C. LE and GT 16","","","","","7"
"AfD","1984","Couple + C. GT 16 ","","","","","7"
"CDU/CSU","1984","(Married) couple without C. ","683","0.448577519076861","0.424283680621191","0.472871357532531","1"
"CDU/CSU","1984","1-pers.-HH","310","0.445552061140962","0.409765612498173","0.481338509783752","1"
"CDU/CSU","1984","Single parent ","100","0.383774227343702","0.327996027070347","0.439552427617057","1"
"CDU/CSU","1984","Couple + C. LE 16 ","578","0.408882325140646","0.38485302012003","0.432911630161261","1"
"CDU/CSU","1984","Couple + C. LE and GT 16","307","0.517607246435778","0.481653289003726","0.553561203867831","1"
"CDU/CSU","1984","Couple + C. GT 16 ","418","0.449262252129118","0.418855227858128","0.479669276400107","1"
"FDP","1984","1-pers.-HH","29","","","","3"
"FDP","1984","(Married) couple without C. ","47","0.0315512510327025","0.0230127474247906","0.0400897546406145","3"
"FDP","1984","Single parent ","8","","","","3"
"FDP","1984","Couple + C. GT 16 ","21","","","","3"
"FDP","1984","Couple + C. LE and GT 16","20","","","","3"
"FDP","1984","Couple + C. LE 16 ","52","0.037761458624553","0.0284445717215448","0.0470783455275612","3"
"NPD Combination","1984","1-pers.-HH","","","","","6"
"NPD Combination","1984","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1984","(Married) couple without C. ","","","","","6"
"NPD Combination","1984","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1984","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1984","Single parent ","","","","","6"
"Other","1984","1-pers.-HH","8","","","","8"
"Other","1984","(Married) couple without C. ","12","","","","8"
"Other","1984","Single parent ","5","","","","8"
"Other","1984","Couple + C. LE 16 ","3","","","","8"
"Other","1984","Couple + C. GT 16 ","7","","","","8"
"Other","1984","Couple + C. LE and GT 16","4","","","","8"
"PDS/Linke","1984","(Married) couple without C. ","","","","","5"
"PDS/Linke","1984","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1984","1-pers.-HH","","","","","5"
"PDS/Linke","1984","Single parent ","","","","","5"
"PDS/Linke","1984","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1984","Couple + C. LE and GT 16","","","","","5"
"SPD","1984","1-pers.-HH","341","0.442711271424276","0.406947821506109","0.478474721342444","2"
"SPD","1984","Couple + C. LE 16 ","895","0.50615960654525","0.481722931385371","0.530596281705129","2"
"SPD","1984","Single parent ","151","0.479197734791296","0.421898281830094","0.536497187752497","2"
"SPD","1984","(Married) couple without C. ","791","0.472110059039565","0.447724738246211","0.496495379832919","2"
"SPD","1984","Couple + C. LE and GT 16","336","0.366537678191486","0.331866719962617","0.401208636420354","2"
"SPD","1984","Couple + C. GT 16 ","505","0.457177621282703","0.426725125800645","0.487630116764762","2"
"AfD","1985","Single parent ","","","","","7"
"AfD","1985","Couple + C. LE 16 ","","","","","7"
"AfD","1985","1-pers.-HH","","","","","7"
"AfD","1985","(Married) couple without C. ","","","","","7"
"AfD","1985","Couple + C. GT 16 ","","","","","7"
"AfD","1985","Couple + C. LE and GT 16","","","","","7"
"CDU/CSU","1985","(Married) couple without C. ","639","0.45336320763729","0.42792337086282","0.47880304441176","1"
"CDU/CSU","1985","1-pers.-HH","254","0.418433026331037","0.380712455897916","0.456153596764158","1"
"CDU/CSU","1985","Couple + C. LE 16 ","480","0.390444974859569","0.364926723327563","0.415963226391575","1"
"CDU/CSU","1985","Single parent ","95","0.423544342233461","0.362047240869726","0.485041443597196","1"
"CDU/CSU","1985","Couple + C. GT 16 ","424","0.454159228249985","0.423678648996152","0.484639807503818","1"
"CDU/CSU","1985","Couple + C. LE and GT 16","269","0.524528137978888","0.485218499293408","0.563837776664369","1"
"FDP","1985","1-pers.-HH","36","0.0576459810137616","0.0398239593613155","0.0754680026662077","3"
"FDP","1985","(Married) couple without C. ","59","0.0413341619256301","0.0311616092193914","0.0515067146318689","3"
"FDP","1985","Single parent ","3","","","","3"
"FDP","1985","Couple + C. GT 16 ","28","","","","3"
"FDP","1985","Couple + C. LE and GT 16","17","","","","3"
"FDP","1985","Couple + C. LE 16 ","46","0.0388508688596427","0.0287429838208483","0.0489587538984372","3"
"NPD Combination","1985","(Married) couple without C. ","","","","","6"
"NPD Combination","1985","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1985","1-pers.-HH","","","","","6"
"NPD Combination","1985","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1985","Couple + C. LE and GT 16","","","","","6"
"NPD Combination","1985","Single parent ","","","","","6"
"Other","1985","1-pers.-HH","3","","","","8"
"Other","1985","(Married) couple without C. ","11","","","","8"
"Other","1985","Single parent ","1","","","","8"
"Other","1985","Couple + C. LE 16 ","4","","","","8"
"Other","1985","Couple + C. GT 16 ","10","","","","8"
"Other","1985","Couple + C. LE and GT 16","5","","","","8"
"PDS/Linke","1985","1-pers.-HH","","","","","5"
"PDS/Linke","1985","(Married) couple without C. ","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1985","Single parent ","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","","","","","5"
"SPD","1985","Single parent ","132","0.490305732518007","0.428088511280287","0.552522953755727","2"
"SPD","1985","Couple + C. LE 16 ","780","0.5020006225902","0.475847047420861","0.52815419775954","2"
"SPD","1985","1-pers.-HH","312","0.453161815029881","0.415097196955387","0.491226433104374","2"
"SPD","1985","(Married) couple without C. ","688","0.454524106952801","0.42907878227628","0.479969431629321","2"
"SPD","1985","Couple + C. LE and GT 16","284","0.367077124167266","0.329136339981271","0.40501790835326","2"
"SPD","1985","Couple + C. GT 16 ","481","0.432520216991231","0.402190765132193","0.462849668850269","2"
"AfD","1986","1-pers.-HH","","","","","7"
"AfD","1986","(Married) couple without C. ","","","","","7"
"AfD","1986","Single parent ","","","","","7"
"AfD","1986","Couple + C. LE 16 ","","","","","7"
"AfD","1986","Couple + C. GT 16 ","","","","","7"
"AfD","1986","Couple + C. LE and GT 16","","","","","7"
"CDU/CSU","1986","1-pers.-HH","239","0.421623980446047","0.382940217305329","0.460307743586765","1"
"CDU/CSU","1986","(Married) couple without C. ","604","0.447195264808122","0.421066492677749","0.473324036938496","1"
"CDU/CSU","1986","Couple + C. LE 16 ","439","0.386987018848481","0.360262752713148","0.413711284983815","1"
"CDU/CSU","1986","Single parent ","84","0.415113195013143","0.350149437705133","0.480076952321153","1"
"CDU/CSU","1986","Couple + C. GT 16 ","470","0.479626404682571","0.449664347224602","0.50958846214054","1"
"CDU/CSU","1986","Couple + C. LE and GT 16","248","0.510466078707401","0.470129698266554","0.550802459148248","1"
"FDP","1986","Couple + C. GT 16 ","31","0.0278328072490055","0.0179674810196185","0.0376981334783924","3"
"FDP","1986","1-pers.-HH","22","","","","3"
"FDP","1986","Single parent ","2","","","","3"
"FDP","1986","Couple + C. LE and GT 16","13","","","","3"
"FDP","1986","(Married) couple without C. ","55","0.0438774995115945","0.0331137835130695","0.0546412155101196","3"
"FDP","1986","Couple + C. LE 16 ","37","0.0356199816422091","0.0254506197847051","0.0457893434997131","3"
"NPD Combination","1986","1-pers.-HH","","","","","6"
"NPD Combination","1986","(Married) couple without C. ","","","","","6"
"NPD Combination","1986","Couple + C. GT 16 ","","","","","6"
"NPD Combination","1986","Couple + C. LE 16 ","","","","","6"
"NPD Combination","1986","Single parent ","","","","","6"
"NPD Combination","1986","Couple + C. LE and GT 16","","","","","6"
"Other","1986","1-pers.-HH","5","","","","8"
"Other","1986","(Married) couple without C. ","9","","","","8"
"Other","1986","Single parent ","2","","","","8"
"Other","1986","Couple + C. LE 16 ","5","","","","8"
"Other","1986","Couple + C. GT 16 ","5","","","","8"
"Other","1986","Couple + C. LE and GT 16","2","","","","8"
"PDS/Linke","1986","1-pers.-HH","","","","","5"
"PDS/Linke","1986","(Married) couple without C. ","","","","","5"
"PDS/Linke","1986","Single parent ","","","","","5"
"PDS/Linke","1986","Couple + C. LE 16 ","","","","","5"
"PDS/Linke","1986","Couple + C. GT 16 ","","","","","5"
"PDS/Linke","1986","Couple + C. LE and GT 16","","","","","5"
"SPD","1986","Single parent ","109","0.480623733226004","0.414752527857446","0.546494938594561","2"
"SPD","1986","1-pers.-HH","305","0.464835034086475","0.425764064541647","0.503906003631303","2"
"SPD","1986","Couple + C. LE 16 ","721","0.512365064667309","0.484939226136389","0.539790903198229","2"
"SPD","1986","Couple + C. LE and GT 16","286","0.387415926814559","0.34810677516537","0.426725078463748","2"
"SPD","1986","(Married) couple without C. ","644","0.45800725404101","0.431824372474885","0.484190135607135","2"
"SPD","1986","Couple + C. GT 16 ","494","0.425670038788484","0.396016280545406","0.455323797031561","2"
"AfD","1987","1-pers.-HH","","","","","7"
"AfD","1987","(Married) couple without C. ","","","","","7"
"AfD","1987","Couple + C. LE 16 ","","","","","7"
"AfD","1987","Single parent ","","","","","7"
"AfD","1987","Couple + C. GT 16 ","","","","","7"
