"party","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","16-34 y.","(0) in school","","","",""
"CDU/CSU","1984","16-34 y.","(1a) inadequately completed","","","",""
"CDU/CSU","1984","16-34 y.","(1b) general elementary school","75","0.301910310706825","0.251292992232682","0.352527629180968"
"CDU/CSU","1984","16-34 y.","(1c) basic vocational qualification","228","0.401981468347931","0.36387665220647","0.440086284489391"
"CDU/CSU","1984","16-34 y.","(2b) intermediate general qualification","54","0.372783400177371","0.297146221784636","0.448420578570105"
"CDU/CSU","1984","16-34 y.","(2a) intermediate vocational","145","0.430249425088603","0.378230544237156","0.482268305940049"
"CDU/CSU","1984","16-34 y.","(2c_gen) general maturity certificate","50","0.29257848010667","0.22855967715134","0.356597283061999"
"CDU/CSU","1984","16-34 y.","(2c_voc) vocational maturity certificate","35","0.294225436738553","0.215891577379078","0.372559296098028"
"CDU/CSU","1984","16-34 y.","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","16-34 y.","(3b) higher tertiary education","","","",""
"CDU/CSU","1984","35-65 y.","(0) in school","","","",""
"CDU/CSU","1984","35-65 y.","(1a) inadequately completed","","","",""
"CDU/CSU","1984","35-65 y.","(1b) general elementary school","364","0.461095412877369","0.427837573294888","0.49435325245985"
"CDU/CSU","1984","35-65 y.","(1c) basic vocational qualification","669","0.453499472142394","0.428521653381528","0.47847729090326"
"CDU/CSU","1984","35-65 y.","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","35-65 y.","(2a) intermediate vocational","235","0.575264551851229","0.527821444670784","0.622707659031674"
"CDU/CSU","1984","35-65 y.","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","35-65 y.","(2c_voc) vocational maturity certificate","57","0.565412582190957","0.479871538573288","0.650953625808625"
"CDU/CSU","1984","35-65 y.","(3a) lower tertiary education","63","0.55622848082515","0.465424373112567","0.647032588537732"
"CDU/CSU","1984","35-65 y.","(3b) higher tertiary education","87","0.464325117548425","0.39622055448249","0.53242968061436"
"CDU/CSU","1984","66 and older","(0) in school","","","",""
"CDU/CSU","1984","66 and older","(1a) inadequately completed","","","",""
"CDU/CSU","1984","66 and older","(1b) general elementary school","138","0.479715577248484","0.421093890344556","0.538337264152412"
"CDU/CSU","1984","66 and older","(1c) basic vocational qualification","143","0.456709984123947","0.40080709075667","0.512612877491224"
"CDU/CSU","1984","66 and older","(2b) intermediate general qualification","","","",""
"CDU/CSU","1984","66 and older","(2a) intermediate vocational","62","0.680102378096297","0.58530435750351","0.774900398689084"
"CDU/CSU","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"CDU/CSU","1984","66 and older","(2c_voc) vocational maturity certificate","","","",""
"CDU/CSU","1984","66 and older","(3a) lower tertiary education","","","",""
"CDU/CSU","1984","66 and older","(3b) higher tertiary education","","","",""
"SPD","1984","16-34 y.","(0) in school","32","0.36273604809237","0.253925125124377","0.471546971060362"
"SPD","1984","16-34 y.","(1a) inadequately completed","74","0.701055852306817","0.608510310640808","0.793601393972825"
"SPD","1984","16-34 y.","(1b) general elementary school","201","0.564009942147536","0.50933526559766","0.618684618697412"
"SPD","1984","16-34 y.","(1c) basic vocational qualification","361","0.527439286657188","0.488639031857773","0.566239541456603"
"SPD","1984","16-34 y.","(2b) intermediate general qualification","51","0.316354609537702","0.243610004008054","0.38909921506735"
"SPD","1984","16-34 y.","(2a) intermediate vocational","155","0.428939735354001","0.376940425463665","0.480939045244336"
"SPD","1984","16-34 y.","(2c_gen) general maturity certificate","56","0.268324153631741","0.205974151963526","0.330674155299957"
"SPD","1984","16-34 y.","(2c_voc) vocational maturity certificate","55","0.410315542819601","0.325759385226559","0.494871700412643"
"SPD","1984","16-34 y.","(3a) lower tertiary education","","","",""
"SPD","1984","16-34 y.","(3b) higher tertiary education","41","0.374185243348691","0.278862458516964","0.469508028180418"
"SPD","1984","35-65 y.","(0) in school","","","",""
"SPD","1984","35-65 y.","(1a) inadequately completed","166","0.79768262927256","0.741297778042105","0.854067480503016"
"SPD","1984","35-65 y.","(1b) general elementary school","464","0.506347107757365","0.472990820679436","0.539703394835295"
"SPD","1984","35-65 y.","(1c) basic vocational qualification","801","0.510255153574267","0.485173887153508","0.535336419995026"
"SPD","1984","35-65 y.","(2b) intermediate general qualification","","","",""
"SPD","1984","35-65 y.","(2a) intermediate vocational","149","0.346903138849509","0.301218207513666","0.392588070185352"
"SPD","1984","35-65 y.","(2c_gen) general maturity certificate","","","",""
"SPD","1984","35-65 y.","(2c_voc) vocational maturity certificate","54","0.297316373159331","0.218440793090479","0.376191953228184"
"SPD","1984","35-65 y.","(3a) lower tertiary education","34","0.286794682292128","0.204135328762435","0.369454035821821"
"SPD","1984","35-65 y.","(3b) higher tertiary education","78","0.336686238592727","0.272152523490364","0.40121995369509"
"SPD","1984","66 and older","(0) in school","","","",""
"SPD","1984","66 and older","(1a) inadequately completed","","","",""
"SPD","1984","66 and older","(1b) general elementary school","134","0.49401934622553","0.435353556183479","0.55268513626758"
"SPD","1984","66 and older","(1c) basic vocational qualification","145","0.48753266743696","0.431436508473199","0.54362882640072"
"SPD","1984","66 and older","(2b) intermediate general qualification","","","",""
"SPD","1984","66 and older","(2a) intermediate vocational","","","",""
"SPD","1984","66 and older","(2c_gen) general maturity certificate","","","",""
