"party","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"AfD","1984","Not Employed","indirect migration background","","","",""
"AfD","1984","Employed","no migration background","","","",""
"AfD","1984","Employed","direct migration background","","","",""
"AfD","1984","Employed","indirect migration background","","","",""
"Other","1984","Not Employed","no migration background","12","","",""
"Other","1984","Not Employed","direct migration background","3","","",""
"Other","1984","Not Employed","indirect migration background","1","","",""
"Other","1984","Employed","no migration background","16","","",""
"Other","1984","Employed","direct migration background","8","","",""
"Other","1984","Employed","indirect migration background","","","",""
"CDU/CSU","1985","Not Employed","no migration background","873","0.476380996827016","0.453720095198003","0.49904189845603"
"CDU/CSU","1985","Not Employed","direct migration background","75","0.491794714382594","0.431374573443427","0.552214855321761"
"CDU/CSU","1985","Not Employed","indirect migration background","8","","",""
"CDU/CSU","1985","Employed","no migration background","1235","0.428465518667044","0.410451809760273","0.446479227573816"
"CDU/CSU","1985","Employed","direct migration background","129","0.312400744032818","0.278017717014372","0.346783771051264"
"CDU/CSU","1985","Employed","indirect migration background","5","","",""
"SPD","1985","Not Employed","no migration background","771","0.416150180499412","0.393785232634433","0.438515128364391"
"SPD","1985","Not Employed","direct migration background","160","0.440158128351111","0.380164204368808","0.500152052333413"
"SPD","1985","Not Employed","indirect migration background","13","","",""
"SPD","1985","Employed","no migration background","1344","0.461735023858317","0.443587454978107","0.479882592738526"
"SPD","1985","Employed","direct migration background","503","0.588012746953189","0.55149906405121","0.624526429855168"
"SPD","1985","Employed","indirect migration background","17","","",""
"FDP","1985","Not Employed","no migration background","81","0.0462482755526711","0.0367190477014478","0.0557775034038943"
"FDP","1985","Not Employed","direct migration background","5","","",""
"FDP","1985","Not Employed","indirect migration background","","","",""
"FDP","1985","Employed","no migration background","106","0.0364664696506297","0.029643015777829","0.0432899235234304"
"FDP","1985","Employed","direct migration background","6","","",""
"FDP","1985","Employed","indirect migration background","","","",""
"Grüne","1985","Not Employed","no migration background","124","0.0523229434643206","0.0422195204106464","0.0624263665179948"
"Grüne","1985","Not Employed","direct migration background","23","","",""
"Grüne","1985","Not Employed","indirect migration background","4","","",""
"Grüne","1985","Employed","no migration background","195","0.0669661585624285","0.0578670179838957","0.0760652991409614"
"Grüne","1985","Employed","direct migration background","60","0.0821873624123132","0.061812254482975","0.102562470341651"
"Grüne","1985","Employed","indirect migration background","2","","",""
"PDS/Linke","1985","Not Employed","no migration background","","","",""
"PDS/Linke","1985","Not Employed","direct migration background","","","",""
"PDS/Linke","1985","Not Employed","indirect migration background","","","",""
"PDS/Linke","1985","Employed","no migration background","","","",""
"PDS/Linke","1985","Employed","direct migration background","","","",""
"PDS/Linke","1985","Employed","indirect migration background","","","",""
"NPD Combination","1985","Not Employed","no migration background","","","",""
"NPD Combination","1985","Not Employed","direct migration background","","","",""
"NPD Combination","1985","Not Employed","indirect migration background","","","",""
"NPD Combination","1985","Employed","no migration background","","","",""
"NPD Combination","1985","Employed","direct migration background","","","",""
"NPD Combination","1985","Employed","indirect migration background","","","",""
"AfD","1985","Not Employed","no migration background","","","",""
"AfD","1985","Not Employed","direct migration background","","","",""
"AfD","1985","Not Employed","indirect migration background","","","",""
"AfD","1985","Employed","no migration background","","","",""
"AfD","1985","Employed","direct migration background","","","",""
"AfD","1985","Employed","indirect migration background","","","",""
"Other","1985","Not Employed","no migration background","17","","",""
"Other","1985","Not Employed","direct migration background","","","",""
"Other","1985","Not Employed","indirect migration background","","","",""
"Other","1985","Employed","no migration background","19","","",""
"Other","1985","Employed","direct migration background","","","",""
"Other","1985","Employed","indirect migration background","","","",""
"CDU/CSU","1986","Not Employed","no migration background","802","0.471054036300765","0.447620360572599","0.494487712028932"
"CDU/CSU","1986","Not Employed","direct migration background","69","0.439683426273917","0.379235001087719","0.500131851460115"
"CDU/CSU","1986","Not Employed","indirect migration background","6","","",""
"CDU/CSU","1986","Employed","no migration background","1187","0.428198687583872","0.409765082121542","0.446632293046202"
"CDU/CSU","1986","Employed","direct migration background","130","0.330513191496858","0.294543988305137","0.366482394688579"
"CDU/CSU","1986","Employed","indirect migration background","10","","",""
"SPD","1986","Not Employed","no migration background","762","0.436367432252703","0.413085254411905","0.4596496100935"
"SPD","1986","Not Employed","direct migration background","170","0.493574782633188","0.432686692470669","0.554462872795706"
"SPD","1986","Not Employed","indirect migration background","6","","",""
"SPD","1986","Employed","no migration background","1265","0.460218088676459","0.441650476613563","0.478785700739355"
"SPD","1986","Employed","direct migration background","468","0.563870322447165","0.525950801232518","0.601789843661813"
"SPD","1986","Employed","indirect migration background","20","","",""
"FDP","1986","Not Employed","no migration background","62","0.0381110193779746","0.029122520783635","0.0470995179723141"
"FDP","1986","Not Employed","direct migration background","2","","",""
"FDP","1986","Not Employed","indirect migration background","","","",""
"FDP","1986","Employed","no migration background","98","0.0351482979985306","0.0282879289058468","0.0420086670912144"
"FDP","1986","Employed","direct migration background","8","","",""
"FDP","1986","Employed","indirect migration background","","","",""
"Grüne","1986","Not Employed","no migration background","108","0.0495597092680088","0.039370835265366","0.0597485832706515"
"Grüne","1986","Not Employed","direct migration background","17","","",""
"Grüne","1986","Not Employed","indirect migration background","7","","",""
"Grüne","1986","Employed","no migration background","203","0.0708433798980784","0.0612855532943105","0.0804012065018462"
"Grüne","1986","Employed","direct migration background","47","0.0740929882841875","0.0540649852666846","0.0941209913016904"
"Grüne","1986","Employed","indirect migration background","3","","",""
"PDS/Linke","1986","Not Employed","no migration background","","","",""
"PDS/Linke","1986","Not Employed","direct migration background","","","",""
"PDS/Linke","1986","Not Employed","indirect migration background","","","",""
"PDS/Linke","1986","Employed","no migration background","","","",""
"PDS/Linke","1986","Employed","direct migration background","","","",""
"PDS/Linke","1986","Employed","indirect migration background","","","",""
"NPD Combination","1986","Not Employed","no migration background","","","",""
"NPD Combination","1986","Not Employed","direct migration background","","","",""
"NPD Combination","1986","Not Employed","indirect migration background","","","",""
"NPD Combination","1986","Employed","no migration background","","","",""
"NPD Combination","1986","Employed","direct migration background","","","",""
"NPD Combination","1986","Employed","indirect migration background","","","",""
"AfD","1986","Not Employed","no migration background","","","",""
"AfD","1986","Not Employed","direct migration background","","","",""
"AfD","1986","Not Employed","indirect migration background","","","",""
