"party","year","education","sex","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","Male","731","0.435612546501875","0.412261141703755","0.458963951299996"
"CDU/CSU","1984","lower secondary degree","Female","828","0.458005868615933","0.435320638198216","0.48069109903365"
"CDU/CSU","1984","secondary school degree","Male","259","0.540690056884952","0.497226074394571","0.584154039375334"
"CDU/CSU","1984","secondary school degree","Female","309","0.516355102093938","0.477455872178624","0.555254332009251"
"CDU/CSU","1984","college entrance qualification","Male","221","0.438595738089124","0.395945989498198","0.481245486680051"
"CDU/CSU","1984","college entrance qualification","Female","118","0.431800408022806","0.376392610618791","0.487208205426822"
"CDU/CSU","1984","Other degree","Male","55","0.179738406493571","0.138310999278641","0.2211658137085"
"CDU/CSU","1984","Other degree","Female","","","",""
"CDU/CSU","1984","no degree/no degree yet","Male","37","0.298694826302758","0.23848893705972","0.358900715545797"
"CDU/CSU","1984","no degree/no degree yet","Female","","","",""
"SPD","1984","lower secondary degree","Male","905","0.512413147526299","0.488872940787802","0.535953354264797"
"SPD","1984","lower secondary degree","Female","937","0.500136020811422","0.477370354303285","0.52290168731956"
"SPD","1984","secondary school degree","Male","175","0.333939806546429","0.292806536463206","0.375073076629653"
"SPD","1984","secondary school degree","Female","239","0.349016624025396","0.311913415439004","0.386119832611789"
"SPD","1984","college entrance qualification","Male","171","0.323320408007075","0.283117773126307","0.363523042887843"
"SPD","1984","college entrance qualification","Female","91","0.279243469563774","0.229059534912316","0.329427404215233"
"SPD","1984","Other degree","Male","249","0.740344332732388","0.693039348485","0.787649316979776"
"SPD","1984","Other degree","Female","109","0.648003124527273","0.571827228463207","0.724179020591338"
"SPD","1984","no degree/no degree yet","Male","158","0.501726961517549","0.435955269024263","0.567498654010836"
"SPD","1984","no degree/no degree yet","Female","118","0.672393914824886","0.597285200375311","0.74750262927446"
"FDP","1984","lower secondary degree","Male","38","0.0227690909236364","0.0157441028653481","0.0297940789819247"
"FDP","1984","lower secondary degree","Female","37","0.0206259855286903","0.0141546782189189","0.0270972928384617"
"FDP","1984","secondary school degree","Male","","","",""
"FDP","1984","secondary school degree","Female","","","",""
"FDP","1984","college entrance qualification","Male","40","0.0779392295074586","0.0548980744881878","0.100980384526729"
"FDP","1984","college entrance qualification","Female","","","",""
"FDP","1984","Other degree","Male","","","",""
"FDP","1984","Other degree","Female","","","",""
"FDP","1984","no degree/no degree yet","Male","","","",""
"FDP","1984","no degree/no degree yet","Female","","","",""
"Grüne","1984","lower secondary degree","Male","46","0.0220091196070397","0.0150996790480702","0.0289185601660092"
"Grüne","1984","lower secondary degree","Female","46","0.0176967422295325","0.0116935833706077","0.0236999010884573"
"Grüne","1984","secondary school degree","Male","46","0.072429142018346","0.049822678911101","0.0950356051255909"
"Grüne","1984","secondary school degree","Female","60","0.0911590403393022","0.0687539200367391","0.113564160641865"
"Grüne","1984","college entrance qualification","Male","83","0.148939776435334","0.11833903744415","0.179540515426518"
"Grüne","1984","college entrance qualification","Female","82","0.231847619339591","0.184640889759542","0.27905434891964"
"Grüne","1984","Other degree","Male","","","",""
"Grüne","1984","Other degree","Female","","","",""
"Grüne","1984","no degree/no degree yet","Male","","","",""
"Grüne","1984","no degree/no degree yet","Female","","","",""
"PDS/Linke","1984","lower secondary degree","Male","","","",""
"PDS/Linke","1984","lower secondary degree","Female","","","",""
"PDS/Linke","1984","secondary school degree","Male","","","",""
"PDS/Linke","1984","secondary school degree","Female","","","",""
"PDS/Linke","1984","college entrance qualification","Male","","","",""
"PDS/Linke","1984","college entrance qualification","Female","","","",""
"PDS/Linke","1984","Other degree","Male","","","",""
"PDS/Linke","1984","Other degree","Female","","","",""
"PDS/Linke","1984","no degree/no degree yet","Male","","","",""
"PDS/Linke","1984","no degree/no degree yet","Female","","","",""
"NPD Combination","1984","lower secondary degree","Male","","","",""
"NPD Combination","1984","lower secondary degree","Female","","","",""
"NPD Combination","1984","secondary school degree","Male","","","",""
"NPD Combination","1984","secondary school degree","Female","","","",""
"NPD Combination","1984","college entrance qualification","Male","","","",""
"NPD Combination","1984","college entrance qualification","Female","","","",""
"NPD Combination","1984","Other degree","Male","","","",""
"NPD Combination","1984","Other degree","Female","","","",""
"NPD Combination","1984","no degree/no degree yet","Male","","","",""
"NPD Combination","1984","no degree/no degree yet","Female","","","",""
"AfD","1984","lower secondary degree","Male","","","",""
"AfD","1984","lower secondary degree","Female","","","",""
"AfD","1984","secondary school degree","Male","","","",""
"AfD","1984","secondary school degree","Female","","","",""
"AfD","1984","college entrance qualification","Male","","","",""
"AfD","1984","college entrance qualification","Female","","","",""
"AfD","1984","Other degree","Male","","","",""
"AfD","1984","Other degree","Female","","","",""
"AfD","1984","no degree/no degree yet","Male","","","",""
"AfD","1984","no degree/no degree yet","Female","","","",""
"Other","1984","lower secondary degree","Male","","","",""
"Other","1984","lower secondary degree","Female","","","",""
"Other","1984","secondary school degree","Male","","","",""
"Other","1984","secondary school degree","Female","","","",""
"Other","1984","college entrance qualification","Male","","","",""
"Other","1984","college entrance qualification","Female","","","",""
"Other","1984","Other degree","Male","","","",""
"Other","1984","Other degree","Female","","","",""
"Other","1984","no degree/no degree yet","Male","","","",""
"Other","1984","no degree/no degree yet","Female","","","",""
"CDU/CSU","1985","lower secondary degree","Male","623","0.424182733773881","0.399394395876964","0.448971071670798"
"CDU/CSU","1985","lower secondary degree","Female","716","0.463591092836991","0.438900636048351","0.488281549625631"
"CDU/CSU","1985","secondary school degree","Male","249","0.548225816135667","0.503658058809709","0.592793573461624"
"CDU/CSU","1985","secondary school degree","Female","269","0.465061320247164","0.425863672161304","0.504258968333024"
"CDU/CSU","1985","college entrance qualification","Male","224","0.431294182894959","0.389170002295857","0.473418363494062"
"CDU/CSU","1985","college entrance qualification","Female","106","0.381335358960446","0.326372584210041","0.436298133710851"
"CDU/CSU","1985","Other degree","Male","50","0.219028628591851","0.171752443451203","0.266304813732498"
"CDU/CSU","1985","Other degree","Female","","","",""
