"party","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","West Germany","1559","0.447505346012111","0.431228634542412","0.46378205748181"
"CDU/CSU","1984","lower secondary degree","East Germany","","","",""
"CDU/CSU","1984","secondary school degree","West Germany","568","0.526655319845125","0.497659311441004","0.555651328249246"
"CDU/CSU","1984","secondary school degree","East Germany","","","",""
"CDU/CSU","1984","college entrance qualification","West Germany","339","0.436078237335726","0.402280551043084","0.469875923628368"
"CDU/CSU","1984","college entrance qualification","East Germany","","","",""
"CDU/CSU","1984","Other degree","West Germany","81","0.202091372289426","0.166205292380851","0.237977452198001"
"CDU/CSU","1984","Other degree","East Germany","","","",""
"CDU/CSU","1984","no degree/no degree yet","West Germany","56","0.261481065746429","0.216825297894075","0.306136833598783"
"CDU/CSU","1984","no degree/no degree yet","East Germany","","","",""
"SPD","1984","lower secondary degree","West Germany","1842","0.505892926639103","0.489526896367766","0.52225895691044"
"SPD","1984","lower secondary degree","East Germany","","","",""
"SPD","1984","secondary school degree","West Germany","414","0.342635083383061","0.315073421232675","0.370196745533447"
"SPD","1984","secondary school degree","East Germany","","","",""
"SPD","1984","college entrance qualification","West Germany","262","0.306990998742835","0.27555497595675","0.338427021528919"
"SPD","1984","college entrance qualification","East Germany","","","",""
"SPD","1984","Other degree","West Germany","358","0.712062969614936","0.67159759977565","0.752528339454222"
"SPD","1984","Other degree","East Germany","","","",""
"SPD","1984","no degree/no degree yet","West Germany","276","0.565783206356303","0.515415177472529","0.616151235240077"
"SPD","1984","no degree/no degree yet","East Germany","","","",""
"FDP","1984","lower secondary degree","West Germany","75","0.021630915772063","0.016868883606516","0.0263929479376101"
"FDP","1984","lower secondary degree","East Germany","","","",""
"FDP","1984","secondary school degree","West Germany","43","0.0413935002515874","0.0298251217502011","0.0529618787529738"
"FDP","1984","secondary school degree","East Germany","","","",""
"FDP","1984","college entrance qualification","West Germany","54","0.0674780906681653","0.0503816284406067","0.0845745528957239"
"FDP","1984","college entrance qualification","East Germany","","","",""
"FDP","1984","Other degree","West Germany","","","",""
"FDP","1984","Other degree","East Germany","","","",""
"FDP","1984","no degree/no degree yet","West Germany","","","",""
"FDP","1984","no degree/no degree yet","East Germany","","","",""
"Grüne","1984","lower secondary degree","West Germany","92","0.0197188725725912","0.015167735959559","0.0242700091856235"
"Grüne","1984","lower secondary degree","East Germany","","","",""
"Grüne","1984","secondary school degree","West Germany","106","0.0832312659579553","0.0671892340474859","0.0992732978684247"
"Grüne","1984","secondary school degree","East Germany","","","",""
"Grüne","1984","college entrance qualification","West Germany","165","0.179655069870256","0.153490516590673","0.205819623149839"
"Grüne","1984","college entrance qualification","East Germany","","","",""
"Grüne","1984","Other degree","West Germany","33","0.0701567124573251","0.0473314884777666","0.0929819364368837"
"Grüne","1984","Other degree","East Germany","","","",""
"Grüne","1984","no degree/no degree yet","West Germany","33","0.152270266150899","0.115760177911267","0.18878035439053"
"Grüne","1984","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1984","lower secondary degree","West Germany","","","",""
"PDS/Linke","1984","lower secondary degree","East Germany","","","",""
"PDS/Linke","1984","secondary school degree","West Germany","","","",""
"PDS/Linke","1984","secondary school degree","East Germany","","","",""
"PDS/Linke","1984","college entrance qualification","West Germany","","","",""
"PDS/Linke","1984","college entrance qualification","East Germany","","","",""
"PDS/Linke","1984","Other degree","West Germany","","","",""
"PDS/Linke","1984","Other degree","East Germany","","","",""
"PDS/Linke","1984","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1984","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1984","lower secondary degree","West Germany","","","",""
"NPD Combination","1984","lower secondary degree","East Germany","","","",""
"NPD Combination","1984","secondary school degree","West Germany","","","",""
"NPD Combination","1984","secondary school degree","East Germany","","","",""
"NPD Combination","1984","college entrance qualification","West Germany","","","",""
"NPD Combination","1984","college entrance qualification","East Germany","","","",""
"NPD Combination","1984","Other degree","West Germany","","","",""
"NPD Combination","1984","Other degree","East Germany","","","",""
"NPD Combination","1984","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1984","no degree/no degree yet","East Germany","","","",""
"AfD","1984","lower secondary degree","West Germany","","","",""
"AfD","1984","lower secondary degree","East Germany","","","",""
"AfD","1984","secondary school degree","West Germany","","","",""
"AfD","1984","secondary school degree","East Germany","","","",""
"AfD","1984","college entrance qualification","West Germany","","","",""
"AfD","1984","college entrance qualification","East Germany","","","",""
"AfD","1984","Other degree","West Germany","","","",""
"AfD","1984","Other degree","East Germany","","","",""
"AfD","1984","no degree/no degree yet","West Germany","","","",""
"AfD","1984","no degree/no degree yet","East Germany","","","",""
"Other","1984","lower secondary degree","West Germany","","","",""
"Other","1984","lower secondary degree","East Germany","","","",""
"Other","1984","secondary school degree","West Germany","","","",""
"Other","1984","secondary school degree","East Germany","","","",""
"Other","1984","college entrance qualification","West Germany","","","",""
"Other","1984","college entrance qualification","East Germany","","","",""
"Other","1984","Other degree","West Germany","","","",""
"Other","1984","Other degree","East Germany","","","",""
"Other","1984","no degree/no degree yet","West Germany","","","",""
"Other","1984","no degree/no degree yet","East Germany","","","",""
