"party","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","Urban Area","","","","","7"
"AfD","1985","Rural Area","","","","","7"
"CDU/CSU","1985","Rural Area","618","0.537204978277408","0.509122180472942","0.565287776081875","1"
"CDU/CSU","1985","Urban Area","1707","0.41705299312827","0.402748073148974","0.431357913107567","1"
"FDP","1985","Urban Area","164","0.0408385369962852","0.0350966291033681","0.0465804448892022","3"
"FDP","1985","Rural Area","34","0.0325119330069394","0.0225229741646058","0.0425008918492731","3"
"NPD Combination","1985","Urban Area","","","","","6"
"NPD Combination","1985","Rural Area","","","","","6"
"Other","1985","Urban Area","28","","","","8"
"Other","1985","Rural Area","8","","","","8"
"PDS/Linke","1985","Rural Area","","","","","5"
"PDS/Linke","1985","Urban Area","","","","","5"
"SPD","1985","Rural Area","502","0.388718285154674","0.361263742909397","0.41617282739995","2"
"SPD","1985","Urban Area","2306","0.465733589052346","0.451261774485959","0.480205403618733","2"
"AfD","1986","Urban Area","","","","","7"
"AfD","1986","Rural Area","","","","","7"
"CDU/CSU","1986","Urban Area","1642","0.420721019029879","0.406023479814488","0.43541855824527","1"
"CDU/CSU","1986","Rural Area","562","0.513671254194874","0.484720962143932","0.542621546245815","1"
"FDP","1986","Urban Area","140","0.036029794110549","0.0304814123772359","0.0415781758438621","3"
"FDP","1986","Rural Area","30","0.0309780199863436","0.0209425205805213","0.0410135193921659","3"
"NPD Combination","1986","Urban Area","","","","","6"
"NPD Combination","1986","Rural Area","","","","","6"
"Other","1986","Urban Area","24","","","","8"
"Other","1986","Rural Area","5","","","","8"
"PDS/Linke","1986","Urban Area","","","","","5"
"PDS/Linke","1986","Rural Area","","","","","5"
"SPD","1986","Urban Area","2201","0.469718631202122","0.454860105659839","0.484577156744404","2"
"SPD","1986","Rural Area","490","0.406703027036612","0.378250547716342","0.435155506356882","2"
"AfD","1987","Urban Area","","","","","7"
"AfD","1987","Rural Area","","","","","7"
"CDU/CSU","1987","Rural Area","621","0.537316845270245","0.509463578629031","0.565170111911459","1"
"CDU/CSU","1987","Urban Area","1798","0.428837002959637","0.414522597673531","0.443151408245743","1"
"FDP","1987","Urban Area","222","0.0553598486384656","0.0487456413904986","0.0619740558864326","3"
"FDP","1987","Rural Area","56","0.0491297315025835","0.0370557114160811","0.0612037515890859","3"
"NPD Combination","1987","Urban Area","","","","","6"
"NPD Combination","1987","Rural Area","","","","","6"
"Other","1987","Urban Area","27","","","","8"
"Other","1987","Rural Area","10","","","","8"
"PDS/Linke","1987","Rural Area","","","","","5"
"PDS/Linke","1987","Urban Area","","","","","5"
"SPD","1987","Rural Area","473","0.360647356746339","0.333822916152061","0.387471797340617","2"
"SPD","1987","Urban Area","2145","0.433900385874145","0.419565686185422","0.448235085562868","2"
"AfD","1988","Urban Area","","","","","7"
"AfD","1988","Rural Area","","","","","7"
"CDU/CSU","1988","Rural Area","501","0.487209135881214","0.457076408068976","0.517341863693452","1"
"CDU/CSU","1988","Urban Area","1513","0.401245604710292","0.386347351549279","0.416143857871306","1"
"FDP","1988","Urban Area","171","0.0456305637560002","0.0392876029620273","0.0519735245499731","3"
"FDP","1988","Rural Area","43","0.045741490846936","0.0331464733341995","0.0583365083596725","3"
"NPD Combination","1988","Urban Area","","","","","6"
"NPD Combination","1988","Rural Area","","","","","6"
"Other","1988","Urban Area","36","0.0106297918376748","0.00751271403226231","0.0137468696430874","8"
"Other","1988","Rural Area","12","","","","8"
"PDS/Linke","1988","Urban Area","","","","","5"
"PDS/Linke","1988","Rural Area","","","","","5"
