"party","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","in school","","","",""
"CDU/CSU","1984","lower secondary degree","inadequately","","","",""
"CDU/CSU","1984","lower secondary degree","general elemantary","544","0.451955805528005","0.424421000627969","0.479490610428042"
"CDU/CSU","1984","lower secondary degree","middle vocational","891","0.433310094146978","0.412151443654787","0.45446874463917"
"CDU/CSU","1984","lower secondary degree","vocational + Abi","","","",""
"CDU/CSU","1984","lower secondary degree","higher vocational","117","0.567606493273248","0.499456890100054","0.635756096446441"
"CDU/CSU","1984","lower secondary degree","higher education","7","","",""
"CDU/CSU","1984","secondary school degree","in school","","","",""
"CDU/CSU","1984","secondary school degree","inadequately","","","",""
"CDU/CSU","1984","secondary school degree","general elemantary","100","0.464992587002891","0.401492132685886","0.528493041319897"
"CDU/CSU","1984","secondary school degree","middle vocational","378","0.538081567271726","0.502039381115573","0.57412375342788"
"CDU/CSU","1984","secondary school degree","vocational + Abi","","","",""
"CDU/CSU","1984","secondary school degree","higher vocational","64","0.543737315743625","0.455714029106899","0.631760602380351"
"CDU/CSU","1984","secondary school degree","higher education","26","","",""
"CDU/CSU","1984","college entrance qualification","in school","","","",""
"CDU/CSU","1984","college entrance qualification","inadequately","","","",""
"CDU/CSU","1984","college entrance qualification","general elemantary","","","",""
"CDU/CSU","1984","college entrance qualification","middle vocational","59","0.335456471609025","0.268143774436428","0.402769168781621"
"CDU/CSU","1984","college entrance qualification","vocational + Abi","44","0.339127722946021","0.258059088595694","0.420196357296347"
"CDU/CSU","1984","college entrance qualification","higher vocational","57","0.621043949599522","0.524000089124813","0.718087810074231"
"CDU/CSU","1984","college entrance qualification","higher education","179","0.464461365373925","0.416244676770394","0.512678053977457"
"CDU/CSU","1984","Other degree","in school","","","",""
"CDU/CSU","1984","Other degree","inadequately","2","","",""
"CDU/CSU","1984","Other degree","general elemantary","31","0.131336641282789","0.0839288753798511","0.178744407185728"
"CDU/CSU","1984","Other degree","middle vocational","33","0.234920612390439","0.174638966225108","0.29520225855577"
"CDU/CSU","1984","Other degree","vocational + Abi","6","","",""
"CDU/CSU","1984","Other degree","higher vocational","1","","",""
"CDU/CSU","1984","Other degree","higher education","8","","",""
"CDU/CSU","1984","no degree/no degree yet","in school","22","","",""
"CDU/CSU","1984","no degree/no degree yet","inadequately","29","","",""
"CDU/CSU","1984","no degree/no degree yet","general elemantary","","","",""
"CDU/CSU","1984","no degree/no degree yet","middle vocational","4","","",""
"CDU/CSU","1984","no degree/no degree yet","vocational + Abi","","","",""
"CDU/CSU","1984","no degree/no degree yet","higher vocational","1","","",""
"CDU/CSU","1984","no degree/no degree yet","higher education","","","",""
"SPD","1984","lower secondary degree","in school","","","",""
"SPD","1984","lower secondary degree","inadequately","","","",""
"SPD","1984","lower secondary degree","general elemantary","645","0.503238782966934","0.475576557232882","0.530901008700987"
"SPD","1984","lower secondary degree","middle vocational","1115","0.521720953630503","0.500391700898596","0.543050206362409"
"SPD","1984","lower secondary degree","vocational + Abi","1","","",""
"SPD","1984","lower secondary degree","higher vocational","72","0.365570255139923","0.29932156952787","0.431818940751976"
"SPD","1984","lower secondary degree","higher education","9","","",""
"SPD","1984","secondary school degree","in school","","","",""
"SPD","1984","secondary school degree","inadequately","","","",""
"SPD","1984","secondary school degree","general elemantary","78","0.31046307426726","0.251557328461773","0.369368820072747"
"SPD","1984","secondary school degree","middle vocational","283","0.363828589155767","0.329047761949572","0.398609416361962"
"SPD","1984","secondary school degree","vocational + Abi","1","","",""
"SPD","1984","secondary school degree","higher vocational","43","0.324094712954509","0.241381587772079","0.406807838136939"
"SPD","1984","secondary school degree","higher education","9","","",""
"SPD","1984","college entrance qualification","in school","","","",""
"SPD","1984","college entrance qualification","inadequately","","","",""
"SPD","1984","college entrance qualification","general elemantary","","","",""
"SPD","1984","college entrance qualification","middle vocational","49","0.26137701943924","0.198735497995504","0.324018540882977"
"SPD","1984","college entrance qualification","vocational + Abi","48","0.377371485820012","0.294365103363879","0.460377868276144"
"SPD","1984","college entrance qualification","higher vocational","24","","",""
"SPD","1984","college entrance qualification","higher education","141","0.320744111282505","0.275618486078081","0.36586973648693"
"SPD","1984","Other degree","in school","","","",""
"SPD","1984","Other degree","inadequately","6","","",""
"SPD","1984","Other degree","general elemantary","148","0.786816033269053","0.729332341056793","0.844299725481313"
"SPD","1984","Other degree","middle vocational","143","0.661325403864926","0.594032355186111","0.72861845254374"
"SPD","1984","Other degree","vocational + Abi","38","0.792734554748302","0.6814870318725","0.903982077624105"
"SPD","1984","Other degree","higher vocational","3","","",""
"SPD","1984","Other degree","higher education","20","","",""
