"party","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Schleswig-Holstein","lower secondary degree","50","0.338852165182534","0.263852936302504","0.413851394062563"
"CDU/CSU","1984","Schleswig-Holstein","secondary school degree","","","",""
"CDU/CSU","1984","Schleswig-Holstein","college entrance qualification","","","",""
"CDU/CSU","1984","Schleswig-Holstein","Other degree","","","",""
"CDU/CSU","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"CDU/CSU","1984","Hamburg","lower secondary degree","","","",""
"CDU/CSU","1984","Hamburg","secondary school degree","","","",""
"CDU/CSU","1984","Hamburg","college entrance qualification","","","",""
"CDU/CSU","1984","Hamburg","Other degree","","","",""
"CDU/CSU","1984","Hamburg","no degree/no degree yet","","","",""
"CDU/CSU","1984","Lower Saxony","lower secondary degree","155","0.397481886459951","0.349938007521364","0.445025765398538"
"CDU/CSU","1984","Lower Saxony","secondary school degree","75","0.56657649016112","0.483291997592311","0.649860982729928"
"CDU/CSU","1984","Lower Saxony","college entrance qualification","37","0.47932687318774","0.369855247324907","0.588798499050574"
"CDU/CSU","1984","Lower Saxony","Other degree","","","",""
"CDU/CSU","1984","Lower Saxony","no degree/no degree yet","","","",""
"CDU/CSU","1984","Bremen","lower secondary degree","","","",""
"CDU/CSU","1984","Bremen","secondary school degree","","","",""
"CDU/CSU","1984","Bremen","college entrance qualification","","","",""
"CDU/CSU","1984","Bremen","Other degree","","","",""
"CDU/CSU","1984","Bremen","no degree/no degree yet","","","",""
"CDU/CSU","1984","North Rhine-Westphalia","lower secondary degree","383","0.418888690436","0.387711316175216","0.450066064696785"
"CDU/CSU","1984","North Rhine-Westphalia","secondary school degree","154","0.521337045176891","0.466345912936542","0.57632817741724"
"CDU/CSU","1984","North Rhine-Westphalia","college entrance qualification","102","0.44787290046319","0.385220555203185","0.510525245723195"
"CDU/CSU","1984","North Rhine-Westphalia","Other degree","","","",""
"CDU/CSU","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"CDU/CSU","1984","Hesse","lower secondary degree","107","0.341654085095206","0.290406840048893","0.39290133014152"
"CDU/CSU","1984","Hesse","secondary school degree","47","0.47262969947885","0.378905189047699","0.566354209910001"
"CDU/CSU","1984","Hesse","college entrance qualification","30","0.322716810545078","0.23154022032357","0.413893400766585"
"CDU/CSU","1984","Hesse","Other degree","","","",""
"CDU/CSU","1984","Hesse","no degree/no degree yet","","","",""
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","lower secondary degree","121","0.39319061272806","0.3383722718645","0.448008953591621"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","secondary school degree","31","0.538604040883694","0.410310204740244","0.666897877027145"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"CDU/CSU","1984","Baden-Württemberg","lower secondary degree","282","0.527716144293923","0.486441658291522","0.568990630296325"
"CDU/CSU","1984","Baden-Württemberg","secondary school degree","87","0.539772404155773","0.46372265504462","0.615822153266925"
"CDU/CSU","1984","Baden-Württemberg","college entrance qualification","46","0.412949594911217","0.325937073518051","0.499962116304382"
"CDU/CSU","1984","Baden-Württemberg","Other degree","","","",""
"CDU/CSU","1984","Baden-Württemberg","no degree/no degree yet","","","",""
"CDU/CSU","1984","Bavaria","lower secondary degree","394","0.621045931755983","0.583693770523174","0.658398092988792"
"CDU/CSU","1984","Bavaria","secondary school degree","118","0.594974493051183","0.528101112308413","0.661847873793953"
"CDU/CSU","1984","Bavaria","college entrance qualification","66","0.489312978369059","0.407666468831938","0.570959487906181"
"CDU/CSU","1984","Bavaria","Other degree","","","",""
"CDU/CSU","1984","Bavaria","no degree/no degree yet","","","",""
"CDU/CSU","1984","Berlin","lower secondary degree","","","",""
"CDU/CSU","1984","Berlin","secondary school degree","","","",""
"CDU/CSU","1984","Berlin","college entrance qualification","","","",""
"CDU/CSU","1984","Berlin","Other degree","","","",""
"CDU/CSU","1984","Berlin","no degree/no degree yet","","","",""
"CDU/CSU","1984","Brandenburg","lower secondary degree","","","",""
"CDU/CSU","1984","Brandenburg","secondary school degree","","","",""
"CDU/CSU","1984","Brandenburg","college entrance qualification","","","",""
"CDU/CSU","1984","Brandenburg","Other degree","","","",""
"CDU/CSU","1984","Brandenburg","no degree/no degree yet","","","",""
"CDU/CSU","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"CDU/CSU","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"CDU/CSU","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"CDU/CSU","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"CDU/CSU","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"CDU/CSU","1984","Saxony","lower secondary degree","","","",""
"CDU/CSU","1984","Saxony","secondary school degree","","","",""
"CDU/CSU","1984","Saxony","college entrance qualification","","","",""
"CDU/CSU","1984","Saxony","Other degree","","","",""
"CDU/CSU","1984","Saxony","no degree/no degree yet","","","",""
"CDU/CSU","1984","Saxony-Anhalt","lower secondary degree","","","",""
"CDU/CSU","1984","Saxony-Anhalt","secondary school degree","","","",""
"CDU/CSU","1984","Saxony-Anhalt","college entrance qualification","","","",""
"CDU/CSU","1984","Saxony-Anhalt","Other degree","","","",""
"CDU/CSU","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"CDU/CSU","1984","Thuringia","lower secondary degree","","","",""
"CDU/CSU","1984","Thuringia","secondary school degree","","","",""
"CDU/CSU","1984","Thuringia","college entrance qualification","","","",""
"CDU/CSU","1984","Thuringia","Other degree","","","",""
"CDU/CSU","1984","Thuringia","no degree/no degree yet","","","",""
"SPD","1984","Schleswig-Holstein","lower secondary degree","98","0.627902666807034","0.551311829361454","0.704493504252614"
"SPD","1984","Schleswig-Holstein","secondary school degree","","","",""
"SPD","1984","Schleswig-Holstein","college entrance qualification","","","",""
"SPD","1984","Schleswig-Holstein","Other degree","","","",""
"SPD","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"SPD","1984","Hamburg","lower secondary degree","43","0.586516604214465","0.475064915777962","0.697968292650968"
"SPD","1984","Hamburg","secondary school degree","","","",""
"SPD","1984","Hamburg","college entrance qualification","","","",""
"SPD","1984","Hamburg","Other degree","","","",""
"SPD","1984","Hamburg","no degree/no degree yet","","","",""
"SPD","1984","Lower Saxony","lower secondary degree","236","0.56822960741541","0.520108097584128","0.616351117246691"
"SPD","1984","Lower Saxony","secondary school degree","40","0.282976269729557","0.207271993796489","0.358680545662626"
"SPD","1984","Lower Saxony","college entrance qualification","","","",""
"SPD","1984","Lower Saxony","Other degree","","","",""
"SPD","1984","Lower Saxony","no degree/no degree yet","","","",""
"SPD","1984","Bremen","lower secondary degree","34","0.651584799413685","0.523309163773932","0.779860435053437"
"SPD","1984","Bremen","secondary school degree","","","",""
"SPD","1984","Bremen","college entrance qualification","","","",""
"SPD","1984","Bremen","Other degree","","","",""
"SPD","1984","Bremen","no degree/no degree yet","","","",""
"SPD","1984","North Rhine-Westphalia","lower secondary degree","530","0.541044159499795","0.509554906223293","0.572533412776297"
"SPD","1984","North Rhine-Westphalia","secondary school degree","120","0.352037391653676","0.299461356799605","0.404613426507746"
"SPD","1984","North Rhine-Westphalia","college entrance qualification","90","0.367562300712649","0.306816709431871","0.428307891993427"
"SPD","1984","North Rhine-Westphalia","Other degree","104","0.664668827984179","0.585030739754583","0.744306916213774"
"SPD","1984","North Rhine-Westphalia","no degree/no degree yet","105","0.621775839776306","0.539359404630958","0.704192274921655"
"SPD","1984","Hesse","lower secondary degree","205","0.610538673688839","0.557847375250006","0.663229972127672"
"SPD","1984","Hesse","secondary school degree","47","0.37974902365999","0.288638843938941","0.470859203381038"
"SPD","1984","Hesse","college entrance qualification","30","0.295429116762776","0.206452395535491","0.384405837990062"
"SPD","1984","Hesse","Other degree","54","0.819693587914062","0.730270374674777","0.909116801153347"
"SPD","1984","Hesse","no degree/no degree yet","37","0.530840438736371","0.39520015028779","0.666480727184953"
"SPD","1984","Rhineland-Palatinate,Saarland","lower secondary degree","168","0.551721712061765","0.495909136878598","0.607534287244932"
"SPD","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"SPD","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"SPD","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"SPD","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"SPD","1984","Baden-Württemberg","lower secondary degree","242","0.409923082378067","0.369261391602945","0.450584773153189"
"SPD","1984","Baden-Württemberg","secondary school degree","51","0.294340334106603","0.224801299764273","0.363879368448933"
"SPD","1984","Baden-Württemberg","college entrance qualification","39","0.304948287233779","0.223587115695918","0.386309458771639"
"SPD","1984","Baden-Württemberg","Other degree","77","0.789985282742947","0.713519135754181","0.866451429731712"
"SPD","1984","Baden-Württemberg","no degree/no degree yet","57","0.471178061221833","0.356670563748202","0.585685558695464"
"SPD","1984","Bavaria","lower secondary degree","225","0.333863209051279","0.297553181363326","0.370173236739233"
"SPD","1984","Bavaria","secondary school degree","67","0.305938474594339","0.243164597611967","0.36871235157671"
"SPD","1984","Bavaria","college entrance qualification","43","0.280150336993276","0.2068031736519","0.353497500334653"
"SPD","1984","Bavaria","Other degree","53","0.744090912964946","0.645332679368635","0.842849146561257"
"SPD","1984","Bavaria","no degree/no degree yet","","","",""
"SPD","1984","Berlin","lower secondary degree","61","0.673962440223626","0.577650737954766","0.770274142492486"
"SPD","1984","Berlin","secondary school degree","","","",""
"SPD","1984","Berlin","college entrance qualification","","","",""
"SPD","1984","Berlin","Other degree","","","",""
"SPD","1984","Berlin","no degree/no degree yet","","","",""
"SPD","1984","Brandenburg","lower secondary degree","","","",""
"SPD","1984","Brandenburg","secondary school degree","","","",""
"SPD","1984","Brandenburg","college entrance qualification","","","",""
"SPD","1984","Brandenburg","Other degree","","","",""
"SPD","1984","Brandenburg","no degree/no degree yet","","","",""
"SPD","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"SPD","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"SPD","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"SPD","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"SPD","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"SPD","1984","Saxony","lower secondary degree","","","",""
"SPD","1984","Saxony","secondary school degree","","","",""
"SPD","1984","Saxony","college entrance qualification","","","",""
"SPD","1984","Saxony","Other degree","","","",""
"SPD","1984","Saxony","no degree/no degree yet","","","",""
"SPD","1984","Saxony-Anhalt","lower secondary degree","","","",""
"SPD","1984","Saxony-Anhalt","secondary school degree","","","",""
"SPD","1984","Saxony-Anhalt","college entrance qualification","","","",""
"SPD","1984","Saxony-Anhalt","Other degree","","","",""
"SPD","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"SPD","1984","Thuringia","lower secondary degree","","","",""
"SPD","1984","Thuringia","secondary school degree","","","",""
"SPD","1984","Thuringia","college entrance qualification","","","",""
"SPD","1984","Thuringia","Other degree","","","",""
"SPD","1984","Thuringia","no degree/no degree yet","","","",""
"FDP","1984","Schleswig-Holstein","lower secondary degree","","","",""
"FDP","1984","Schleswig-Holstein","secondary school degree","","","",""
"FDP","1984","Schleswig-Holstein","college entrance qualification","","","",""
"FDP","1984","Schleswig-Holstein","Other degree","","","",""
"FDP","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"FDP","1984","Hamburg","lower secondary degree","","","",""
"FDP","1984","Hamburg","secondary school degree","","","",""
"FDP","1984","Hamburg","college entrance qualification","","","",""
"FDP","1984","Hamburg","Other degree","","","",""
"FDP","1984","Hamburg","no degree/no degree yet","","","",""
"FDP","1984","Lower Saxony","lower secondary degree","","","",""
"FDP","1984","Lower Saxony","secondary school degree","","","",""
"FDP","1984","Lower Saxony","college entrance qualification","","","",""
"FDP","1984","Lower Saxony","Other degree","","","",""
"FDP","1984","Lower Saxony","no degree/no degree yet","","","",""
"FDP","1984","Bremen","lower secondary degree","","","",""
"FDP","1984","Bremen","secondary school degree","","","",""
"FDP","1984","Bremen","college entrance qualification","","","",""
"FDP","1984","Bremen","Other degree","","","",""
"FDP","1984","Bremen","no degree/no degree yet","","","",""
"FDP","1984","North Rhine-Westphalia","lower secondary degree","","","",""
"FDP","1984","North Rhine-Westphalia","secondary school degree","","","",""
"FDP","1984","North Rhine-Westphalia","college entrance qualification","","","",""
"FDP","1984","North Rhine-Westphalia","Other degree","","","",""
"FDP","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"FDP","1984","Hesse","lower secondary degree","","","",""
"FDP","1984","Hesse","secondary school degree","","","",""
"FDP","1984","Hesse","college entrance qualification","","","",""
"FDP","1984","Hesse","Other degree","","","",""
"FDP","1984","Hesse","no degree/no degree yet","","","",""
"FDP","1984","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"FDP","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"FDP","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"FDP","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"FDP","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"FDP","1984","Baden-Württemberg","lower secondary degree","","","",""
