"party","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Full Time","lower secondary degree","661","0.441798149562326","0.417043833687248","0.466552465437405"
"CDU/CSU","1984","Full Time","secondary school degree","277","0.489986181985403","0.449161788896696","0.53081057507411"
"CDU/CSU","1984","Full Time","college entrance qualification","165","0.459952656493496","0.409100732317403","0.510804580669589"
"CDU/CSU","1984","Full Time","Other degree","53","0.158720451313276","0.119472898291791","0.197968004334762"
"CDU/CSU","1984","Full Time","no degree/no degree yet","20","","",""
"CDU/CSU","1984","Part Time","lower secondary degree","210","0.430704662104997","0.387813115103407","0.473596209106586"
"CDU/CSU","1984","Part Time","secondary school degree","77","0.439695896067919","0.368555644675985","0.510836147459853"
"CDU/CSU","1984","Part Time","college entrance qualification","73","0.409263583602091","0.338790104649225","0.479737062554957"
"CDU/CSU","1984","Part Time","Other degree","13","","",""
"CDU/CSU","1984","Part Time","no degree/no degree yet","6","","",""
"CDU/CSU","1984","Not Working","lower secondary degree","688","0.45712251920902","0.432136573372052","0.482108465045987"
"CDU/CSU","1984","Not Working","secondary school degree","214","0.609492128100149","0.560180071512102","0.658804184688196"
"CDU/CSU","1984","Not Working","college entrance qualification","101","0.422695542989967","0.363881675996425","0.481509409983508"
"CDU/CSU","1984","Not Working","Other degree","15","","",""
"CDU/CSU","1984","Not Working","no degree/no degree yet","30","0.295463832517536","0.223867693676582","0.36705997135849"
"SPD","1984","Full Time","lower secondary degree","809","0.511825108397922","0.486908331762175","0.536741885033669"
"SPD","1984","Full Time","secondary school degree","224","0.380034327375894","0.340394469887986","0.419674184863801"
"SPD","1984","Full Time","college entrance qualification","141","0.370207096390392","0.320940091706736","0.419474101074047"
"SPD","1984","Full Time","Other degree","252","0.744365893005637","0.697513842184171","0.791217943827104"
"SPD","1984","Full Time","no degree/no degree yet","139","0.678403638804524","0.607561852613422","0.749245424995626"
"SPD","1984","Part Time","lower secondary degree","273","0.522050501802749","0.478783144075602","0.565317859529897"
"SPD","1984","Part Time","secondary school degree","82","0.415045661278749","0.344424279588596","0.485667042968901"
"SPD","1984","Part Time","college entrance qualification","48","0.251939775694822","0.189717779707224","0.314161771682421"
"SPD","1984","Part Time","Other degree","41","0.716578902545327","0.604402801044639","0.828755004046014"
"SPD","1984","Part Time","no degree/no degree yet","39","0.770265801270487","0.652482646066396","0.888048956474578"
"SPD","1984","Not Working","lower secondary degree","760","0.496267253977993","0.471189624920972","0.521344883035014"
"SPD","1984","Not Working","secondary school degree","108","0.26468924239062","0.220097157938151","0.309281326843089"
"SPD","1984","Not Working","college entrance qualification","73","0.261450861150813","0.209133216717825","0.313768505583802"
"SPD","1984","Not Working","Other degree","65","0.608853359928821","0.505713860114245","0.711992859743396"
"SPD","1984","Not Working","no degree/no degree yet","98","0.48832160992257","0.40988166112126","0.56676155872388"
"FDP","1984","Full Time","lower secondary degree","32","0.0211479812102657","0.0139760465448795","0.0283199158756519"
"FDP","1984","Full Time","secondary school degree","21","","",""
"FDP","1984","Full Time","college entrance qualification","29","","",""
"FDP","1984","Full Time","Other degree","5","","",""
"FDP","1984","Full Time","no degree/no degree yet","","","",""
"FDP","1984","Part Time","lower secondary degree","7","","",""
"FDP","1984","Part Time","secondary school degree","4","","",""
"FDP","1984","Part Time","college entrance qualification","9","","",""
"FDP","1984","Part Time","Other degree","1","","",""
"FDP","1984","Part Time","no degree/no degree yet","","","",""
"FDP","1984","Not Working","lower secondary degree","36","0.023887588503014","0.0162287194453224","0.0315464575607056"
"FDP","1984","Not Working","secondary school degree","18","","",""
"FDP","1984","Not Working","college entrance qualification","16","","",""
"FDP","1984","Not Working","Other degree","1","","",""
"FDP","1984","Not Working","no degree/no degree yet","1","","",""
"Grüne","1984","Full Time","lower secondary degree","38","0.0217785530059286","0.0145028251359232","0.029054280875934"
"Grüne","1984","Full Time","secondary school degree","51","0.083044387338397","0.060508941807004","0.10557983286979"
"Grüne","1984","Full Time","college entrance qualification","32","0.0835634197989273","0.0553280019944208","0.111798837603434"
"Grüne","1984","Full Time","Other degree","21","","",""
"Grüne","1984","Full Time","no degree/no degree yet","6","","",""
"Grüne","1984","Part Time","lower secondary degree","21","","",""
"Grüne","1984","Part Time","secondary school degree","22","","",""
"Grüne","1984","Part Time","college entrance qualification","53","0.259836358120301","0.196981171235257","0.322691545005345"
"Grüne","1984","Part Time","Other degree","7","","",""
"Grüne","1984","Part Time","no degree/no degree yet","2","","",""
"Grüne","1984","Not Working","lower secondary degree","33","0.0152734844522624","0.00912234671124031","0.0214246221932846"
"Grüne","1984","Not Working","secondary school degree","33","0.0703853715707915","0.0445302343551954","0.0962405087863877"
"Grüne","1984","Not Working","college entrance qualification","80","0.251095246910691","0.199465976852374","0.302724516969008"
"Grüne","1984","Not Working","Other degree","5","","",""
"Grüne","1984","Not Working","no degree/no degree yet","25","","",""
"PDS/Linke","1984","Full Time","lower secondary degree","","","",""
"PDS/Linke","1984","Full Time","secondary school degree","","","",""
"PDS/Linke","1984","Full Time","college entrance qualification","","","",""
"PDS/Linke","1984","Full Time","Other degree","","","",""
"PDS/Linke","1984","Full Time","no degree/no degree yet","","","",""
"PDS/Linke","1984","Part Time","lower secondary degree","","","",""
"PDS/Linke","1984","Part Time","secondary school degree","","","",""
"PDS/Linke","1984","Part Time","college entrance qualification","","","",""
"PDS/Linke","1984","Part Time","Other degree","","","",""
"PDS/Linke","1984","Part Time","no degree/no degree yet","","","",""
"PDS/Linke","1984","Not Working","lower secondary degree","","","",""
"PDS/Linke","1984","Not Working","secondary school degree","","","",""
"PDS/Linke","1984","Not Working","college entrance qualification","","","",""
"PDS/Linke","1984","Not Working","Other degree","","","",""
"PDS/Linke","1984","Not Working","no degree/no degree yet","","","",""
"NPD Combination","1984","Full Time","lower secondary degree","","","",""
"NPD Combination","1984","Full Time","secondary school degree","","","",""
"NPD Combination","1984","Full Time","college entrance qualification","","","",""
"NPD Combination","1984","Full Time","Other degree","","","",""
"NPD Combination","1984","Full Time","no degree/no degree yet","","","",""
"NPD Combination","1984","Part Time","lower secondary degree","","","",""
"NPD Combination","1984","Part Time","secondary school degree","","","",""
"NPD Combination","1984","Part Time","college entrance qualification","","","",""
"NPD Combination","1984","Part Time","Other degree","","","",""
"NPD Combination","1984","Part Time","no degree/no degree yet","","","",""
"NPD Combination","1984","Not Working","lower secondary degree","","","",""
"NPD Combination","1984","Not Working","secondary school degree","","","",""
"NPD Combination","1984","Not Working","college entrance qualification","","","",""
"NPD Combination","1984","Not Working","Other degree","","","",""
"NPD Combination","1984","Not Working","no degree/no degree yet","","","",""
"AfD","1984","Full Time","lower secondary degree","","","",""
"AfD","1984","Full Time","secondary school degree","","","",""
"AfD","1984","Full Time","college entrance qualification","","","",""
