"party","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"AfD","1985","Employed","Urban Area","","","","","7"
"AfD","1985","Not Employed","Urban Area","","","","","7"
"AfD","1985","Not Employed","Rural Area","","","","","7"
"AfD","1985","Employed","Rural Area","","","","","7"
"CDU/CSU","1985","Employed","Urban Area","1002","0.387303099145972","0.369530610087998","0.405075588203946","2"
"CDU/CSU","1985","Employed","Rural Area","367","0.531187681935964","0.4951108887914","0.567264475080527","2"
"CDU/CSU","1985","Not Employed","Rural Area","251","0.544626138685885","0.499888000741403","0.589364276630368","2"
"CDU/CSU","1985","Not Employed","Urban Area","705","0.457554509480488","0.433717510147561","0.481391508813415","2"
"FDP","1985","Employed","Urban Area","93","0.0372364726541524","0.0303286049833837","0.0441443403249212","3"
"FDP","1985","Not Employed","Urban Area","71","0.0457423886853512","0.0357459720390226","0.0557388053316797","3"
"FDP","1985","Employed","Rural Area","19","","","","3"
"FDP","1985","Not Employed","Rural Area","15","","","","3"
"NPD","1985","Not Employed","Urban Area","","","","","6"
"NPD","1985","Not Employed","Rural Area","","","","","6"
"NPD","1985","Employed","Urban Area","","","","","6"
"NPD","1985","Employed","Rural Area","","","","","6"
"Other","1985","Employed","Urban Area","15","","","","8"
"Other","1985","Employed","Rural Area","4","","","","8"
"Other","1985","Not Employed","Urban Area","13","","","","8"
"Other","1985","Not Employed","Rural Area","4","","","","8"
"PDS/Linke","1985","Employed","Urban Area","","","","","5"
"PDS/Linke","1985","Employed","Rural Area","","","","","5"
"PDS/Linke","1985","Not Employed","Urban Area","","","","","5"
"PDS/Linke","1985","Not Employed","Rural Area","","","","","5"
"SPD","1985","Not Employed","Urban Area","756","0.426891613675239","0.40322537140151","0.450557855948967","1"
"SPD","1985","Employed","Rural Area","314","0.393516440422083","0.358198499289712","0.428834381554453","1"
"SPD","1985","Employed","Urban Area","1550","0.494264487487923","0.476023793526416","0.512505181449429","1"
"SPD","1985","Not Employed","Rural Area","188","0.382800697274055","0.33913466935395","0.426466725194161","1"
"AfD","1986","Employed","Urban Area","","","","","7"
"AfD","1986","Not Employed","Urban Area","","","","","7"
"AfD","1986","Not Employed","Rural Area","","","","","7"
"AfD","1986","Employed","Rural Area","","","","","7"
"CDU/CSU","1986","Employed","Urban Area","973","0.389335002688522","0.371107634769467","0.407562370607577","2"
"CDU/CSU","1986","Employed","Rural Area","354","0.529138007438368","0.492396559253316","0.565879455623419","2"
"CDU/CSU","1986","Not Employed","Rural Area","208","0.493458546962317","0.446529938123372","0.540387155801262","2"
"CDU/CSU","1986","Not Employed","Urban Area","669","0.462213154344165","0.437668343142883","0.486757965545448","2"
"FDP","1986","Employed","Rural Area","15","","","","3"
"FDP","1986","Employed","Urban Area","91","0.0370677329532588","0.0300052631524811","0.0441302027540365","3"
"FDP","1986","Not Employed","Urban Area","49","0.034657644856522","0.0256528533433496","0.0436624363696945","3"
"FDP","1986","Not Employed","Rural Area","15","","","","3"
"NPD","1986","Not Employed","Urban Area","","","","","6"
"NPD","1986","Not Employed","Rural Area","","","","","6"
"NPD","1986","Employed","Urban Area","","","","","6"
"NPD","1986","Employed","Rural Area","","","","","6"
"Other","1986","Employed","Urban Area","17","","","","8"
"Other","1986","Employed","Rural Area","2","","","","8"
"Other","1986","Not Employed","Urban Area","7","","","","8"
"Other","1986","Not Employed","Rural Area","3","","","","8"
"PDS/Linke","1986","Employed","Urban Area","","","","","5"
"PDS/Linke","1986","Employed","Rural Area","","","","","5"
"PDS/Linke","1986","Not Employed","Urban Area","","","","","5"
"PDS/Linke","1986","Not Employed","Rural Area","","","","","5"
"SPD","1986","Not Employed","Urban Area","746","0.443202601356506","0.418746726300365","0.467658476412647","1"
"SPD","1986","Employed","Rural Area","298","0.394158491812147","0.358188533899837","0.430128449724458","1"
"SPD","1986","Employed","Urban Area","1455","0.489776228617598","0.471089214368357","0.508463242866839","1"
"SPD","1986","Not Employed","Rural Area","192","0.423096837286819","0.376722662370057","0.469471012203581","1"
"AfD","1987","Employed","Urban Area","","","","","7"
"AfD","1987","Employed","Rural Area","","","","","7"
"AfD","1987","Not Employed","Rural Area","","","","","7"
"AfD","1987","Not Employed","Urban Area","","","","","7"
"CDU/CSU","1987","Employed","Rural Area","399","0.532507876447491","0.497911957704426","0.567103795190555","2"
"CDU/CSU","1987","Employed","Urban Area","1107","0.4129072079748","0.395122006287659","0.430692409661941","2"
"CDU/CSU","1987","Not Employed","Rural Area","222","0.544375901025324","0.497412557721614","0.591339244329034","2"
"CDU/CSU","1987","Not Employed","Urban Area","691","0.451001110755148","0.426977182292605","0.47502503921769","2"
"FDP","1987","Employed","Rural Area","37","0.0482881846375672","0.0334237679489977","0.0631526013261368","3"
"FDP","1987","Not Employed","Urban Area","82","0.0560678602786394","0.0449608578889065","0.0671748626683723","3"
"FDP","1987","Not Employed","Rural Area","19","","","","3"
"FDP","1987","Employed","Urban Area","140","0.054850986275094","0.0466262581399807","0.0630757144102073","3"
"NPD","1987","Not Employed","Urban Area","","","","","6"
"NPD","1987","Not Employed","Rural Area","","","","","6"
"NPD","1987","Employed","Urban Area","","","","","6"
"NPD","1987","Employed","Rural Area","","","","","6"
"Other","1987","Employed","Urban Area","16","","","","8"
"Other","1987","Employed","Rural Area","7","","","","8"
"Other","1987","Not Employed","Urban Area","11","","","","8"
"Other","1987","Not Employed","Rural Area","3","","","","8"
