"party","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","16-34 y.","Male","","","","","7"
"AfD","1984","16-34 y.","Female","","","","","7"
"AfD","1984","35-65 y.","Male","","","","","7"
"AfD","1984","35-65 y.","Female","","","","","7"
"AfD","1984","66 and older","Female","","","","","7"
"AfD","1984","66 and older","Male","","","","","7"
"CDU/CSU","1984","16-34 y.","Female","309","0.352212869524797","0.322533455732631","0.381892283316964","2"
"CDU/CSU","1984","16-34 y.","Male","348","0.366054048362475","0.337625213659573","0.394482883065378","2"
"CDU/CSU","1984","35-65 y.","Male","789","0.467998894764075","0.445527150454899","0.490470639073251","2"
"CDU/CSU","1984","66 and older","Male","168","0.506160200847324","0.451888137701893","0.560432263992755","2"
"CDU/CSU","1984","35-65 y.","Female","746","0.483835157517737","0.459823930629011","0.507846384406462","2"
"CDU/CSU","1984","66 and older","Female","250","0.539019703921973","0.493217550777732","0.584821857066213","2"
"FDP","1984","16-34 y.","Female","16","","","","3"
"FDP","1984","35-65 y.","Male","63","0.0375379059561405","0.0289776856525775","0.0460981262597036","3"
"FDP","1984","16-34 y.","Male","22","","","","3"
"FDP","1984","35-65 y.","Female","49","0.0306303373254865","0.0223510675927225","0.0389096070582505","3"
"FDP","1984","66 and older","Male","19","","","","3"
"FDP","1984","66 and older","Female","12","","","","3"
"Grüne","1984","16-34 y.","Male","169","0.151671699694215","0.130502980142871","0.172840419245559","4"
"Grüne","1984","16-34 y.","Female","163","0.166727768797334","0.143568013071457","0.18988752452321","4"
"Grüne","1984","35-65 y.","Male","47","0.0205479803959132","0.0141589602422984","0.026937000549528","4"
"Grüne","1984","35-65 y.","Female","45","0.0227194386139288","0.0155599853520164","0.0298788918758412","4"
"Grüne","1984","66 and older","Male","3","","","","4"
"Grüne","1984","66 and older","Female","4","","","","4"
"NPD","1984","16-34 y.","Male","","","","","6"
"NPD","1984","66 and older","Male","","","","","6"
"NPD","1984","16-34 y.","Female","","","","","6"
"NPD","1984","35-65 y.","Female","","","","","6"
"NPD","1984","66 and older","Female","","","","","6"
"NPD","1984","35-65 y.","Male","","","","","6"
"Other","1984","16-34 y.","Male","13","","","","8"
"Other","1984","16-34 y.","Female","6","","","","8"
"Other","1984","35-65 y.","Male","11","","","","8"
"Other","1984","35-65 y.","Female","4","","","","8"
"Other","1984","66 and older","Male","3","","","","8"
"Other","1984","66 and older","Female","3","","","","8"
"PDS/Linke","1984","16-34 y.","Female","","","","","5"
"PDS/Linke","1984","35-65 y.","Female","","","","","5"
"PDS/Linke","1984","16-34 y.","Male","","","","","5"
"PDS/Linke","1984","35-65 y.","Male","","","","","5"
"PDS/Linke","1984","66 and older","Male","","","","","5"
"PDS/Linke","1984","66 and older","Female","","","","","5"
"SPD","1984","16-34 y.","Male","551","0.449362181488659","0.420006537482642","0.478717825494677","1"
"SPD","1984","16-34 y.","Female","501","0.456725632831416","0.425774692283384","0.487676573379449","1"
"SPD","1984","35-65 y.","Male","984","0.468580720580491","0.446107311114282","0.4910541300467","1"
"SPD","1984","35-65 y.","Female","820","0.460781506327782","0.436831736741417","0.484731275914147","1"
"SPD","1984","66 and older","Male","133","0.415647418343085","0.362149200085432","0.469145636600739","1"
"SPD","1984","66 and older","Female","186","0.417086708995059","0.371780518474747","0.462392899515371","1"
"AfD","1985","35-65 y.","Male","","","","","7"
"AfD","1985","35-65 y.","Female","","","","","7"
"AfD","1985","16-34 y.","Male","","","","","7"
"AfD","1985","16-34 y.","Female","","","","","7"
"AfD","1985","66 and older","Male","","","","","7"
"AfD","1985","66 and older","Female","","","","","7"
"CDU/CSU","1985","16-34 y.","Male","324","0.372067972817418","0.342184399874564","0.401951545760272","2"
"CDU/CSU","1985","16-34 y.","Female","248","0.321336294888153","0.289979223376358","0.352693366399948","2"
"CDU/CSU","1985","35-65 y.","Male","700","0.451118874612044","0.427582065187783","0.474655684036304","2"
"CDU/CSU","1985","35-65 y.","Female","686","0.481479527914699","0.45635250296506","0.506606552864338","2"
"CDU/CSU","1985","66 and older","Male","165","0.524371120812242","0.468778040921732","0.579964200702752","2"
"CDU/CSU","1985","66 and older","Female","202","0.530038706300213","0.479320783412504","0.580756629187922","2"
