"party","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","(0) in school","","","",""
"CDU/CSU","1984","(1a) inadequately completed","34","0.204525114877452","0.158574767978364","0.250475461776541"
"CDU/CSU","1984","(1b) general elementary school","577","0.443459866211311","0.417959598849468","0.468960133573154"
"CDU/CSU","1984","(1c) basic vocational qualification","1040","0.442534116429002","0.42293456905148","0.462133663806523"
"CDU/CSU","1984","(2b) intermediate general qualification","100","0.464992587002891","0.401492132685886","0.528493041319897"
"CDU/CSU","1984","(2a) intermediate vocational","442","0.538891308964718","0.505536635694821","0.572245982234615"
"CDU/CSU","1984","(2c_gen) general maturity certificate","61","0.325115250314565","0.263635918666606","0.386594581962525"
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","107","0.443764723201165","0.385982456702167","0.501546989700163"
"CDU/CSU","1984","(3a) lower tertiary education","86","0.529534972502812","0.454942523832843","0.60412742117278"
"CDU/CSU","1984","(3b) higher tertiary education","134","0.445313679579818","0.392013140243257","0.49861421891638"
"SPD","1984","(0) in school","32","0.36273604809237","0.253925125124377","0.471546971060362"
"SPD","1984","(1a) inadequately completed","243","0.716487422679678","0.665143069623496","0.76783177573586"
"SPD","1984","(1b) general elementary school","799","0.511164271565682","0.48550578451915","0.536822758612214"
"SPD","1984","(1c) basic vocational qualification","1307","0.510134748907237","0.490408510083458","0.529860987731015"
"SPD","1984","(2b) intermediate general qualification","78","0.31046307426726","0.251557328461773","0.369368820072747"
"SPD","1984","(2a) intermediate vocational","326","0.358139832602291","0.326058605416678","0.390221059787903"
"SPD","1984","(2c_gen) general maturity certificate","72","0.2768150439014","0.218091102652046","0.335538985150755"
"SPD","1984","(2c_voc) vocational maturity certificate","115","0.340267866422296","0.285163855837587","0.395371877007006"
"SPD","1984","(3a) lower tertiary education","57","0.311352210515275","0.242151839459761","0.380552581570789"
"SPD","1984","(3b) higher tertiary education","123","0.320941451472985","0.270875626792203","0.371007276153768"
"FDP","1984","(0) in school","","","",""
"FDP","1984","(1a) inadequately completed","","","",""
"FDP","1984","(1b) general elementary school","","","",""
"FDP","1984","(1c) basic vocational qualification","48","0.0217491117258957","0.0159932625693274","0.0275049608824639"
"FDP","1984","(2b) intermediate general qualification","","","",""
"FDP","1984","(2a) intermediate vocational","32","0.0413137179851644","0.0279972256354672","0.0546302103348615"
"FDP","1984","(2c_gen) general maturity certificate","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","","","",""
"FDP","1984","(3a) lower tertiary education","","","",""
"FDP","1984","(3b) higher tertiary education","31","0.1002788084995","0.0680656421716306","0.13249197482737"
"Grüne","1984","(0) in school","","","",""
"Grüne","1984","(1a) inadequately completed","","","",""
"Grüne","1984","(1b) general elementary school","45","0.0186559639459289","0.0117106989692728","0.025601228922585"
"Grüne","1984","(1c) basic vocational qualification","62","0.021158606975345","0.0154797201297253","0.0268374938209647"
"Grüne","1984","(2b) intermediate general qualification","49","0.18289397786391","0.133677239808143","0.232110715919677"
"Grüne","1984","(2a) intermediate vocational","55","0.0580547142692517","0.0424075359652494","0.073701892573254"
"Grüne","1984","(2c_gen) general maturity certificate","83","0.359596507173762","0.296612507263321","0.422580507084203"
"Grüne","1984","(2c_voc) vocational maturity certificate","41","0.133248385235605","0.0937238084756326","0.172772961995578"
"Grüne","1984","(3a) lower tertiary education","","","",""
"Grüne","1984","(3b) higher tertiary education","45","0.130129444948401","0.0940474981812387","0.166211391715563"
"PDS/Linke","1984","(0) in school","","","",""
"PDS/Linke","1984","(1a) inadequately completed","","","",""
"PDS/Linke","1984","(1b) general elementary school","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","","","",""
"NPD Combination","1984","(0) in school","","","",""
"NPD Combination","1984","(1a) inadequately completed","","","",""
"NPD Combination","1984","(1b) general elementary school","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","","","",""
"NPD Combination","1984","(2a) intermediate vocational","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1984","(3a) lower tertiary education","","","",""
"NPD Combination","1984","(3b) higher tertiary education","","","",""
"AfD","1984","(0) in school","","","",""
"AfD","1984","(1a) inadequately completed","","","",""
"AfD","1984","(1b) general elementary school","","","",""
"AfD","1984","(1c) basic vocational qualification","","","",""
"AfD","1984","(2b) intermediate general qualification","","","",""
"AfD","1984","(2a) intermediate vocational","","","",""
"AfD","1984","(2c_gen) general maturity certificate","","","",""
"AfD","1984","(2c_voc) vocational maturity certificate","","","",""
"AfD","1984","(3a) lower tertiary education","","","",""
"AfD","1984","(3b) higher tertiary education","","","",""
"Other","1984","(0) in school","","","",""
"Other","1984","(1a) inadequately completed","","","",""
"Other","1984","(1b) general elementary school","","","",""
"Other","1984","(1c) basic vocational qualification","","","",""
"Other","1984","(2b) intermediate general qualification","","","",""
"Other","1984","(2a) intermediate vocational","","","",""
"Other","1984","(2c_gen) general maturity certificate","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","(3a) lower tertiary education","","","",""
"Other","1984","(3b) higher tertiary education","","","",""
"CDU/CSU","1985","(0) in school","30","0.461921691562163","0.34755657373243","0.576286809391895"
"CDU/CSU","1985","(1a) inadequately completed","","","",""
"CDU/CSU","1985","(1b) general elementary school","475","0.454340010239919","0.425978863504661","0.482701156975178"
"CDU/CSU","1985","(1c) basic vocational qualification","909","0.434891056728949","0.414142633235015","0.455639480222882"
"CDU/CSU","1985","(2b) intermediate general qualification","94","0.47187800080194","0.406649285257381","0.5371067163465"
"CDU/CSU","1985","(2a) intermediate vocational","404","0.506659714241996","0.472789586120693","0.540529842363299"
"CDU/CSU","1985","(2c_gen) general maturity certificate","60","0.32203438309085","0.258987761498641","0.385081004683059"
"CDU/CSU","1985","(2c_voc) vocational maturity certificate","103","0.435304653640713","0.376166199459662","0.494443107821764"
"CDU/CSU","1985","(3a) lower tertiary education","76","0.479254257082998","0.404595677782817","0.55391283638318"
"CDU/CSU","1985","(3b) higher tertiary education","135","0.395760679487601","0.34489150057768","0.446629858397522"
"SPD","1985","(0) in school","","","",""
"SPD","1985","(1a) inadequately completed","168","0.727286439607123","0.667052044222032","0.787520834992215"
"SPD","1985","(1b) general elementary school","651","0.505776092937457","0.477297845228234","0.534254340646679"
"SPD","1985","(1c) basic vocational qualification","1144","0.500696417757518","0.479769832928394","0.521623002586642"
"SPD","1985","(2b) intermediate general qualification","86","0.338875329865434","0.277028350933186","0.400722308797681"
"SPD","1985","(2a) intermediate vocational","340","0.382885467399389","0.349954636383579","0.415816298415199"
"SPD","1985","(2c_gen) general maturity certificate","74","0.297391022614826","0.235713398231082","0.359068646998571"
"SPD","1985","(2c_voc) vocational maturity certificate","103","0.315556264511302","0.260122612837168","0.370989916185437"
"SPD","1985","(3a) lower tertiary education","62","0.328970721846085","0.258755184098502","0.399186259593667"
"SPD","1985","(3b) higher tertiary education","135","0.358973690065613","0.309073390640197","0.408873989491029"
"FDP","1985","(0) in school","","","",""
"FDP","1985","(1a) inadequately completed","","","",""
"FDP","1985","(1b) general elementary school","","","",""
"FDP","1985","(1c) basic vocational qualification","61","0.0320971961577821","0.0247202230998339","0.0394741692157303"
"FDP","1985","(2b) intermediate general qualification","","","",""
"FDP","1985","(2a) intermediate vocational","37","0.0513634213904599","0.0364092529597717","0.066317589821148"
"FDP","1985","(2c_gen) general maturity certificate","","","",""
"FDP","1985","(2c_voc) vocational maturity certificate","","","",""
"FDP","1985","(3a) lower tertiary education","","","",""
"FDP","1985","(3b) higher tertiary education","32","0.0982412892586836","0.0672794954433116","0.129203083074056"
"Grüne","1985","(0) in school","","","",""
"Grüne","1985","(1a) inadequately completed","","","",""
"Grüne","1985","(1b) general elementary school","37","0.0199932867936464","0.0120201564661836","0.0279664171211092"
"Grüne","1985","(1c) basic vocational qualification","68","0.0268488364182199","0.0200836204894195","0.0336140523470204"
"Grüne","1985","(2b) intermediate general qualification","36","0.143394247553054","0.0975997614380396","0.189188733668068"
"Grüne","1985","(2a) intermediate vocational","52","0.0546241719341631","0.0392291595663948","0.0700191843019315"
"Grüne","1985","(2c_gen) general maturity certificate","69","0.339828070871315","0.275918630386218","0.403737511356413"
"Grüne","1985","(2c_voc) vocational maturity certificate","46","0.172398426412657","0.127343372724804","0.217453480100511"
"Grüne","1985","(3a) lower tertiary education","","","",""
"Grüne","1985","(3b) higher tertiary education","49","0.134575563134508","0.0990752981745825","0.170075828094434"
"PDS/Linke","1985","(0) in school","","","",""
"PDS/Linke","1985","(1a) inadequately completed","","","",""
"PDS/Linke","1985","(1b) general elementary school","","","",""
"PDS/Linke","1985","(1c) basic vocational qualification","","","",""
"PDS/Linke","1985","(2b) intermediate general qualification","","","",""
"PDS/Linke","1985","(2a) intermediate vocational","","","",""
"PDS/Linke","1985","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1985","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1985","(3a) lower tertiary education","","","",""
"PDS/Linke","1985","(3b) higher tertiary education","","","",""
"NPD Combination","1985","(0) in school","","","",""
"NPD Combination","1985","(1a) inadequately completed","","","",""
"NPD Combination","1985","(1b) general elementary school","","","",""
"NPD Combination","1985","(1c) basic vocational qualification","","","",""
"NPD Combination","1985","(2b) intermediate general qualification","","","",""
