"party","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","general elemantary","East Germany","","","","","7"
"AfD","1984","higher vocational","East Germany","","","","","7"
"AfD","1984","higher education","West Germany","","","","","7"
"AfD","1984","higher education","East Germany","","","","","7"
"AfD","1984","general elemantary","West Germany","","","","","7"
"AfD","1984","in school","West Germany","","","","","7"
"AfD","1984","in school","East Germany","","","","","7"
"AfD","1984","inadequately","West Germany","","","","","7"
"AfD","1984","inadequately","East Germany","","","","","7"
"AfD","1984","middle vocational","West Germany","","","","","7"
"AfD","1984","middle vocational","East Germany","","","","","7"
"AfD","1984","vocational + Abi","West Germany","","","","","7"
"AfD","1984","vocational + Abi","East Germany","","","","","7"
"AfD","1984","higher vocational","West Germany","","","","","7"
"CDU/CSU","1984","general elemantary","East Germany","","","","","2"
"CDU/CSU","1984","general elemantary","West Germany","675","0.447355254610821","0.423628417775911","0.47108209144573","2"
"CDU/CSU","1984","higher vocational","East Germany","","","","","2"
"CDU/CSU","1984","higher education","East Germany","","","","","2"
"CDU/CSU","1984","inadequately","East Germany","","","","","2"
"CDU/CSU","1984","middle vocational","West Germany","1368","0.449456434137956","0.432412058765941","0.46650080950997","2"
"CDU/CSU","1984","middle vocational","East Germany","","","","","2"
"CDU/CSU","1984","vocational + Abi","West Germany","50","0.31982262401532","0.252613550431972","0.387031697598669","2"
"CDU/CSU","1984","higher education","West Germany","220","0.475921275437653","0.432406308563964","0.519436242311343","2"
"CDU/CSU","1984","higher vocational","West Germany","240","0.57123548301724","0.524404157326827","0.618066808707653","2"
"CDU/CSU","1984","in school","West Germany","22","","","","2"
"CDU/CSU","1984","in school","East Germany","","","","","2"
"CDU/CSU","1984","inadequately","West Germany","31","0.202815644739575","0.154033830608301","0.251597458870849","2"
"CDU/CSU","1984","vocational + Abi","East Germany","","","","","2"
"FDP","1984","in school","East Germany","","","","","3"
"FDP","1984","general elemantary","West Germany","33","0.0208997527573794","0.0140736204130846","0.0277258851016742","3"
"FDP","1984","higher vocational","East Germany","","","","","3"
"FDP","1984","inadequately","West Germany","1","","","","3"
"FDP","1984","inadequately","East Germany","","","","","3"
"FDP","1984","general elemantary","East Germany","","","","","3"
"FDP","1984","vocational + Abi","West Germany","13","","","","3"
"FDP","1984","in school","West Germany","","","","","3"
"FDP","1984","higher vocational","West Germany","18","","","","3"
"FDP","1984","higher education","West Germany","44","0.0891692782047458","0.064337987544441","0.114000568865051","3"
"FDP","1984","middle vocational","West Germany","71","0.024759287509727","0.0194349395920895","0.0300836354273644","3"
"FDP","1984","middle vocational","East Germany","","","","","3"
"FDP","1984","higher education","East Germany","","","","","3"
"FDP","1984","vocational + Abi","East Germany","","","","","3"
"NPD","1984","in school","West Germany","","","","","6"
"NPD","1984","vocational + Abi","East Germany","","","","","6"
"NPD","1984","higher vocational","West Germany","","","","","6"
"NPD","1984","in school","East Germany","","","","","6"
"NPD","1984","inadequately","West Germany","","","","","6"
"NPD","1984","inadequately","East Germany","","","","","6"
"NPD","1984","general elemantary","West Germany","","","","","6"
"NPD","1984","general elemantary","East Germany","","","","","6"
"NPD","1984","middle vocational","East Germany","","","","","6"
"NPD","1984","vocational + Abi","West Germany","","","","","6"
"NPD","1984","middle vocational","West Germany","","","","","6"
