"party","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","(0) in school","in school","","","",""
"CDU/CSU","1984","(0) in school","inadequately","","","",""
"CDU/CSU","1984","(0) in school","general elemantary","","","",""
"CDU/CSU","1984","(0) in school","middle vocational","","","",""
"CDU/CSU","1984","(0) in school","vocational + Abi","","","",""
"CDU/CSU","1984","(0) in school","higher vocational","","","",""
"CDU/CSU","1984","(0) in school","higher education","","","",""
"CDU/CSU","1984","(1a) inadequately completed","in school","","","",""
"CDU/CSU","1984","(1a) inadequately completed","inadequately","","","",""
"CDU/CSU","1984","(1a) inadequately completed","general elemantary","","","",""
"CDU/CSU","1984","(1a) inadequately completed","middle vocational","","","",""
"CDU/CSU","1984","(1a) inadequately completed","vocational + Abi","","","",""
"CDU/CSU","1984","(1a) inadequately completed","higher vocational","","","",""
"CDU/CSU","1984","(1a) inadequately completed","higher education","","","",""
"CDU/CSU","1984","(1b) general elementary school","in school","","","",""
"CDU/CSU","1984","(1b) general elementary school","inadequately","","","",""
"CDU/CSU","1984","(1b) general elementary school","general elemantary","575","0.444367852617287","0.418792060767759","0.469943644466815"
"CDU/CSU","1984","(1b) general elementary school","middle vocational","","","",""
"CDU/CSU","1984","(1b) general elementary school","vocational + Abi","","","",""
"CDU/CSU","1984","(1b) general elementary school","higher vocational","","","",""
"CDU/CSU","1984","(1b) general elementary school","higher education","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","in school","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","inadequately","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","general elemantary","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","middle vocational","922","0.430664157342928","0.410262782229011","0.451065532456845"
"CDU/CSU","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"CDU/CSU","1984","(1c) basic vocational qualification","higher vocational","118","0.566189471075645","0.498180853648031","0.634198088503258"
"CDU/CSU","1984","(1c) basic vocational qualification","higher education","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","in school","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","inadequately","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","general elemantary","100","0.464992587002891","0.401492132685886","0.528493041319897"
"CDU/CSU","1984","(2b) intermediate general qualification","middle vocational","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","higher vocational","","","",""
"CDU/CSU","1984","(2b) intermediate general qualification","higher education","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","in school","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","inadequately","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","general elemantary","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","middle vocational","378","0.538081567271726","0.502039381115573","0.57412375342788"
"CDU/CSU","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"CDU/CSU","1984","(2a) intermediate vocational","higher vocational","64","0.543737315743625","0.455714029106899","0.631760602380351"
"CDU/CSU","1984","(2a) intermediate vocational","higher education","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","in school","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","middle vocational","61","0.325115250314565","0.263635918666606","0.386594581962525"
"CDU/CSU","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"CDU/CSU","1984","(2c_gen) general maturity certificate","higher education","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","vocational + Abi","50","0.31982262401532","0.252613550431972","0.387031697598669"
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","higher vocational","57","0.61486434703328","0.519006645478137","0.710722048588423"
"CDU/CSU","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","in school","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","inadequately","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","general elemantary","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","middle vocational","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","higher vocational","","","",""
"CDU/CSU","1984","(3a) lower tertiary education","higher education","86","0.529534972502812","0.454942523832843","0.60412742117278"
"CDU/CSU","1984","(3b) higher tertiary education","in school","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","inadequately","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","general elemantary","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","middle vocational","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","higher vocational","","","",""
"CDU/CSU","1984","(3b) higher tertiary education","higher education","134","0.445313679579818","0.392013140243257","0.49861421891638"
"SPD","1984","(0) in school","in school","31","0.361126055614612","0.251687782486475","0.470564328742749"
"SPD","1984","(0) in school","inadequately","","","",""
"SPD","1984","(0) in school","general elemantary","","","",""
"SPD","1984","(0) in school","middle vocational","","","",""
"SPD","1984","(0) in school","vocational + Abi","","","",""
"SPD","1984","(0) in school","higher vocational","","","",""
"SPD","1984","(0) in school","higher education","","","",""
"SPD","1984","(1a) inadequately completed","in school","","","",""
"SPD","1984","(1a) inadequately completed","inadequately","207","0.722050615978011","0.666848654485607","0.777252577470415"
"SPD","1984","(1a) inadequately completed","general elemantary","","","",""
"SPD","1984","(1a) inadequately completed","middle vocational","34","0.745179321605296","0.610138265235491","0.880220377975102"
"SPD","1984","(1a) inadequately completed","vocational + Abi","","","",""
"SPD","1984","(1a) inadequately completed","higher vocational","","","",""
"SPD","1984","(1a) inadequately completed","higher education","","","",""
"SPD","1984","(1b) general elementary school","in school","","","",""
"SPD","1984","(1b) general elementary school","inadequately","","","",""
"SPD","1984","(1b) general elementary school","general elemantary","793","0.509950081173045","0.48421958960154","0.535680572744549"
"SPD","1984","(1b) general elementary school","middle vocational","","","",""
"SPD","1984","(1b) general elementary school","vocational + Abi","","","",""
"SPD","1984","(1b) general elementary school","higher vocational","","","",""
"SPD","1984","(1b) general elementary school","higher education","","","",""
"SPD","1984","(1c) basic vocational qualification","in school","","","",""
"SPD","1984","(1c) basic vocational qualification","inadequately","","","",""
"SPD","1984","(1c) basic vocational qualification","general elemantary","","","",""
"SPD","1984","(1c) basic vocational qualification","middle vocational","1235","0.523857958828568","0.503281015951782","0.544434901705353"
"SPD","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"SPD","1984","(1c) basic vocational qualification","higher vocational","72","0.367173144961741","0.30102602916685","0.433320260756632"
"SPD","1984","(1c) basic vocational qualification","higher education","","","",""
"SPD","1984","(2b) intermediate general qualification","in school","","","",""
"SPD","1984","(2b) intermediate general qualification","inadequately","","","",""
"SPD","1984","(2b) intermediate general qualification","general elemantary","78","0.31046307426726","0.251557328461773","0.369368820072747"
"SPD","1984","(2b) intermediate general qualification","middle vocational","","","",""
"SPD","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"SPD","1984","(2b) intermediate general qualification","higher vocational","","","",""
"SPD","1984","(2b) intermediate general qualification","higher education","","","",""
"SPD","1984","(2a) intermediate vocational","in school","","","",""
"SPD","1984","(2a) intermediate vocational","inadequately","","","",""
"SPD","1984","(2a) intermediate vocational","general elemantary","","","",""
"SPD","1984","(2a) intermediate vocational","middle vocational","283","0.363828589155767","0.329047761949572","0.398609416361962"
"SPD","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"SPD","1984","(2a) intermediate vocational","higher vocational","43","0.324094712954509","0.241381587772079","0.406807838136939"
"SPD","1984","(2a) intermediate vocational","higher education","","","",""
"SPD","1984","(2c_gen) general maturity certificate","in school","","","",""
"SPD","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"SPD","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"SPD","1984","(2c_gen) general maturity certificate","middle vocational","72","0.2768150439014","0.218091102652046","0.335538985150755"
"SPD","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"SPD","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"SPD","1984","(2c_gen) general maturity certificate","higher education","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","vocational + Abi","88","0.407559287044816","0.336751654872832","0.4783669192168"
"SPD","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"SPD","1984","(3a) lower tertiary education","in school","","","",""
"SPD","1984","(3a) lower tertiary education","inadequately","","","",""
"SPD","1984","(3a) lower tertiary education","general elemantary","","","",""
"SPD","1984","(3a) lower tertiary education","middle vocational","","","",""
"SPD","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"SPD","1984","(3a) lower tertiary education","higher vocational","","","",""
"SPD","1984","(3a) lower tertiary education","higher education","57","0.311352210515275","0.242151839459761","0.380552581570789"
"SPD","1984","(3b) higher tertiary education","in school","","","",""
"SPD","1984","(3b) higher tertiary education","inadequately","","","",""
"SPD","1984","(3b) higher tertiary education","general elemantary","","","",""
"SPD","1984","(3b) higher tertiary education","middle vocational","","","",""
"SPD","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"SPD","1984","(3b) higher tertiary education","higher vocational","","","",""
"SPD","1984","(3b) higher tertiary education","higher education","123","0.320941451472985","0.270875626792203","0.371007276153768"
"FDP","1984","(0) in school","in school","","","",""
"FDP","1984","(0) in school","inadequately","","","",""
"FDP","1984","(0) in school","general elemantary","","","",""
"FDP","1984","(0) in school","middle vocational","","","",""
"FDP","1984","(0) in school","vocational + Abi","","","",""
"FDP","1984","(0) in school","higher vocational","","","",""
"FDP","1984","(0) in school","higher education","","","",""
"FDP","1984","(1a) inadequately completed","in school","","","",""
"FDP","1984","(1a) inadequately completed","inadequately","","","",""
"FDP","1984","(1a) inadequately completed","general elemantary","","","",""
"FDP","1984","(1a) inadequately completed","middle vocational","","","",""
"FDP","1984","(1a) inadequately completed","vocational + Abi","","","",""
"FDP","1984","(1a) inadequately completed","higher vocational","","","",""
"FDP","1984","(1a) inadequately completed","higher education","","","",""
"FDP","1984","(1b) general elementary school","in school","","","",""
"FDP","1984","(1b) general elementary school","inadequately","","","",""
"FDP","1984","(1b) general elementary school","general elemantary","","","",""
"FDP","1984","(1b) general elementary school","middle vocational","","","",""
"FDP","1984","(1b) general elementary school","vocational + Abi","","","",""
"FDP","1984","(1b) general elementary school","higher vocational","","","",""
"FDP","1984","(1b) general elementary school","higher education","","","",""
"FDP","1984","(1c) basic vocational qualification","in school","","","",""
"FDP","1984","(1c) basic vocational qualification","inadequately","","","",""
"FDP","1984","(1c) basic vocational qualification","general elemantary","","","",""
"FDP","1984","(1c) basic vocational qualification","middle vocational","39","0.0196060584216734","0.0138938865059234","0.0253182303374234"
"FDP","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"FDP","1984","(1c) basic vocational qualification","higher vocational","","","",""
"FDP","1984","(1c) basic vocational qualification","higher education","","","",""
"FDP","1984","(2b) intermediate general qualification","in school","","","",""
"FDP","1984","(2b) intermediate general qualification","inadequately","","","",""
"FDP","1984","(2b) intermediate general qualification","general elemantary","","","",""
"FDP","1984","(2b) intermediate general qualification","middle vocational","","","",""
"FDP","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"FDP","1984","(2b) intermediate general qualification","higher vocational","","","",""
"FDP","1984","(2b) intermediate general qualification","higher education","","","",""
"FDP","1984","(2a) intermediate vocational","in school","","","",""
"FDP","1984","(2a) intermediate vocational","inadequately","","","",""
"FDP","1984","(2a) intermediate vocational","general elemantary","","","",""
"FDP","1984","(2a) intermediate vocational","middle vocational","","","",""
"FDP","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"FDP","1984","(2a) intermediate vocational","higher vocational","","","",""
"FDP","1984","(2a) intermediate vocational","higher education","","","",""
"FDP","1984","(2c_gen) general maturity certificate","in school","","","",""
"FDP","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"FDP","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"FDP","1984","(2c_gen) general maturity certificate","middle vocational","","","",""
"FDP","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"FDP","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"FDP","1984","(2c_gen) general maturity certificate","higher education","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"FDP","1984","(3a) lower tertiary education","in school","","","",""
"FDP","1984","(3a) lower tertiary education","inadequately","","","",""
"FDP","1984","(3a) lower tertiary education","general elemantary","","","",""
"FDP","1984","(3a) lower tertiary education","middle vocational","","","",""
"FDP","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"FDP","1984","(3a) lower tertiary education","higher vocational","","","",""
"FDP","1984","(3a) lower tertiary education","higher education","","","",""
"FDP","1984","(3b) higher tertiary education","in school","","","",""
"FDP","1984","(3b) higher tertiary education","inadequately","","","",""
"FDP","1984","(3b) higher tertiary education","general elemantary","","","",""
"FDP","1984","(3b) higher tertiary education","middle vocational","","","",""
"FDP","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"FDP","1984","(3b) higher tertiary education","higher vocational","","","",""
"FDP","1984","(3b) higher tertiary education","higher education","31","0.1002788084995","0.0680656421716306","0.13249197482737"
"Grüne","1984","(0) in school","in school","","","",""
"Grüne","1984","(0) in school","inadequately","","","",""
"Grüne","1984","(0) in school","general elemantary","","","",""
"Grüne","1984","(0) in school","middle vocational","","","",""
"Grüne","1984","(0) in school","vocational + Abi","","","",""
"Grüne","1984","(0) in school","higher vocational","","","",""
"Grüne","1984","(0) in school","higher education","","","",""
"Grüne","1984","(1a) inadequately completed","in school","","","",""
"Grüne","1984","(1a) inadequately completed","inadequately","","","",""
"Grüne","1984","(1a) inadequately completed","general elemantary","","","",""
"Grüne","1984","(1a) inadequately completed","middle vocational","","","",""
"Grüne","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Grüne","1984","(1a) inadequately completed","higher vocational","","","",""
"Grüne","1984","(1a) inadequately completed","higher education","","","",""
"Grüne","1984","(1b) general elementary school","in school","","","",""
"Grüne","1984","(1b) general elementary school","inadequately","","","",""
"Grüne","1984","(1b) general elementary school","general elemantary","45","0.0187818575434364","0.0117944488513009","0.0257692662355718"
"Grüne","1984","(1b) general elementary school","middle vocational","","","",""
"Grüne","1984","(1b) general elementary school","vocational + Abi","","","",""
"Grüne","1984","(1b) general elementary school","higher vocational","","","",""
"Grüne","1984","(1b) general elementary school","higher education","","","",""
"Grüne","1984","(1c) basic vocational qualification","in school","","","",""
"Grüne","1984","(1c) basic vocational qualification","inadequately","","","",""
"Grüne","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Grüne","1984","(1c) basic vocational qualification","middle vocational","57","0.0210237956728656","0.0151129796026129","0.0269346117431184"
"Grüne","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Grüne","1984","(1c) basic vocational qualification","higher vocational","","","",""
"Grüne","1984","(1c) basic vocational qualification","higher education","","","",""
"Grüne","1984","(2b) intermediate general qualification","in school","","","",""
"Grüne","1984","(2b) intermediate general qualification","inadequately","","","",""
"Grüne","1984","(2b) intermediate general qualification","general elemantary","49","0.18289397786391","0.133677239808143","0.232110715919677"
"Grüne","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Grüne","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Grüne","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Grüne","1984","(2b) intermediate general qualification","higher education","","","",""
"Grüne","1984","(2a) intermediate vocational","in school","","","",""
"Grüne","1984","(2a) intermediate vocational","inadequately","","","",""
"Grüne","1984","(2a) intermediate vocational","general elemantary","","","",""
"Grüne","1984","(2a) intermediate vocational","middle vocational","44","0.0534424701704543","0.0371824458610427","0.0697024944798659"
"Grüne","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Grüne","1984","(2a) intermediate vocational","higher vocational","","","",""
"Grüne","1984","(2a) intermediate vocational","higher education","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","in school","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","middle vocational","83","0.359596507173762","0.296612507263321","0.422580507084203"
"Grüne","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","vocational + Abi","31","0.169379903063009","0.115330066612447","0.223429739513571"
"Grüne","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Grüne","1984","(3a) lower tertiary education","in school","","","",""
"Grüne","1984","(3a) lower tertiary education","inadequately","","","",""
"Grüne","1984","(3a) lower tertiary education","general elemantary","","","",""
"Grüne","1984","(3a) lower tertiary education","middle vocational","","","",""
"Grüne","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Grüne","1984","(3a) lower tertiary education","higher vocational","","","",""
"Grüne","1984","(3a) lower tertiary education","higher education","","","",""
"Grüne","1984","(3b) higher tertiary education","in school","","","",""
"Grüne","1984","(3b) higher tertiary education","inadequately","","","",""
"Grüne","1984","(3b) higher tertiary education","general elemantary","","","",""
"Grüne","1984","(3b) higher tertiary education","middle vocational","","","",""
"Grüne","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Grüne","1984","(3b) higher tertiary education","higher vocational","","","",""
"Grüne","1984","(3b) higher tertiary education","higher education","45","0.130129444948401","0.0940474981812387","0.166211391715563"
"PDS/Linke","1984","(0) in school","in school","","","",""
"PDS/Linke","1984","(0) in school","inadequately","","","",""
"PDS/Linke","1984","(0) in school","general elemantary","","","",""
"PDS/Linke","1984","(0) in school","middle vocational","","","",""
"PDS/Linke","1984","(0) in school","vocational + Abi","","","",""
"PDS/Linke","1984","(0) in school","higher vocational","","","",""
"PDS/Linke","1984","(0) in school","higher education","","","",""
"PDS/Linke","1984","(1a) inadequately completed","in school","","","",""
"PDS/Linke","1984","(1a) inadequately completed","inadequately","","","",""
"PDS/Linke","1984","(1a) inadequately completed","general elemantary","","","",""
"PDS/Linke","1984","(1a) inadequately completed","middle vocational","","","",""
"PDS/Linke","1984","(1a) inadequately completed","vocational + Abi","","","",""
"PDS/Linke","1984","(1a) inadequately completed","higher vocational","","","",""
"PDS/Linke","1984","(1a) inadequately completed","higher education","","","",""
"PDS/Linke","1984","(1b) general elementary school","in school","","","",""
"PDS/Linke","1984","(1b) general elementary school","inadequately","","","",""
"PDS/Linke","1984","(1b) general elementary school","general elemantary","","","",""
"PDS/Linke","1984","(1b) general elementary school","middle vocational","","","",""
"PDS/Linke","1984","(1b) general elementary school","vocational + Abi","","","",""
"PDS/Linke","1984","(1b) general elementary school","higher vocational","","","",""
"PDS/Linke","1984","(1b) general elementary school","higher education","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","in school","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","inadequately","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","general elemantary","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","middle vocational","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","higher vocational","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","higher education","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","in school","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","inadequately","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","general elemantary","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","middle vocational","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","higher vocational","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","higher education","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","in school","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","inadequately","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","general elemantary","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","middle vocational","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","higher vocational","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","higher education","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","in school","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","middle vocational","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","higher education","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
