"party","year","e11102","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Not Employed","1050","0.471499539490314","0.451647841702257","0.49135123727837"
"CDU/CSU","1984","Employed","1560","0.437778809147326","0.422419728962299","0.453137889332354"
"SPD","1984","Not Employed","1114","0.43382895642943","0.414119827584021","0.453538085274838"
"SPD","1984","Employed","2061","0.466876349900131","0.451430950382252","0.482321749418011"
"FDP","1984","Not Employed","72","0.0318969843889889","0.0249087102552251","0.0388852585227527"
"FDP","1984","Employed","109","0.0307105795963667","0.0253691811310268","0.0360519780617066"
"Grüne","1984","Not Employed","177","0.056191154769853","0.0470329503359961","0.06534935920371"
"Grüne","1984","Employed","254","0.0588176162084578","0.0515335339915785","0.0661016984253371"
"PDS/Linke","1984","Not Employed","","","",""
"PDS/Linke","1984","Employed","","","",""
"NPD Combination","1984","Not Employed","","","",""
"NPD Combination","1984","Employed","","","",""
"AfD","1984","Not Employed","","","",""
"AfD","1984","Employed","","","",""
"Other","1984","Not Employed","16","","",""
"Other","1984","Employed","24","","",""
"CDU/CSU","1985","Not Employed","956","0.478436141333839","0.457340585349824","0.499531697317853"
"CDU/CSU","1985","Employed","1369","0.419284590595331","0.403212589454074","0.435356591736588"
"SPD","1985","Not Employed","944","0.416317672510149","0.395500298877839","0.437135046142459"
"SPD","1985","Employed","1864","0.471871033350598","0.455611222775282","0.488130843925913"
"FDP","1985","Not Employed","86","0.044190118724596","0.0355110408789258","0.0528691965702662"
"FDP","1985","Employed","112","0.0349684107213227","0.0289850864458136","0.0409517349968318"
"Grüne","1985","Not Employed","151","0.0527641886069338","0.0433230596890543","0.0622053175248133"
"Grüne","1985","Employed","257","0.067994653835115","0.05979528516865","0.07619402250158"
"PDS/Linke","1985","Not Employed","","","",""
"PDS/Linke","1985","Employed","","","",""
"NPD Combination","1985","Not Employed","","","",""
"NPD Combination","1985","Employed","","","",""
"AfD","1985","Not Employed","","","",""
"AfD","1985","Employed","","","",""
"Other","1985","Not Employed","17","","",""
"Other","1985","Employed","19","","",""
"CDU/CSU","1986","Not Employed","877","0.46936137550215","0.447603422341224","0.491119328663076"
"CDU/CSU","1986","Employed","1327","0.42103535012675","0.404579478121948","0.437491222131552"
"SPD","1986","Not Employed","938","0.438602868849484","0.416968921782521","0.460236815916446"
"SPD","1986","Employed","1753","0.468094895777767","0.451463847347509","0.484725944208026"
"FDP","1986","Not Employed","64","0.0361855524948702","0.0280435870609552","0.0443275179287851"
"FDP","1986","Employed","106","0.0338896447169463","0.027858739916273","0.0399205495176195"
"Grüne","1986","Not Employed","132","0.0510916538615857","0.0414920779312014","0.0606912297919699"
"Grüne","1986","Employed","253","0.0709459086153836","0.062388943248629","0.0795028739821381"
"PDS/Linke","1986","Not Employed","","","",""
"PDS/Linke","1986","Employed","","","",""
"NPD Combination","1986","Not Employed","","","",""
"NPD Combination","1986","Employed","","","",""
"AfD","1986","Not Employed","","","",""
"AfD","1986","Employed","","","",""
"Other","1986","Not Employed","10","","",""
"Other","1986","Employed","19","","",""
"CDU/CSU","1987","Not Employed","913","0.471714404368321","0.450261288556496","0.493167520180145"
"CDU/CSU","1987","Employed","1506","0.44056010387438","0.424655696993985","0.456464510754775"
"SPD","1987","Not Employed","902","0.412968888546088","0.391809376406208","0.434128400685968"
"SPD","1987","Employed","1716","0.420287883893748","0.404474755351073","0.436101012436422"
"FDP","1987","Not Employed","101","0.0548028043021864","0.0450218996135141","0.0645837089908587"
"FDP","1987","Employed","177","0.0533335995178991","0.046135180771859","0.0605320182639392"
"Grüne","1987","Not Employed","150","0.0526180683129999","0.0430230364205697","0.0622131002054301"
"Grüne","1987","Employed","321","0.0790218696384038","0.0703794273804555","0.087664311896352"
"PDS/Linke","1987","Not Employed","","","",""
"PDS/Linke","1987","Employed","","","",""
"NPD Combination","1987","Not Employed","","","",""
"NPD Combination","1987","Employed","","","",""
"AfD","1987","Not Employed","","","",""
"AfD","1987","Employed","","","",""
"Other","1987","Not Employed","14","","",""
"Other","1987","Employed","23","","",""
"CDU/CSU","1988","Not Employed","792","0.449004368557408","0.426436443428905","0.47157229368591"
"CDU/CSU","1988","Employed","1222","0.399536610437223","0.382947921085018","0.416125299789429"
"SPD","1988","Not Employed","878","0.446041172558348","0.423487436722205","0.46859490839449"
"SPD","1988","Employed","1722","0.480352950725756","0.463431991402628","0.497273910048884"
"FDP","1988","Not Employed","76","0.047610627223916","0.0379489729457352","0.0572722815020967"
"FDP","1988","Employed","138","0.0442427735335139","0.0372783450226159","0.0512072020444118"
"Grüne","1988","Not Employed","102","0.0456617751015704","0.0361902519247363","0.0551332982784044"
"Grüne","1988","Employed","237","0.0663665691624852","0.0579360678958297","0.0747970704291406"
"PDS/Linke","1988","Not Employed","","","",""
"PDS/Linke","1988","Employed","","","",""
"NPD Combination","1988","Not Employed","","","",""
"NPD Combination","1988","Employed","","","",""
"AfD","1988","Not Employed","","","",""
"AfD","1988","Employed","","","",""
"Other","1988","Not Employed","18","","",""
"Other","1988","Employed","30","0.00950109614102104","0.00621557418909042","0.0127866180929517"
"CDU/CSU","1989","Not Employed","680","0.418118162285715","0.395119809393504","0.441116515177925"
"CDU/CSU","1989","Employed","1050","0.368966800445443","0.352323715954052","0.385609884936833"
"SPD","1989","Not Employed","858","0.458517571481423","0.43528485502861","0.481750287934237"
"SPD","1989","Employed","1725","0.487091183230131","0.469851102901475","0.504331263558788"
"FDP","1989","Not Employed","45","0.0310955291606967","0.0230023478106513","0.0391887105107421"
"FDP","1989","Employed","94","0.0317306317118393","0.0256848630631358","0.0377764003605429"
