"party","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","1-pers.-HH","161","0.41748901974128","0.368608670605303","0.466369368877257"
"CDU/CSU","1984","lower secondary degree","(Married) couple without C. ","407","0.408939337333866","0.378589015715571","0.43928965895216"
"CDU/CSU","1984","lower secondary degree","Single parent ","66","0.397967763686851","0.32585779973978","0.470077727633923"
"CDU/CSU","1984","lower secondary degree","Couple + C. LE 16 ","316","0.410009151250638","0.375493171745196","0.444525130756079"
"CDU/CSU","1984","lower secondary degree","Couple + C. GT 16 ","259","0.460972663262934","0.420544440625007","0.50140088590086"
"CDU/CSU","1984","lower secondary degree","Couple + C. LE and GT 16","195","0.547676306096793","0.498778069202535","0.59657454299105"
"CDU/CSU","1984","secondary school degree","1-pers.-HH","77","0.54084969982469","0.462650641260309","0.61904875838907"
"CDU/CSU","1984","secondary school degree","(Married) couple without C. ","146","0.587107604929598","0.52691282594221","0.647302383916985"
"CDU/CSU","1984","secondary school degree","Single parent ","22","","",""
"CDU/CSU","1984","secondary school degree","Couple + C. LE 16 ","139","0.477158597100444","0.420353641002717","0.533963553198171"
"CDU/CSU","1984","secondary school degree","Couple + C. GT 16 ","79","0.463965793112956","0.391908422064138","0.536023164161773"
"CDU/CSU","1984","secondary school degree","Couple + C. LE and GT 16","72","0.585612923232197","0.502515102528779","0.668710743935616"
"CDU/CSU","1984","college entrance qualification","1-pers.-HH","58","0.441178871840564","0.358034746454544","0.524322997226583"
"CDU/CSU","1984","college entrance qualification","(Married) couple without C. ","108","0.505701111817854","0.440517917030663","0.570884306605045"
"CDU/CSU","1984","college entrance qualification","Single parent ","8","","",""
"CDU/CSU","1984","college entrance qualification","Couple + C. LE 16 ","75","0.40487211652651","0.335075338691654","0.474668894361366"
"CDU/CSU","1984","college entrance qualification","Couple + C. GT 16 ","49","0.410423171261818","0.32553652509749","0.495309817426145"
"CDU/CSU","1984","college entrance qualification","Couple + C. LE and GT 16","23","","",""
"CDU/CSU","1984","Other degree","1-pers.-HH","8","","",""
"CDU/CSU","1984","Other degree","(Married) couple without C. ","14","","",""
"CDU/CSU","1984","Other degree","Single parent ","","","",""
"CDU/CSU","1984","Other degree","Couple + C. LE 16 ","37","0.161116070760012","0.112863992032737","0.209368149487288"
"CDU/CSU","1984","Other degree","Couple + C. GT 16 ","15","","",""
"CDU/CSU","1984","Other degree","Couple + C. LE and GT 16","4","","",""
"CDU/CSU","1984","no degree/no degree yet","1-pers.-HH","5","","",""
"CDU/CSU","1984","no degree/no degree yet","(Married) couple without C. ","8","","",""
"CDU/CSU","1984","no degree/no degree yet","Single parent ","4","","",""
"CDU/CSU","1984","no degree/no degree yet","Couple + C. LE 16 ","7","","",""
"CDU/CSU","1984","no degree/no degree yet","Couple + C. GT 16 ","16","","",""
"CDU/CSU","1984","no degree/no degree yet","Couple + C. LE and GT 16","12","","",""
"SPD","1984","lower secondary degree","1-pers.-HH","207","0.526583227030183","0.477093501694203","0.576072952366163"
"SPD","1984","lower secondary degree","(Married) couple without C. ","556","0.550639491428414","0.519931673716759","0.581347309140069"
"SPD","1984","lower secondary degree","Single parent ","97","0.530553281070231","0.45703097606846","0.604075586072002"
"SPD","1984","lower secondary degree","Couple + C. LE 16 ","422","0.537737052223419","0.502748150304119","0.572725954142719"
"SPD","1984","lower secondary degree","Couple + C. GT 16 ","299","0.497345382690103","0.456794010856311","0.537896754523896"
"SPD","1984","lower secondary degree","Couple + C. LE and GT 16","173","0.395171035760877","0.347140724850281","0.443201346671473"
"SPD","1984","secondary school degree","1-pers.-HH","54","0.31167748098773","0.238994205027418","0.384360756948043"
"SPD","1984","secondary school degree","(Married) couple without C. ","85","0.30805992020783","0.251613894098685","0.364505946316974"
"SPD","1984","secondary school degree","Single parent ","18","","",""
"SPD","1984","secondary school degree","Couple + C. LE 16 ","131","0.436174717481346","0.379775590212383","0.492573844750309"
"SPD","1984","secondary school degree","Couple + C. GT 16 ","72","0.373069085387105","0.303190572554733","0.442947598219477"
"SPD","1984","secondary school degree","Couple + C. LE and GT 16","36","0.239674411016348","0.167664571225835","0.311684250806862"
"SPD","1984","college entrance qualification","1-pers.-HH","40","0.281506036544589","0.206197670412262","0.356814402676917"
"SPD","1984","college entrance qualification","(Married) couple without C. ","59","0.247470000350821","0.191207755061901","0.303732245639742"
"SPD","1984","college entrance qualification","Single parent ","12","","",""
"SPD","1984","college entrance qualification","Couple + C. LE 16 ","68","0.365853398932672","0.29736458076646","0.434342217098885"
"SPD","1984","college entrance qualification","Couple + C. GT 16 ","49","0.375613416616792","0.292043385208111","0.459183448025474"
"SPD","1984","college entrance qualification","Couple + C. LE and GT 16","19","","",""
"SPD","1984","Other degree","1-pers.-HH","23","","",""
"SPD","1984","Other degree","(Married) couple without C. ","53","0.687458941900337","0.578872402471616","0.796045481329058"
"SPD","1984","Other degree","Single parent ","10","","",""
"SPD","1984","Other degree","Couple + C. LE 16 ","168","0.755726000401594","0.69933413470295","0.812117866100238"
"SPD","1984","Other degree","Couple + C. GT 16 ","27","","",""
"SPD","1984","Other degree","Couple + C. LE and GT 16","58","0.739152631110165","0.638425386322906","0.839879875897424"
"SPD","1984","no degree/no degree yet","1-pers.-HH","14","","",""
"SPD","1984","no degree/no degree yet","(Married) couple without C. ","36","0.598139295392625","0.456459437276266","0.739819153508983"
"SPD","1984","no degree/no degree yet","Single parent ","13","","",""
"SPD","1984","no degree/no degree yet","Couple + C. LE 16 ","96","0.952186147877049","0.911178088470006","0.993194207284093"
"SPD","1984","no degree/no degree yet","Couple + C. GT 16 ","55","0.446022404809235","0.339722497506466","0.552322312112004"
"SPD","1984","no degree/no degree yet","Couple + C. LE and GT 16","47","0.438463090867334","0.326164803390247","0.55076137834442"
"FDP","1984","lower secondary degree","1-pers.-HH","12","","",""
"FDP","1984","lower secondary degree","(Married) couple without C. ","20","","",""
"FDP","1984","lower secondary degree","Single parent ","4","","",""
"FDP","1984","lower secondary degree","Couple + C. LE 16 ","18","","",""
"FDP","1984","lower secondary degree","Couple + C. GT 16 ","12","","",""
