"party","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Not Employed","(0) in school","20","","",""
"CDU/CSU","1984","Not Employed","(1a) inadequately completed","10","","",""
"CDU/CSU","1984","Not Employed","(1b) general elementary school","354","0.469366575566602","0.43467548859742","0.504057662535784"
"CDU/CSU","1984","Not Employed","(1c) basic vocational qualification","342","0.441947320936267","0.407140242975478","0.476754398897055"
"CDU/CSU","1984","Not Employed","(2b) intermediate general qualification","62","0.5453185333561","0.458717118847803","0.631919947864398"
"CDU/CSU","1984","Not Employed","(2a) intermediate vocational","147","0.639134481581588","0.578501575081451","0.699767388081726"
"CDU/CSU","1984","Not Employed","(2c_gen) general maturity certificate","31","0.305708408564822","0.224944425432869","0.386472391696774"
"CDU/CSU","1984","Not Employed","(2c_voc) vocational maturity certificate","33","0.438220992568459","0.33335656083627","0.543085424300648"
"CDU/CSU","1984","Not Employed","(3a) lower tertiary education","21","","",""
"CDU/CSU","1984","Not Employed","(3b) higher tertiary education","28","","",""
"CDU/CSU","1984","Employed","(0) in school","2","","",""
"CDU/CSU","1984","Employed","(1a) inadequately completed","24","","",""
"CDU/CSU","1984","Employed","(1b) general elementary school","223","0.398373567868342","0.361108661129819","0.435638474606865"
"CDU/CSU","1984","Employed","(1c) basic vocational qualification","698","0.442871139836506","0.419153872085598","0.466588407587415"
"CDU/CSU","1984","Employed","(2b) intermediate general qualification","38","0.354490270751569","0.265096901807461","0.443883639695677"
"CDU/CSU","1984","Employed","(2a) intermediate vocational","295","0.491437830214399","0.45199102577121","0.530884634657589"
"CDU/CSU","1984","Employed","(2c_gen) general maturity certificate","30","0.353658839390425","0.259000644409658","0.448317034371192"
"CDU/CSU","1984","Employed","(2c_voc) vocational maturity certificate","74","0.446883388851583","0.377633201539164","0.516133576164002"
"CDU/CSU","1984","Employed","(3a) lower tertiary education","65","0.493310340946299","0.409592323020543","0.577028358872055"
"CDU/CSU","1984","Employed","(3b) higher tertiary education","106","0.430092460254797","0.370483949730712","0.489700970778882"
"SPD","1984","Not Employed","(0) in school","30","0.374991542532163","0.260762317828487","0.489220767235839"
"SPD","1984","Not Employed","(1a) inadequately completed","68","0.662572399946902","0.563216093863443","0.76192870603036"
"SPD","1984","Not Employed","(1b) general elementary school","405","0.491565091357223","0.456813657844852","0.526316524869594"
"SPD","1984","Not Employed","(1c) basic vocational qualification","398","0.50574504105137","0.470703269924909","0.54078681217783"
"SPD","1984","Not Employed","(2b) intermediate general qualification","35","0.25211643582165","0.176596118778535","0.327636752864764"
"SPD","1984","Not Employed","(2a) intermediate vocational","72","0.276143117858221","0.219697135500921","0.33258910021552"
