"party","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","16-34 y.","lower secondary degree","289","0.383220299630328","0.350536847861763","0.415903751398892"
"CDU/CSU","1984","16-34 y.","secondary school degree","200","0.409626681009297","0.366947067075194","0.4523062949434"
"CDU/CSU","1984","16-34 y.","college entrance qualification","116","0.293047516943638","0.248827895387911","0.337267138499364"
"CDU/CSU","1984","16-34 y.","Other degree","19","","",""
"CDU/CSU","1984","16-34 y.","no degree/no degree yet","32","0.278834406604763","0.21122682219241","0.346441991017117"
"CDU/CSU","1984","35-65 y.","lower secondary degree","987","0.460863092857294","0.439778386100689","0.4819477996139"
"CDU/CSU","1984","35-65 y.","secondary school degree","286","0.571346744401242","0.528438516095757","0.614254972706727"
"CDU/CSU","1984","35-65 y.","college entrance qualification","178","0.521476916426143","0.4695859113334","0.573367921518885"
"CDU/CSU","1984","35-65 y.","Other degree","59","0.200979846089432","0.157209974074602","0.244749718104261"
"CDU/CSU","1984","35-65 y.","no degree/no degree yet","20","","",""
"CDU/CSU","1984","66 and older","lower secondary degree","283","0.467738665577832","0.427409101907382","0.508068229248282"
"CDU/CSU","1984","66 and older","secondary school degree","82","0.704956694319971","0.622669701845712","0.78724368679423"
"CDU/CSU","1984","66 and older","college entrance qualification","45","0.704439307677941","0.592649236567859","0.816229378788024"
"CDU/CSU","1984","66 and older","Other degree","3","","",""
"CDU/CSU","1984","66 and older","no degree/no degree yet","4","","",""
"SPD","1984","16-34 y.","lower secondary degree","478","0.528738153590871","0.49518061537385","0.562295691807892"
"SPD","1984","16-34 y.","secondary school degree","208","0.394745582460081","0.352323632611237","0.437167532308926"
"SPD","1984","16-34 y.","college entrance qualification","135","0.342116207654881","0.296025613713819","0.388206801595943"
"SPD","1984","16-34 y.","Other degree","121","0.759089851800403","0.691984071302244","0.826195632298562"
"SPD","1984","16-34 y.","no degree/no degree yet","106","0.482706498926582","0.407368371243093","0.55804462661007"
