"party","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Full Time","(0) in school","1","","",""
"CDU/CSU","1984","Full Time","(1a) inadequately completed","19","","",""
"CDU/CSU","1984","Full Time","(1b) general elementary school","150","0.402351911876574","0.357733418375678","0.446970405377469"
"CDU/CSU","1984","Full Time","(1c) basic vocational qualification","550","0.442379013516703","0.415676483393782","0.469081543639624"
"CDU/CSU","1984","Full Time","(2b) intermediate general qualification","24","","",""
"CDU/CSU","1984","Full Time","(2a) intermediate vocational","233","0.495509762087972","0.450688236588954","0.54033128758699"
"CDU/CSU","1984","Full Time","(2c_gen) general maturity certificate","11","","",""
"CDU/CSU","1984","Full Time","(2c_voc) vocational maturity certificate","54","0.44274351890788","0.362988388928463","0.522498648887297"
"CDU/CSU","1984","Full Time","(3a) lower tertiary education","53","0.480854502661385","0.388733160108165","0.572975845214605"
"CDU/CSU","1984","Full Time","(3b) higher tertiary education","81","0.449206244255333","0.37829181934469","0.520120669165976"
"CDU/CSU","1984","Part Time","(0) in school","1","","",""
"CDU/CSU","1984","Part Time","(1a) inadequately completed","5","","",""
"CDU/CSU","1984","Part Time","(1b) general elementary school","73","0.390988585508543","0.323190675137134","0.458786495879952"
"CDU/CSU","1984","Part Time","(1c) basic vocational qualification","148","0.444653298871852","0.393033542607452","0.496273055136252"
"CDU/CSU","1984","Part Time","(2b) intermediate general qualification","14","","",""
"CDU/CSU","1984","Part Time","(2a) intermediate vocational","62","0.476930250983366","0.393897786602461","0.559962715364272"
"CDU/CSU","1984","Part Time","(2c_gen) general maturity certificate","19","","",""
"CDU/CSU","1984","Part Time","(2c_voc) vocational maturity certificate","20","","",""
"CDU/CSU","1984","Part Time","(3a) lower tertiary education","12","","",""
"CDU/CSU","1984","Part Time","(3b) higher tertiary education","25","","",""
"CDU/CSU","1984","Not Working","(0) in school","20","","",""
"CDU/CSU","1984","Not Working","(1a) inadequately completed","10","","",""
"CDU/CSU","1984","Not Working","(1b) general elementary school","354","0.469366575566602","0.43467548859742","0.504057662535784"
"CDU/CSU","1984","Not Working","(1c) basic vocational qualification","342","0.441947320936267","0.407140242975478","0.476754398897055"
"CDU/CSU","1984","Not Working","(2b) intermediate general qualification","62","0.5453185333561","0.458717118847803","0.631919947864398"
"CDU/CSU","1984","Not Working","(2a) intermediate vocational","147","0.639134481581588","0.578501575081451","0.699767388081726"
"CDU/CSU","1984","Not Working","(2c_gen) general maturity certificate","31","0.305708408564822","0.224944425432869","0.386472391696774"
"CDU/CSU","1984","Not Working","(2c_voc) vocational maturity certificate","33","0.438220992568459","0.33335656083627","0.543085424300648"
"CDU/CSU","1984","Not Working","(3a) lower tertiary education","21","","",""
"CDU/CSU","1984","Not Working","(3b) higher tertiary education","28","","",""
"SPD","1984","Full Time","(0) in school","","","",""
"SPD","1984","Full Time","(1a) inadequately completed","139","0.700351585460388","0.630663569988553","0.770039600932224"
"SPD","1984","Full Time","(1b) general elementary school","285","0.543430960566948","0.49810839159373","0.588753529540165"
"SPD","1984","Full Time","(1c) basic vocational qualification","718","0.512436705419929","0.485563392003291","0.539310018836567"
"SPD","1984","Full Time","(2b) intermediate general qualification","26","","",""
"SPD","1984","Full Time","(2a) intermediate vocational","191","0.389333581344597","0.34562194202265","0.433045220666543"
"SPD","1984","Full Time","(2c_gen) general maturity certificate","18","","",""
"SPD","1984","Full Time","(2c_voc) vocational maturity certificate","71","0.402726698497696","0.323977395479059","0.481476001516334"
"SPD","1984","Full Time","(3a) lower tertiary education","42","0.363033566842718","0.274370952311834","0.451696181373603"
"SPD","1984","Full Time","(3b) higher tertiary education","75","0.368570324239243","0.299793856752156","0.43734679172633"
"SPD","1984","Part Time","(0) in school","2","","",""
"SPD","1984","Part Time","(1a) inadequately completed","36","0.933293224414803","0.858715711841467","1.00787073698814"
"SPD","1984","Part Time","(1b) general elementary school","109","0.548693424997167","0.479554557541133","0.617832292453201"
"SPD","1984","Part Time","(1c) basic vocational qualification","191","0.513449948487159","0.461529801800147","0.565370095174171"
"SPD","1984","Part Time","(2b) intermediate general qualification","17","","",""
"SPD","1984","Part Time","(2a) intermediate vocational","63","0.424112139007384","0.341954111385411","0.506270166629357"
"SPD","1984","Part Time","(2c_gen) general maturity certificate","19","","",""
"SPD","1984","Part Time","(2c_voc) vocational maturity certificate","13","","",""
"SPD","1984","Part Time","(3a) lower tertiary education","8","","",""
"SPD","1984","Part Time","(3b) higher tertiary education","25","","",""
"SPD","1984","Not Working","(0) in school","30","0.374991542532163","0.260762317828487","0.489220767235839"
"SPD","1984","Not Working","(1a) inadequately completed","68","0.662572399946902","0.563216093863443","0.76192870603036"
"SPD","1984","Not Working","(1b) general elementary school","405","0.491565091357223","0.456813657844852","0.526316524869594"
"SPD","1984","Not Working","(1c) basic vocational qualification","398","0.50574504105137","0.470703269924909","0.54078681217783"
"SPD","1984","Not Working","(2b) intermediate general qualification","35","0.25211643582165","0.176596118778535","0.327636752864764"
"SPD","1984","Not Working","(2a) intermediate vocational","72","0.276143117858221","0.219697135500921","0.33258910021552"
"SPD","1984","Not Working","(2c_gen) general maturity certificate","35","0.25408975812473","0.177771236394577","0.330408279854883"
"SPD","1984","Not Working","(2c_voc) vocational maturity certificate","31","0.313883803568661","0.21580342026751","0.411964186869811"
"SPD","1984","Not Working","(3a) lower tertiary education","7","","",""
"SPD","1984","Not Working","(3b) higher tertiary education","23","","",""
"FDP","1984","Full Time","(0) in school","","","",""
