"party","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Full Time","Male","","","","","7"
"AfD","1984","Full Time","Female","","","","","7"
"AfD","1984","Part Time","Male","","","","","7"
"AfD","1984","Part Time","Female","","","","","7"
"AfD","1984","Not Working","Female","","","","","7"
"AfD","1984","Not Working","Male","","","","","7"
"CDU/CSU","1984","Full Time","Female","300","0.42662835593153","0.392029939067557","0.461226772795502","1"
"CDU/CSU","1984","Full Time","Male","879","0.450935813444275","0.43024655205486","0.471625074833691","1"
"CDU/CSU","1984","Part Time","Male","122","0.415590520690116","0.363511799419012","0.46766924196122","1"
"CDU/CSU","1984","Part Time","Female","259","0.420426125260911","0.382680671191661","0.45817157933016","1"
"CDU/CSU","1984","Not Working","Female","746","0.488421324673264","0.46446150861763","0.512381140728898","1"
"CDU/CSU","1984","Not Working","Male","304","0.433571940465627","0.398269631227609","0.468874249703645","1"
"FDP","1984","Full Time","Male","70","0.0354958858037829","0.0278025070242127","0.043189264583353","3"
"FDP","1984","Full Time","Female","18","","","","3"
"FDP","1984","Part Time","Male","12","","","","3"
"FDP","1984","Not Working","Male","22","","","","3"
"FDP","1984","Not Working","Female","50","0.0316985236630362","0.0233009316848634","0.0400961156412089","3"
"FDP","1984","Part Time","Female","9","","","","3"
"NPD Combination","1984","Full Time","Male","","","","","6"
"NPD Combination","1984","Not Working","Male","","","","","6"
"NPD Combination","1984","Full Time","Female","","","","","6"
"NPD Combination","1984","Part Time","Female","","","","","6"
"NPD Combination","1984","Not Working","Female","","","","","6"
"NPD Combination","1984","Part Time","Male","","","","","6"
"Other","1984","Full Time","Male","13","","","","8"
"Other","1984","Full Time","Female","2","","","","8"
"Other","1984","Part Time","Male","4","","","","8"
"Other","1984","Part Time","Female","5","","","","8"
"Other","1984","Not Working","Male","10","","","","8"
"Other","1984","Not Working","Female","6","","","","8"
"PDS/Linke","1984","Full Time","Female","","","","","5"
"PDS/Linke","1984","Part Time","Female","","","","","5"
"PDS/Linke","1984","Full Time","Male","","","","","5"
"PDS/Linke","1984","Part Time","Male","","","","","5"
"PDS/Linke","1984","Not Working","Male","","","","","5"
"PDS/Linke","1984","Not Working","Female","","","","","5"
"SPD","1984","Full Time","Male","1174","0.474350624064851","0.453588399769767","0.495112848359935","2"
"SPD","1984","Part Time","Female","332","0.487642924506044","0.449421863493672","0.525863985518416","2"
"SPD","1984","Part Time","Male","153","0.384909085823021","0.333490798462991","0.43632737318305","2"
"SPD","1984","Full Time","Female","402","0.463397460000997","0.428514249462134","0.49828067053986","2"
"SPD","1984","Not Working","Female","773","0.432463762647737","0.408717152957747","0.456210372337727","2"
"SPD","1984","Not Working","Male","341","0.436888829946511","0.40155565262457","0.472222007268452","2"
"AfD","1985","Part Time","Male","","","","","7"
"AfD","1985","Part Time","Female","","","","","7"
"AfD","1985","Full Time","Male","","","","","7"
"AfD","1985","Full Time","Female","","","","","7"
"AfD","1985","Not Working","Male","","","","","7"
"AfD","1985","Not Working","Female","","","","","7"
"CDU/CSU","1985","Full Time","Female","241","0.410201357211032","0.372732579393927","0.447670135028137","1"
"CDU/CSU","1985","Full Time","Male","751","0.428956733772876","0.40714570254175","0.450767765004003","1"
