"party","year","education","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","lower secondary degree","1559","0.447505346012111","0.431228634542412","0.46378205748181"
"CDU/CSU","1984","secondary school degree","568","0.526655319845125","0.497659311441004","0.555651328249246"
"CDU/CSU","1984","college entrance qualification","339","0.436078237335726","0.402280551043084","0.469875923628368"
"CDU/CSU","1984","Other degree","81","0.202091372289426","0.166205292380851","0.237977452198001"
"CDU/CSU","1984","no degree/no degree yet","56","0.261481065746429","0.216825297894075","0.306136833598783"
"SPD","1984","lower secondary degree","1842","0.505892926639103","0.489526896367766","0.52225895691044"
"SPD","1984","secondary school degree","414","0.342635083383061","0.315073421232675","0.370196745533447"
"SPD","1984","college entrance qualification","262","0.306990998742835","0.27555497595675","0.338427021528919"
"SPD","1984","Other degree","358","0.712062969614936","0.67159759977565","0.752528339454222"
"SPD","1984","no degree/no degree yet","276","0.565783206356303","0.515415177472529","0.616151235240077"
"FDP","1984","lower secondary degree","75","0.021630915772063","0.016868883606516","0.0263929479376101"
"FDP","1984","secondary school degree","43","0.0413935002515874","0.0298251217502011","0.0529618787529738"
"FDP","1984","college entrance qualification","54","0.0674780906681653","0.0503816284406067","0.0845745528957239"
"FDP","1984","Other degree","7","","",""
"FDP","1984","no degree/no degree yet","1","","",""
"Grüne","1984","lower secondary degree","92","0.0197188725725912","0.015167735959559","0.0242700091856235"
"Grüne","1984","secondary school degree","106","0.0832312659579553","0.0671892340474859","0.0992732978684247"
"Grüne","1984","college entrance qualification","165","0.179655069870256","0.153490516590673","0.205819623149839"
"Grüne","1984","Other degree","33","0.0701567124573251","0.0473314884777666","0.0929819364368837"
"Grüne","1984","no degree/no degree yet","33","0.152270266150899","0.115760177911267","0.18878035439053"
"PDS/Linke","1984","lower secondary degree","","","",""
"PDS/Linke","1984","secondary school degree","","","",""
"PDS/Linke","1984","college entrance qualification","","","",""
"PDS/Linke","1984","Other degree","","","",""
"PDS/Linke","1984","no degree/no degree yet","","","",""
"NPD Combination","1984","lower secondary degree","","","",""
"NPD Combination","1984","secondary school degree","","","",""
"NPD Combination","1984","college entrance qualification","","","",""
"NPD Combination","1984","Other degree","","","",""
"NPD Combination","1984","no degree/no degree yet","","","",""
"AfD","1984","lower secondary degree","","","",""
"AfD","1984","secondary school degree","","","",""
"AfD","1984","college entrance qualification","","","",""
"AfD","1984","Other degree","","","",""
"AfD","1984","no degree/no degree yet","","","",""
"Other","1984","lower secondary degree","17","","",""
"Other","1984","secondary school degree","8","","",""
"Other","1984","college entrance qualification","7","","",""
"Other","1984","Other degree","2","","",""
"Other","1984","no degree/no degree yet","6","","",""
"CDU/CSU","1985","lower secondary degree","1339","0.444830299767246","0.427319822037671","0.462340777496822"
"CDU/CSU","1985","secondary school degree","518","0.500161089363932","0.470626943644333","0.52969523508353"
"CDU/CSU","1985","college entrance qualification","330","0.413157340511049","0.379678827962721","0.446635853059377"
"CDU/CSU","1985","Other degree","68","0.235843968287316","0.195098109746828","0.276589826827804"
"CDU/CSU","1985","no degree/no degree yet","55","0.320271518345002","0.266102301808946","0.374440734881059"
"SPD","1985","lower secondary degree","1565","0.498418803178592","0.480800837117606","0.516036769239578"
"SPD","1985","secondary school degree","435","0.368459955191977","0.339966177881525","0.396953732502428"
"SPD","1985","college entrance qualification","274","0.319789003262192","0.288078643722754","0.351499362801631"
"SPD","1985","Other degree","319","0.69767104587991","0.653590670503753","0.741751421256067"
"SPD","1985","no degree/no degree yet","190","0.487149065649285","0.429119118702878","0.545179012595693"
"FDP","1985","lower secondary degree","77","0.0269516021815928","0.0212453961157486","0.032657808247437"
"FDP","1985","secondary school degree","52","0.0536521104388241","0.0403422578528636","0.0669619630247846"
"FDP","1985","college entrance qualification","62","0.0754589715491717","0.0575006346638481","0.0934173084344952"
"FDP","1985","Other degree","2","","",""
"FDP","1985","no degree/no degree yet","3","","",""
"Grüne","1985","lower secondary degree","96","0.0243920930701101","0.0189564600740481","0.0298277260661721"
"Grüne","1985","secondary school degree","90","0.0727765514007958","0.0574324178211586","0.0881206849804331"
"Grüne","1985","college entrance qualification","157","0.180126538559974","0.153998317290064","0.206254759829883"
"Grüne","1985","Other degree","28","","",""
"Grüne","1985","no degree/no degree yet","32","0.137950912976354","0.0979146117032986","0.17798721424941"
"PDS/Linke","1985","lower secondary degree","","","",""
"PDS/Linke","1985","secondary school degree","","","",""
"PDS/Linke","1985","college entrance qualification","","","",""
"PDS/Linke","1985","Other degree","","","",""
"PDS/Linke","1985","no degree/no degree yet","","","",""
"NPD Combination","1985","lower secondary degree","","","",""
"NPD Combination","1985","secondary school degree","","","",""
"NPD Combination","1985","college entrance qualification","","","",""
"NPD Combination","1985","Other degree","","","",""
"NPD Combination","1985","no degree/no degree yet","","","",""
"AfD","1985","lower secondary degree","","","",""
"AfD","1985","secondary school degree","","","",""
"AfD","1985","college entrance qualification","","","",""
"AfD","1985","Other degree","","","",""
"AfD","1985","no degree/no degree yet","","","",""
"Other","1985","lower secondary degree","17","","",""
"Other","1985","secondary school degree","6","","",""
"Other","1985","college entrance qualification","8","","",""
"Other","1985","Other degree","","","",""
"Other","1985","no degree/no degree yet","5","","",""
"CDU/CSU","1986","lower secondary degree","1257","0.441453737933917","0.423368634940808","0.459538840927026"
"CDU/CSU","1986","secondary school degree","495","0.511378062159294","0.480968725848815","0.541787398469774"
"CDU/CSU","1986","college entrance qualification","326","0.412193980866808","0.378686740352411","0.445701221381205"
"CDU/CSU","1986","Other degree","62","0.176854810569934","0.138939034358022","0.214770586781846"
"CDU/CSU","1986","no degree/no degree yet","45","0.248605237568366","0.196956326474272","0.300254148662461"
"SPD","1986","lower secondary degree","1486","0.507710135876543","0.489501929122868","0.525918342630218"
"SPD","1986","secondary school degree","407","0.369433309991168","0.340071491311697","0.39879512867064"
"SPD","1986","college entrance qualification","281","0.328400708120506","0.296431786784913","0.360369629456099"
"SPD","1986","Other degree","297","0.717696031976406","0.672965706922351","0.762426357030461"
"SPD","1986","no degree/no degree yet","191","0.544575214620259","0.48506257438665","0.604087854853869"
"FDP","1986","lower secondary degree","61","0.0231637980251274","0.017685261389327","0.0286423346609279"
"FDP","1986","secondary school degree","49","0.0479429836354672","0.0349459745581757","0.0609399927127586"
"FDP","1986","college entrance qualification","50","0.0652072751384819","0.048400804780783","0.0820137454961809"
"FDP","1986","Other degree","6","","",""
"FDP","1986","no degree/no degree yet","2","","",""
"Grüne","1986","lower secondary degree","72","0.0212526829964403","0.0159998815289348","0.0265054844639459"
"Grüne","1986","secondary school degree","83","0.0676005947666133","0.0523275485246196","0.0828736410086071"
"Grüne","1986","college entrance qualification","170","0.190880040380052","0.164127961139709","0.217632119620394"
"Grüne","1986","Other degree","24","","",""
"Grüne","1986","no degree/no degree yet","28","","",""
"PDS/Linke","1986","lower secondary degree","","","",""
"PDS/Linke","1986","secondary school degree","","","",""
"PDS/Linke","1986","college entrance qualification","","","",""
"PDS/Linke","1986","Other degree","","","",""
"PDS/Linke","1986","no degree/no degree yet","","","",""
"NPD Combination","1986","lower secondary degree","","","",""
"NPD Combination","1986","secondary school degree","","","",""
"NPD Combination","1986","college entrance qualification","","","",""
"NPD Combination","1986","Other degree","","","",""
"NPD Combination","1986","no degree/no degree yet","","","",""
"AfD","1986","lower secondary degree","","","",""
"AfD","1986","secondary school degree","","","",""
"AfD","1986","college entrance qualification","","","",""
"AfD","1986","Other degree","","","",""
"AfD","1986","no degree/no degree yet","","","",""
"Other","1986","lower secondary degree","20","","",""
"Other","1986","secondary school degree","4","","",""
"Other","1986","college entrance qualification","2","","",""
"Other","1986","Other degree","","","",""
"Other","1986","no degree/no degree yet","3","","",""
"CDU/CSU","1987","lower secondary degree","1399","0.453595236017981","0.436146031564989","0.471044440470973"
"CDU/CSU","1987","secondary school degree","560","0.521151882766306","0.492229316164002","0.550074449368609"
"CDU/CSU","1987","college entrance qualification","324","0.415282388672087","0.381798855976095","0.448765921368079"
"CDU/CSU","1987","Other degree","61","0.233053573956524","0.189799655558908","0.27630749235414"
"CDU/CSU","1987","no degree/no degree yet","55","0.253575440683251","0.202887875749723","0.304263005616778"
"SPD","1987","lower secondary degree","1483","0.470557853296671","0.453063418391872","0.48805228820147"
"SPD","1987","secondary school degree","412","0.33695275124369","0.309586675525623","0.364318826961757"
"SPD","1987","college entrance qualification","246","0.272923021468464","0.242654116485802","0.303191926451125"
"SPD","1987","Other degree","253","0.612477304622403","0.562633793208058","0.662320816036749"
"SPD","1987","no degree/no degree yet","187","0.562018772808955","0.504214754160329","0.619822791457581"
"FDP","1987","lower secondary degree","103","0.0366726521706605","0.0300848241234438","0.0432604802178773"
"FDP","1987","secondary school degree","82","0.0752782285914387","0.060002708033814","0.0905537491490634"
"FDP","1987","college entrance qualification","79","0.10278514904065","0.0821503691992491","0.12341992888205"
"FDP","1987","Other degree","8","","",""
"FDP","1987","no degree/no degree yet","5","","",""
"Grüne","1987","lower secondary degree","123","0.0327371433333585","0.0265001282284644","0.0389741584382525"
"Grüne","1987","secondary school degree","83","0.0582732799358092","0.0447103674236878","0.0718361924479306"
"Grüne","1987","college entrance qualification","177","0.199413842434109","0.172263949758107","0.22656373511011"
"Grüne","1987","Other degree","45","0.127062111981624","0.0929887673791061","0.161135456584141"
"Grüne","1987","no degree/no degree yet","33","0.145916196060874","0.104786370638337","0.187046021483411"
"PDS/Linke","1987","lower secondary degree","","","",""
"PDS/Linke","1987","secondary school degree","","","",""
"PDS/Linke","1987","college entrance qualification","","","",""
"PDS/Linke","1987","Other degree","","","",""
"PDS/Linke","1987","no degree/no degree yet","","","",""
"NPD Combination","1987","lower secondary degree","","","",""
"NPD Combination","1987","secondary school degree","","","",""
"NPD Combination","1987","college entrance qualification","","","",""
"NPD Combination","1987","Other degree","","","",""
"NPD Combination","1987","no degree/no degree yet","","","",""
"AfD","1987","lower secondary degree","","","",""
"AfD","1987","secondary school degree","","","",""
"AfD","1987","college entrance qualification","","","",""
"AfD","1987","Other degree","","","",""
"AfD","1987","no degree/no degree yet","","","",""
"Other","1987","lower secondary degree","19","","",""
"Other","1987","secondary school degree","9","","",""
"Other","1987","college entrance qualification","6","","",""
"Other","1987","Other degree","","","",""
