"party","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Not Employed","lower secondary degree","688","0.45712251920902","0.432136573372052","0.482108465045987"
"CDU/CSU","1984","Not Employed","secondary school degree","214","0.609492128100149","0.560180071512102","0.658804184688196"
"CDU/CSU","1984","Not Employed","college entrance qualification","101","0.422695542989967","0.363881675996425","0.481509409983508"
"CDU/CSU","1984","Not Employed","Other degree","15","","",""
"CDU/CSU","1984","Not Employed","no degree/no degree yet","30","0.295463832517536","0.223867693676582","0.36705997135849"
"CDU/CSU","1984","Employed","lower secondary degree","871","0.439018878510597","0.417578071537842","0.460459685483353"
"CDU/CSU","1984","Employed","secondary school degree","354","0.47815811489676","0.44271425146191","0.51360197833161"
"CDU/CSU","1984","Employed","college entrance qualification","238","0.443101100051338","0.401810586034283","0.484391614068392"
"CDU/CSU","1984","Employed","Other degree","66","0.162815857896118","0.126406888079608","0.199224827712628"
"CDU/CSU","1984","Employed","no degree/no degree yet","26","","",""
"SPD","1984","Not Employed","lower secondary degree","760","0.496267253977993","0.471189624920972","0.521344883035014"
"SPD","1984","Not Employed","secondary school degree","108","0.26468924239062","0.220097157938151","0.309281326843089"
"SPD","1984","Not Employed","college entrance qualification","73","0.261450861150813","0.209133216717825","0.313768505583802"
"SPD","1984","Not Employed","Other degree","65","0.608853359928821","0.505713860114245","0.711992859743396"
"SPD","1984","Not Employed","no degree/no degree yet","98","0.48832160992257","0.40988166112126","0.56676155872388"
"SPD","1984","Employed","lower secondary degree","1082","0.514386894309871","0.492793766628927","0.535980021990816"
"SPD","1984","Employed","secondary school degree","306","0.388268848192604","0.353688258549621","0.422849437835587"
"SPD","1984","Employed","college entrance qualification","189","0.330889185916197","0.291777998024664","0.370000373807731"
"SPD","1984","Employed","Other degree","293","0.73947414161555","0.696189237788435","0.782759045442665"
"SPD","1984","Employed","no degree/no degree yet","178","0.706741663691154","0.646029355289734","0.767453972092575"
"FDP","1984","Not Employed","lower secondary degree","36","0.023887588503014","0.0162287194453224","0.0315464575607056"
"FDP","1984","Not Employed","secondary school degree","18","","",""
"FDP","1984","Not Employed","college entrance qualification","16","","",""
"FDP","1984","Not Employed","Other degree","1","","",""
"FDP","1984","Not Employed","no degree/no degree yet","1","","",""
"FDP","1984","Employed","lower secondary degree","39","0.0196395634899886","0.0136446322047455","0.0256344947752318"
"FDP","1984","Employed","secondary school degree","25","","",""
"FDP","1984","Employed","college entrance qualification","38","0.070974608586704","0.049630599836473","0.092318617336935"
"FDP","1984","Employed","Other degree","6","","",""
"FDP","1984","Employed","no degree/no degree yet","","","",""
"Grüne","1984","Not Employed","lower secondary degree","33","0.0152734844522624","0.00912234671124031","0.0214246221932846"
"Grüne","1984","Not Employed","secondary school degree","33","0.0703853715707915","0.0445302343551954","0.0962405087863877"
"Grüne","1984","Not Employed","college entrance qualification","80","0.251095246910691","0.199465976852374","0.302724516969008"
"Grüne","1984","Not Employed","Other degree","5","","",""
"Grüne","1984","Not Employed","no degree/no degree yet","25","","",""
"Grüne","1984","Employed","lower secondary degree","59","0.0236416096432842","0.017077609856252","0.0302056094303163"
"Grüne","1984","Employed","secondary school degree","73","0.0907519561675704","0.0703695708573468","0.111134341477794"
"Grüne","1984","Employed","college entrance qualification","85","0.142165268282357","0.113137793087345","0.171192743477369"
"Grüne","1984","Employed","Other degree","28","","",""
"Grüne","1984","Employed","no degree/no degree yet","8","","",""
"PDS/Linke","1984","Not Employed","lower secondary degree","","","",""
"PDS/Linke","1984","Not Employed","secondary school degree","","","",""
"PDS/Linke","1984","Not Employed","college entrance qualification","","","",""
"PDS/Linke","1984","Not Employed","Other degree","","","",""
"PDS/Linke","1984","Not Employed","no degree/no degree yet","","","",""
