"party","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","Not Employed","Male","304","0.433571940465627","0.398269631227609","0.468874249703645"
"CDU/CSU","1984","Not Employed","Female","746","0.488421324673264","0.46446150861763","0.512381140728898"
"CDU/CSU","1984","Employed","Male","1001","0.446139388122313","0.426906022424959","0.465372753819667"
"CDU/CSU","1984","Employed","Female","559","0.423734623169207","0.398229718763386","0.449239527575027"
"SPD","1984","Not Employed","Male","341","0.436888829946511","0.40155565262457","0.472222007268452"
"SPD","1984","Not Employed","Female","773","0.432463762647737","0.408717152957747","0.456210372337727"
"SPD","1984","Employed","Male","1327","0.462213232479436","0.442922620377454","0.481503844581418"
"SPD","1984","Employed","Female","734","0.474709502184199","0.448935658175286","0.500483346193113"
"FDP","1984","Not Employed","Male","22","","",""
"FDP","1984","Not Employed","Female","50","0.0316985236630362","0.0233009316848634","0.0400961156412089"
"FDP","1984","Employed","Male","82","0.036724279652774","0.0294469555869454","0.0440016037186026"
"FDP","1984","Employed","Female","27","","",""
"Grüne","1984","Not Employed","Male","80","0.0851788104256349","0.0652934235706501","0.10506419728062"
"Grüne","1984","Not Employed","Female","97","0.0432580165122693","0.0335067579669991","0.0530092750575396"
"Grüne","1984","Employed","Male","139","0.0483744139267216","0.0400728354384511","0.0566759924149921"
"Grüne","1984","Employed","Female","115","0.0763602140943959","0.0626529637236201","0.0900674644651718"
"PDS/Linke","1984","Not Employed","Male","","","",""
"PDS/Linke","1984","Not Employed","Female","","","",""
"PDS/Linke","1984","Employed","Male","","","",""
"PDS/Linke","1984","Employed","Female","","","",""
"NPD Combination","1984","Not Employed","Male","","","",""
"NPD Combination","1984","Not Employed","Female","","","",""
"NPD Combination","1984","Employed","Male","","","",""
"NPD Combination","1984","Employed","Female","","","",""
"AfD","1984","Not Employed","Male","","","",""
"AfD","1984","Not Employed","Female","","","",""
"AfD","1984","Employed","Male","","","",""
"AfD","1984","Employed","Female","","","",""
"Other","1984","Not Employed","Male","10","","",""
"Other","1984","Not Employed","Female","6","","",""
"Other","1984","Employed","Male","17","","",""
"Other","1984","Employed","Female","7","","",""
"CDU/CSU","1985","Not Employed","Male","296","0.455267123767747","0.418323004461841","0.492211243073654"
"CDU/CSU","1985","Not Employed","Female","660","0.489607475641691","0.463930517327836","0.515284433955546"
"CDU/CSU","1985","Employed","Male","893","0.431534503859828","0.411440916333006","0.45162809138665"
"CDU/CSU","1985","Employed","Female","476","0.398626837881984","0.371877434117418","0.42537624164655"
"SPD","1985","Not Employed","Male","299","0.413111553849543","0.376583054560582","0.449640053138504"
"SPD","1985","Not Employed","Female","645","0.41786355693473","0.392529948953408","0.443197164916053"
"SPD","1985","Employed","Male","1193","0.461784874043297","0.441559551031368","0.482010197055225"
"SPD","1985","Employed","Female","671","0.488879919887087","0.461569939456595","0.516189900317579"
"FDP","1985","Not Employed","Male","31","0.046339406405579","0.0307441495662611","0.0619346632448968"
"FDP","1985","Not Employed","Female","55","0.043153803259794","0.0327162667012113","0.0535913398183767"
"FDP","1985","Employed","Male","81","0.0388943704495622","0.0310505688727589","0.0467381720263655"
"FDP","1985","Employed","Female","31","0.0283478328055929","0.0192806126493884","0.0374150529617975"
"Grüne","1985","Not Employed","Male","61","0.0686256051977071","0.0498702358740534","0.0873809745213609"
"Grüne","1985","Not Employed","Female","90","0.045116337901733","0.034455052851446","0.0557776229520201"
"Grüne","1985","Employed","Male","151","0.0595919015719623","0.0499879609264178","0.0691958422175067"
"Grüne","1985","Employed","Female","106","0.0821647115829371","0.0671615128937358","0.0971679102721383"
"PDS/Linke","1985","Not Employed","Male","","","",""
"PDS/Linke","1985","Not Employed","Female","","","",""
"PDS/Linke","1985","Employed","Male","","","",""
"PDS/Linke","1985","Employed","Female","","","",""
"NPD Combination","1985","Not Employed","Male","","","",""
"NPD Combination","1985","Not Employed","Female","","","",""
"NPD Combination","1985","Employed","Male","","","",""
"NPD Combination","1985","Employed","Female","","","",""
"AfD","1985","Not Employed","Male","","","",""
"AfD","1985","Not Employed","Female","","","",""
"AfD","1985","Employed","Male","","","",""
"AfD","1985","Employed","Female","","","",""
"Other","1985","Not Employed","Male","11","","",""
"Other","1985","Not Employed","Female","6","","",""
"Other","1985","Employed","Male","16","","",""
"Other","1985","Employed","Female","3","","",""
"CDU/CSU","1986","Not Employed","Male","259","0.419540727680291","0.381949021599686","0.457132433760897"
"CDU/CSU","1986","Not Employed","Female","618","0.493516493898684","0.466935461056132","0.520097526741236"
"CDU/CSU","1986","Employed","Male","849","0.4277189930927","0.407124591434594","0.448313394750807"
"CDU/CSU","1986","Employed","Female","478","0.409599145559542","0.382239201193862","0.436959089925223"
"SPD","1986","Not Employed","Male","312","0.462219412644555","0.424240218320143","0.500198606968968"
