"party","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Grüne","1984","middle vocational","Female","88","0.053717898975042","0.0420241488606564","0.0654116490894277"
"Grüne","1984","vocational + Abi","Male","","","",""
"Grüne","1984","vocational + Abi","Female","","","",""
"Grüne","1984","higher vocational","Male","","","",""
"Grüne","1984","higher vocational","Female","","","",""
"Grüne","1984","higher education","Male","32","0.0944467015994409","0.0635871970179076","0.125306206180974"
"Grüne","1984","higher education","Female","","","",""
"PDS/Linke","1984","in school","Male","","","",""
"PDS/Linke","1984","in school","Female","","","",""
"PDS/Linke","1984","inadequately","Male","","","",""
"PDS/Linke","1984","inadequately","Female","","","",""
"PDS/Linke","1984","general elemantary","Male","","","",""
"PDS/Linke","1984","general elemantary","Female","","","",""
"PDS/Linke","1984","middle vocational","Male","","","",""
"PDS/Linke","1984","middle vocational","Female","","","",""
"PDS/Linke","1984","vocational + Abi","Male","","","",""
"PDS/Linke","1984","vocational + Abi","Female","","","",""
"PDS/Linke","1984","higher vocational","Male","","","",""
"PDS/Linke","1984","higher vocational","Female","","","",""
"PDS/Linke","1984","higher education","Male","","","",""
"PDS/Linke","1984","higher education","Female","","","",""
"NPD Combination","1984","in school","Male","","","",""
"NPD Combination","1984","in school","Female","","","",""
"NPD Combination","1984","inadequately","Male","","","",""
"NPD Combination","1984","inadequately","Female","","","",""
"NPD Combination","1984","general elemantary","Male","","","",""
"NPD Combination","1984","general elemantary","Female","","","",""
"NPD Combination","1984","middle vocational","Male","","","",""
"NPD Combination","1984","middle vocational","Female","","","",""
"NPD Combination","1984","vocational + Abi","Male","","","",""
"NPD Combination","1984","vocational + Abi","Female","","","",""
"NPD Combination","1984","higher vocational","Male","","","",""
"NPD Combination","1984","higher vocational","Female","","","",""
"NPD Combination","1984","higher education","Male","","","",""
"NPD Combination","1984","higher education","Female","","","",""
"AfD","1984","in school","Male","","","",""
"AfD","1984","in school","Female","","","",""
"AfD","1984","inadequately","Male","","","",""
"AfD","1984","inadequately","Female","","","",""
"AfD","1984","general elemantary","Male","","","",""
"AfD","1984","general elemantary","Female","","","",""
"AfD","1984","middle vocational","Male","","","",""
"AfD","1984","middle vocational","Female","","","",""
"AfD","1984","vocational + Abi","Male","","","",""
"AfD","1984","vocational + Abi","Female","","","",""
"AfD","1984","higher vocational","Male","","","",""
"AfD","1984","higher vocational","Female","","","",""
"AfD","1984","higher education","Male","","","",""
"AfD","1984","higher education","Female","","","",""
"Other","1984","in school","Male","","","",""
"Other","1984","in school","Female","","","",""
"Other","1984","inadequately","Male","","","",""
"Other","1984","inadequately","Female","","","",""
"Other","1984","general elemantary","Male","","","",""
"Other","1984","general elemantary","Female","","","",""
"Other","1984","middle vocational","Male","","","",""
"Other","1984","middle vocational","Female","","","",""
"Other","1984","vocational + Abi","Male","","","",""
"Other","1984","vocational + Abi","Female","","","",""
"Other","1984","higher vocational","Male","","","",""
"Other","1984","higher vocational","Female","","","",""
"Other","1984","higher education","Male","","","",""
"Other","1984","higher education","Female","","","",""
"CDU/CSU","1985","in school","Male","","","",""
"CDU/CSU","1985","in school","Female","","","",""
"CDU/CSU","1985","inadequately","Male","","","",""
"CDU/CSU","1985","inadequately","Female","","","",""
"CDU/CSU","1985","general elemantary","Male","148","0.434994664466152","0.388881508572434","0.48110782035987"
"CDU/CSU","1985","general elemantary","Female","418","0.465836996979185","0.434199632609134","0.497474361349237"
