"party","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1984","1-pers.-HH","(0) in school","","","",""
"CDU/CSU","1984","1-pers.-HH","(1a) inadequately completed","5","","",""
"CDU/CSU","1984","1-pers.-HH","(1b) general elementary school","73","0.424033024522434","0.352431679864007","0.495634369180862"
"CDU/CSU","1984","1-pers.-HH","(1c) basic vocational qualification","93","0.40797994646603","0.344327079827696","0.471632813104364"
"CDU/CSU","1984","1-pers.-HH","(2b) intermediate general qualification","13","","",""
"CDU/CSU","1984","1-pers.-HH","(2a) intermediate vocational","63","0.543730684047144","0.457104579886881","0.630356788207406"
"CDU/CSU","1984","1-pers.-HH","(2c_gen) general maturity certificate","12","","",""
"CDU/CSU","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","16","","",""
"CDU/CSU","1984","1-pers.-HH","(3a) lower tertiary education","10","","",""
"CDU/CSU","1984","1-pers.-HH","(3b) higher tertiary education","24","","",""
"CDU/CSU","1984","(Married) couple without C. ","(0) in school","1","","",""
"CDU/CSU","1984","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"CDU/CSU","1984","(Married) couple without C. ","(1b) general elementary school","141","0.394668808654633","0.345589489219656","0.443748128089611"
"CDU/CSU","1984","(Married) couple without C. ","(1c) basic vocational qualification","273","0.41450373463079","0.377394666792484","0.451612802469097"
"CDU/CSU","1984","(Married) couple without C. ","(2b) intermediate general qualification","18","","",""
"CDU/CSU","1984","(Married) couple without C. ","(2a) intermediate vocational","118","0.565858318451114","0.499296085356945","0.632420551545282"
"CDU/CSU","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","13","","",""
"CDU/CSU","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","41","0.479715749702295","0.377070294942997","0.582361204461594"
"CDU/CSU","1984","(Married) couple without C. ","(3a) lower tertiary education","36","0.687823718097926","0.565360611609375","0.810286824586477"
"CDU/CSU","1984","(Married) couple without C. ","(3b) higher tertiary education","35","0.482276206116568","0.372779746317024","0.591772665916112"
"CDU/CSU","1984","Single parent ","(0) in school","2","","",""
"CDU/CSU","1984","Single parent ","(1a) inadequately completed","2","","",""
"CDU/CSU","1984","Single parent ","(1b) general elementary school","25","","",""
"CDU/CSU","1984","Single parent ","(1c) basic vocational qualification","41","0.403799940425708","0.312108059602745","0.495491821248672"
"CDU/CSU","1984","Single parent ","(2b) intermediate general qualification","5","","",""
"CDU/CSU","1984","Single parent ","(2a) intermediate vocational","17","","",""
"CDU/CSU","1984","Single parent ","(2c_gen) general maturity certificate","2","","",""
"CDU/CSU","1984","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"CDU/CSU","1984","Single parent ","(3a) lower tertiary education","1","","",""
"CDU/CSU","1984","Single parent ","(3b) higher tertiary education","4","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(0) in school","","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(1b) general elementary school","87","0.390452539809179","0.331715366416553","0.449189713201805"
"CDU/CSU","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","257","0.407405609584138","0.370172671988717","0.444638547179558"
"CDU/CSU","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","10","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(2a) intermediate vocational","118","0.474628964015546","0.413218636375015","0.536039291656078"
"CDU/CSU","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","24","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(3a) lower tertiary education","22","","",""
"CDU/CSU","1984","Couple + C. LE 16 ","(3b) higher tertiary education","44","0.37447231988377","0.288590487413985","0.460354152353555"
"CDU/CSU","1984","Couple + C. GT 16 ","(0) in school","11","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(1b) general elementary school","101","0.468388710059453","0.40333168821626","0.533445731902647"
"CDU/CSU","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","170","0.453330353084217","0.403860209587564","0.502800496580869"
"CDU/CSU","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","18","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(2a) intermediate vocational","60","0.537240945902337","0.447655672135294","0.62682621966938"
"CDU/CSU","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","17","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","10","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(3a) lower tertiary education","8","","",""
"CDU/CSU","1984","Couple + C. GT 16 ","(3b) higher tertiary education","18","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(0) in school","7","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(1a) inadequately completed","5","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(1b) general elementary school","64","0.493738456039408","0.421103054121024","0.566373857957791"
"CDU/CSU","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","135","0.552908071549078","0.494357237464169","0.611458905633986"
"CDU/CSU","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","26","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","44","0.608346392939454","0.499320597871237","0.717372188007672"
"CDU/CSU","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","5","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","7","","",""
"CDU/CSU","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","7","","",""
"SPD","1984","1-pers.-HH","(0) in school","","","",""
"SPD","1984","1-pers.-HH","(1a) inadequately completed","14","","",""
"SPD","1984","1-pers.-HH","(1b) general elementary school","99","0.517383172974865","0.444984613321569","0.589781732628161"
"SPD","1984","1-pers.-HH","(1c) basic vocational qualification","124","0.539798528984155","0.475244968725203","0.604352089243106"
"SPD","1984","1-pers.-HH","(2b) intermediate general qualification","7","","",""
