"party","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Full Time","","","","","7"
"AfD","1984","Part Time","","","","","7"
"AfD","1984","Not Working","","","","","7"
"CDU/CSU","1984","Full Time","1179","0.444404541396213","0.426644255001246","0.46216482779118","1"
"CDU/CSU","1984","Part Time","381","0.418838988421481","0.38827550583752","0.449402471005441","1"
"CDU/CSU","1984","Not Working","1050","0.471499539490314","0.451647841702257","0.49135123727837","1"
"FDP","1984","Full Time","88","0.0335471013711875","0.0271113505028498","0.0399828522395252","3"
"FDP","1984","Part Time","21","","","","3"
"FDP","1984","Not Working","72","0.0318969843889889","0.0249087102552251","0.0388852585227527","3"
"NPD Combination","1984","Full Time","","","","","6"
"NPD Combination","1984","Part Time","","","","","6"
"NPD Combination","1984","Not Working","","","","","6"
"Other","1984","Full Time","15","","","","8"
"Other","1984","Part Time","9","","","","8"
"Other","1984","Not Working","16","","","","8"
"PDS/Linke","1984","Full Time","","","","","5"
"PDS/Linke","1984","Part Time","","","","","5"
"PDS/Linke","1984","Not Working","","","","","5"
"SPD","1984","Full Time","1576","0.471407572770795","0.453565712950519","0.489249432591072","2"
"SPD","1984","Part Time","485","0.45392373642052","0.423081266587702","0.484766206253338","2"
"SPD","1984","Not Working","1114","0.43382895642943","0.414119827584021","0.453538085274838","2"
"AfD","1985","Full Time","","","","","7"
"AfD","1985","Part Time","","","","","7"
"AfD","1985","Not Working","","","","","7"
"CDU/CSU","1985","Part Time","377","0.407299817887588","0.376553846009133","0.438045789766043","1"
"CDU/CSU","1985","Full Time","992","0.424000412834254","0.405149154134225","0.442851671534284","1"
"CDU/CSU","1985","Not Working","956","0.478436141333839","0.457340585349824","0.499531697317853","1"
"FDP","1985","Full Time","88","0.0379551443538405","0.0306659570148122","0.0452443316928687","3"
"FDP","1985","Part Time","24","","","","3"
"FDP","1985","Not Working","86","0.044190118724596","0.0355110408789258","0.0528691965702662","3"
"NPD Combination","1985","Full Time","","","","","6"
"NPD Combination","1985","Not Working","","","","","6"
"NPD Combination","1985","Part Time","","","","","6"
"Other","1985","Full Time","14","","","","8"
"Other","1985","Part Time","5","","","","8"
"Other","1985","Not Working","17","","","","8"
